IMAGE 2524368 741c9b2f8b23f6f247da865201061343cbe36b924404457f82f1d6630ce14020
CRC VERIFIED 159744/193224 (306.7s)
CRC VERIFIED 163840/193224 (306.7s)
CRC VERIFIED 167936/193224 (306.7s)
CRC VERIFIED 172032/193224 (306.8s)
CRC VERIFIED 176128/193224 (306.8s)
CRC VERIFIED 180224/193224 (306.8s)
CRC VERIFIED 184320/193224 (306.8s)
CRC VERIFIED 188416/193224 (306.8s)
CRC VERIFIED 192512/193224 (306.8s)
CRC VERIFIED 193224/193224 (306.8s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (306.9s)
CRC VERIFIED 8192/356616 (306.9s)
CRC VERIFIED 12288/356616 (306.9s)
CRC VERIFIED 16384/356616 (306.9s)
CRC VERIFIED 20480/356616 (306.9s)
CRC VERIFIED 24576/356616 (307.0s)
CRC VERIFIED 28672/356616 (307.0s)
CRC VERIFIED 32768/356616 (307.0s)
CRC VERIFIED 36864/356616 (307.0s)
CRC VERIFIED 40960/356616 (307.0s)
CRC VERIFIED 45056/356616 (307.0s)
CRC VERIFIED 49152/356616 (307.0s)
CRC VERIFIED 53248/356616 (307.1s)
CRC VERIFIED 57344/356616 (307.1s)
CRC VERIFIED 61440/356616 (307.1s)
CRC VERIFIED 65536/356616 (307.1s)
CRC VERIFIED 69632/356616 (307.1s)
CRC VERIFIED 73728/356616 (307.1s)
CRC VERIFIED 77824/356616 (307.2s)
CRC VERIFIED 81920/356616 (307.2s)
CRC VERIFIED 86016/356616 (307.2s)
CRC VERIFIED 90112/356616 (307.2s)
CRC VERIFIED 94208/356616 (307.2s)
CRC VERIFIED 98304/356616 (307.2s)
CRC VERIFIED 102400/356616 (307.2s)
CRC VERIFIED 106496/356616 (307.3s)
CRC VERIFIED 110592/356616 (307.3s)
CRC VERIFIED 114688/356616 (307.3s)
CRC VERIFIED 118784/356616 (307.3s)
CRC VERIFIED 122880/356616 (307.3s)
CRC VERIFIED 126976/356616 (307.3s)
CRC VERIFIED 131072/356616 (307.4s)
CRC VERIFIED 135168/356616 (307.4s)
CRC VERIFIED 139264/356616 (307.4s)
CRC VERIFIED 143360/356616 (307.4s)
CRC VERIFIED 147456/356616 (307.4s)
CRC VERIFIED 151552/356616 (307.5s)
CRC VERIFIED 155648/356616 (307.5s)
CRC VERIFIED 159744/356616 (307.5s)
CRC VERIFIED 163840/356616 (307.5s)
CRC VERIFIED 167936/356616 (307.5s)
CRC VERIFIED 172032/356616 (307.5s)
CRC VERIFIED 176128/356616 (307.5s)
CRC VERIFIED 180224/356616 (307.6s)
CRC VERIFIED 184320/356616 (307.6s)
CRC VERIFIED 188416/356616 (307.6s)
CRC VERIFIED 192512/356616 (307.6s)
CRC VERIFIED 196608/356616 (307.6s)
CRC VERIFIED 200704/356616 (307.6s)
CRC VERIFIED 204800/356616 (307.7s)
CRC VERIFIED 208896/356616 (307.7s)
CRC VERIFIED 212992/356616 (307.7s)
CRC VERIFIED 217088/356616 (307.7s)
CRC VERIFIED 221184/356616 (307.7s)
CRC VERIFIED 225280/356616 (307.7s)
CRC VERIFIED 229376/356616 (307.8s)
CRC VERIFIED 233472/356616 (307.8s)
CRC VERIFIED 237568/356616 (307.8s)
CRC VERIFIED 241664/356616 (307.8s)
CRC VERIFIED 245760/356616 (307.8s)
CRC VERIFIED 249856/356616 (307.8s)
CRC VERIFIED 253952/356616 (307.8s)
CRC VERIFIED 258048/356616 (307.9s)
CRC VERIFIED 262144/356616 (307.9s)
CRC VERIFIED 266240/356616 (307.9s)
CRC VERIFIED 270336/356616 (307.9s)
CRC VERIFIED 274432/356616 (307.9s)
CRC VERIFIED 278528/356616 (307.9s)
CRC VERIFIED 282624/356616 (308.0s)
CRC VERIFIED 286720/356616 (308.0s)
CRC VERIFIED 290816/356616 (308.0s)
CRC VERIFIED 294912/356616 (308.0s)
CRC VERIFIED 299008/356616 (308.0s)
CRC VERIFIED 303104/356616 (308.0s)
CRC VERIFIED 307200/356616 (308.0s)
CRC VERIFIED 311296/356616 (308.1s)
CRC VERIFIED 315392/356616 (308.1s)
CRC VERIFIED 319488/356616 (308.1s)
CRC VERIFIED 323584/356616 (308.1s)
CRC VERIFIED 327680/356616 (308.1s)
CRC VERIFIED 331776/356616 (308.1s)
CRC VERIFIED 335872/356616 (308.2s)
CRC VERIFIED 339968/356616 (308.2s)
CRC VERIFIED 344064/356616 (308.2s)
CRC VERIFIED 348160/356616 (308.2s)
CRC VERIFIED 352256/356616 (308.2s)
CRC VERIFIED 356352/356616 (308.2s)
CRC VERIFIED 356616/356616 (308.2s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (308.3s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (308.3s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 315869.13/316221.653 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing

I
/TC: Secondary CPU 1 switching to normal world boot


NutIt/TC: Secondary CPU 4 initializing

SI/TC: Secondary CPU 4 switching to normal world boot

- ReI/TC: Secondary CPU 2 initializing

ady-  tI/TC: Secondary CPU 2 switching to normal world boot

oR eaBdoyI/TC: Secondary CPU 5 initializing

o t-to  RS Beeocaodontdy  S eCtPcI/TC: Secondary CPU 5 switching to normal world boot

ooU nd
BI/TC: Secondary CPU 3 initializing

o oC
tP -URSK 
Re3
I/TC: Secondary CPU 3 switching to normal world boot

ecR57oaK3d6n5 dyH 7C 6toR CI/TC: Secondary CPU 6 initializing

P_-H BE CUo
RRLe
_oI/TC: Secondary CPU 6 switching to normal world boot

Rt2E=LK a3d2S0e5=0y007c to006n00 o00 dHI/TC: Secondary CPU 7 initializing

0C-B 0C0Ro 0_oP0R0EtUe0I/TC: Secondary CPU 7 switching to normal world boot

0a
0 L0d20
S=e00RyK0 00ct0o003500n0od072 06 B0
-o C0

 oRH0
P0KRRtC 3URe0K5aS30_d70
Ee56Lyc7
02R0 o6 =KS t0n0od3C0S TC 005CBT720oLL06
PRU0 
oR0HR__t
C0K 
ER3S0LERK0e1_5L7013c=o05=0E6 7000n0L06S0d00 20C T0HC0=0LP0000C0UR
0R_

_003ER00
E0R0L0KLd2K1033==530000500d070600708006000 0S080 000
00HC00C0T
0-0
0LR0
00_ RE-B0_30EL0 o00BdoL202o100=t
 o0=00f000t
8r0R 000000Kfo0
m3
00r 500
o
0E-m70R 00 LK6302BE0
 03oL502S70
o0
Ct6d0 0
 Tf0S0r80CL0oT0m
RL0
 
R_
ER_ELEK- LL23B
115==7o
006o0t0  00S0C0f00rT0Lo0R0m0 0_033EEL0Ld210d
0=000
800800000
00

00-
0 -B30 oodBt00 of8o0ro0
mt  
fE- Lr2Boo
mo
t  EfrLo2m

 EL2

hell (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for-  BOoSo It ntiot iaCl riuzen
ti
me for OS Initialize


PASS: REAL K7 NSH
