IMAGE 2072672 8ed6d36770de6fa251065f6ee4a30b5d44d4efe8581d43f22932b97423c6b969
- Ready to Boot Primary CPU
RK3576 HCR_EL2=0000000008000032
RK3576 SCTLR_EL1=0000000030d00800
- Boot from EL2
- Boot from EL1
- Boot to C runtime for OS Initialize
arm64_chip_boot: RK3576: MMU enabled
rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

NuttShell (NSH)
nsh> [K
PASS: REAL K7 NSH
