IMAGE 2536656 63735a3140e3992ed11ff7f8bfbae62c61d5cee50b4107ad4f6358348b1dc913
CRC VERIFIED 172032/193224 (349.6s)
CRC VERIFIED 176128/193224 (349.6s)
CRC VERIFIED 180224/193224 (349.6s)
CRC VERIFIED 184320/193224 (349.6s)
CRC VERIFIED 188416/193224 (349.6s)
CRC VERIFIED 192512/193224 (349.7s)
CRC VERIFIED 193224/193224 (349.7s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (349.7s)
CRC VERIFIED 8192/356616 (349.7s)
CRC VERIFIED 12288/356616 (349.7s)
CRC VERIFIED 16384/356616 (349.8s)
CRC VERIFIED 20480/356616 (349.8s)
CRC VERIFIED 24576/356616 (349.8s)
CRC VERIFIED 28672/356616 (349.8s)
CRC VERIFIED 32768/356616 (349.8s)
CRC VERIFIED 36864/356616 (349.8s)
CRC VERIFIED 40960/356616 (349.8s)
CRC VERIFIED 45056/356616 (349.9s)
CRC VERIFIED 49152/356616 (349.9s)
CRC VERIFIED 53248/356616 (349.9s)
CRC VERIFIED 57344/356616 (349.9s)
CRC VERIFIED 61440/356616 (349.9s)
CRC VERIFIED 65536/356616 (349.9s)
CRC VERIFIED 69632/356616 (350.0s)
CRC VERIFIED 73728/356616 (350.0s)
CRC VERIFIED 77824/356616 (350.0s)
CRC VERIFIED 81920/356616 (350.0s)
CRC VERIFIED 86016/356616 (350.0s)
CRC VERIFIED 90112/356616 (350.0s)
CRC VERIFIED 94208/356616 (350.1s)
CRC VERIFIED 98304/356616 (350.1s)
CRC VERIFIED 102400/356616 (350.1s)
CRC VERIFIED 106496/356616 (350.1s)
CRC VERIFIED 110592/356616 (350.1s)
CRC VERIFIED 114688/356616 (350.1s)
CRC VERIFIED 118784/356616 (350.1s)
CRC VERIFIED 122880/356616 (350.2s)
CRC VERIFIED 126976/356616 (350.2s)
CRC VERIFIED 131072/356616 (350.2s)
CRC VERIFIED 135168/356616 (350.2s)
CRC VERIFIED 139264/356616 (350.2s)
CRC VERIFIED 143360/356616 (350.2s)
CRC VERIFIED 147456/356616 (350.3s)
CRC VERIFIED 151552/356616 (350.3s)
CRC VERIFIED 155648/356616 (350.3s)
CRC VERIFIED 159744/356616 (350.3s)
CRC VERIFIED 163840/356616 (350.3s)
CRC VERIFIED 167936/356616 (350.3s)
CRC VERIFIED 172032/356616 (350.4s)
CRC VERIFIED 176128/356616 (350.4s)
CRC VERIFIED 180224/356616 (350.4s)
CRC VERIFIED 184320/356616 (350.4s)
CRC VERIFIED 188416/356616 (350.4s)
CRC VERIFIED 192512/356616 (350.4s)
CRC VERIFIED 196608/356616 (350.5s)
CRC VERIFIED 200704/356616 (350.5s)
CRC VERIFIED 204800/356616 (350.5s)
CRC VERIFIED 208896/356616 (350.5s)
CRC VERIFIED 212992/356616 (350.5s)
CRC VERIFIED 217088/356616 (350.5s)
CRC VERIFIED 221184/356616 (350.5s)
CRC VERIFIED 225280/356616 (350.6s)
CRC VERIFIED 229376/356616 (350.6s)
CRC VERIFIED 233472/356616 (350.6s)
CRC VERIFIED 237568/356616 (350.6s)
CRC VERIFIED 241664/356616 (350.6s)
CRC VERIFIED 245760/356616 (350.6s)
CRC VERIFIED 249856/356616 (350.7s)
CRC VERIFIED 253952/356616 (350.7s)
CRC VERIFIED 258048/356616 (350.7s)
CRC VERIFIED 262144/356616 (350.7s)
CRC VERIFIED 266240/356616 (350.7s)
CRC VERIFIED 270336/356616 (350.7s)
CRC VERIFIED 274432/356616 (350.8s)
CRC VERIFIED 278528/356616 (350.8s)
CRC VERIFIED 282624/356616 (350.8s)
CRC VERIFIED 286720/356616 (350.8s)
CRC VERIFIED 290816/356616 (350.8s)
CRC VERIFIED 294912/356616 (350.8s)
CRC VERIFIED 299008/356616 (350.8s)
CRC VERIFIED 303104/356616 (350.9s)
CRC VERIFIED 307200/356616 (350.9s)
CRC VERIFIED 311296/356616 (350.9s)
CRC VERIFIED 315392/356616 (350.9s)
CRC VERIFIED 319488/356616 (350.9s)
CRC VERIFIED 323584/356616 (350.9s)
CRC VERIFIED 327680/356616 (351.0s)
CRC VERIFIED 331776/356616 (351.0s)
CRC VERIFIED 335872/356616 (351.0s)
CRC VERIFIED 339968/356616 (351.0s)
CRC VERIFIED 344064/356616 (351.0s)
CRC VERIFIED 348160/356616 (351.0s)
CRC VERIFIED 352256/356616 (351.0s)
CRC VERIFIED 356352/356616 (351.1s)
CRC VERIFIED 356616/356616 (351.1s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (351.1s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (351.1s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 360993.632/361346.824 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I/TC: Secondary CPU 1 switching to normal world boot


NutI/TC: Secondary CPU 4 initializing

tShI/TC: Secondary CPU 4 switching to normal world boot

- Ready toI/TC: Secondary CPU 2 initializing

 B- oRoetI/TC: Secondary CPU 2 switching to normal world boot

a Sdeyc I/TC: Secondary CPU 5 initializing

t-o nod  RBCeoI/TC: Secondary CPU 5 switching to normal world boot

oaPtUd y

SR eKtcoo3nI/TC: Secondary CPU 3 initializing

5d-  CB7 Ro6PUo eta
H d
SCRyRe KI/TC: Secondary CPU 3 switching to normal world boot

3ct_o5EoL7 nBd26I/TC: Secondary CPU 6 initializing

o=-  H C0oPC0tRRU 0_0e
SI/TC: Secondary CPU 6 switching to normal world boot

e0EadcL
y2R0o =n0t0KdI/TC: Secondary CPU 7 initializing

o- 305C00  RP00B7oU006eoa0 
0I/TC: Secondary CPU 7 switching to normal world boot

t0Hd
0C0y0 RS0 0KR30etc0_5oEo 076nB00L 022do0
-oH= 0 tC
0CR P0
RRK_e
U0Sa
eRE30
L50dcKyo327R0= n506Ktd0 37650S 0oC070  C0ST0PB6o0C UL0
o0RTH0_t0LC
RR E0R00S0KL__301Ee05Lc0E2=1o0L07
=6n0
2=00 Rd00K0 0H0CC0300000RP
5007
_U
00RE60L0 0
0K20003RSKC3053=007T03d5d60L0 0R00706000S_00CE 808TH0L00L0010C0000
RR0__
0
2-
0E=E-
 L00L
B 120o0==RB000K0o0o030o00t 000t50 700
0fr0
0f600Rr o00oSm00K03C 03m0 5E0T37EL0L0206RddL
0_0 02

E00SL0
C800T100L=08R
00

00_
0-E
R0K
L 13-B0o5 0=00B7oo600to  030t0Sfr 0CfT0do0rL0m 0R0oE3_8m0EL 0dL02E

1L0

0=2
8-0
00 B000o
0o
-t00  Bf03or0odot0 0fm r80Eo0Lm
2 

E
L- 2B

oot from EL2

ell (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1
- 
Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtim-e  fBooort O Sto  ICni triuantliimzee
 
for OS Initialize


PASS: REAL K7 NSH
