IMAGE 2225016 b2637df1113a6a329ebc05331a37934a7bf7f7d275bdcf9fc2239af7a0a949a5
CRC VERIFIED 278528/356616 (286.6s)
CRC VERIFIED 282624/356616 (286.6s)
CRC VERIFIED 286720/356616 (286.6s)
CRC VERIFIED 290816/356616 (286.6s)
CRC VERIFIED 294912/356616 (286.6s)
CRC VERIFIED 299008/356616 (286.6s)
CRC VERIFIED 303104/356616 (286.7s)
CRC VERIFIED 307200/356616 (286.7s)
CRC VERIFIED 311296/356616 (286.7s)
CRC VERIFIED 315392/356616 (286.7s)
CRC VERIFIED 319488/356616 (286.7s)
CRC VERIFIED 323584/356616 (286.7s)
CRC VERIFIED 327680/356616 (286.8s)
CRC VERIFIED 331776/356616 (286.8s)
CRC VERIFIED 335872/356616 (286.8s)
CRC VERIFIED 339968/356616 (286.8s)
CRC VERIFIED 344064/356616 (286.8s)
CRC VERIFIED 348160/356616 (286.8s)
CRC VERIFIED 352256/356616 (286.8s)
CRC VERIFIED 356352/356616 (286.9s)
CRC VERIFIED 356616/356616 (286.9s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (286.9s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (286.9s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 299589.4/299942.141 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I
/TC: Secondary CPU 1 switching to normal world boot

NuttIS/TC: Secondary CPU 4 initializing

hI/TC: Secondary CPU 4 switching to normal world boot

- ReaI/TC: Secondary CPU 2 initializing

dy tI/TC: Secondary CPU 2 switching to normal world boot

-o  RBeoaotdy I/TC: Secondary CPU 5 initializing

 S-e tcoR oI/TC: Secondary CPU 5 switching to normal world boot

neBdo oatCPd SUye
 I/TC: Secondary CPU 3 initializing


-tc RoonR K3BedI/TC: Secondary CPU 3 switching to normal world boot

 a5o7odCtPy6 UI/TC: Secondary CPU 6 initializing

  
-t
S oH eRRCceRKBao3o_no57dtdE y 6 LSC 2HPteco=UCo 0
RI/TC: Secondary CPU 6 switching to normal world boot

_0
Bn0dRE0 LoKI/TC: Secondary CPU 7 initializing

-C203o0 P=tI/TC: Secondary CPU 7 switching to normal world boot

 U5R00S70
e0
ea000dc6RKy0 o000 3nH0t5dC070R 0o00_C6 EB0 0L0PoH22CU
o-0R0 =t

R0R
 _00REeS0K0LK3ae02d
053c
=5o0y00R 77nt0d6K6030 0 o 5SHC00 0CBCP700o0RU6T00 oL
t00
_RSR0_E 0C0KLETS0L232L0e0R51c
=0_
=7o00600RnE0K00L d 130H00CC=
5000P0R
76R0U0_ KE00
0
L0S030C0R20503K=076003T00005Ld 00S70R030C_060TEd0 00800HL0R000LC2R
1080_

0E0=_L0
0RE0-10K
L00 02
=3B0-500=70 o0006B0o000t0 0o00 o0S
00C0f3t0
00 0rTRdL0Kfo0303mRr00o050 mdE_870 60L00E20E00 
LL
8S0C10

02T=0
-000 
L
B0
R
o_-0
 Ro0EKBtL301 o=50ofr007t0 o0630mf S0r0 dCo0EmT000L 0LR08E3_02L0
0E2
dL
10

=080
00-00 B0

0o-00 oBt0 o3o0ftrd0 of0mr8o 0m0E
L 2
EL-

2 B
o
ot from EL2

ell (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1
- 
Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtim-e  fBooort  OtSo I nC irtuinatliimzee
 
for OS Initialize


PASS: REAL K7 NSH
