IMAGE 2536656 06fd9f72fe31ad2b52a2bb27d64e37bb75bb9be1d6627c490a85e6f090218cb7
CRC VERIFIED 147456/193224 (307.1s)
CRC VERIFIED 151552/193224 (307.1s)
CRC VERIFIED 155648/193224 (307.1s)
CRC VERIFIED 159744/193224 (307.2s)
CRC VERIFIED 163840/193224 (307.2s)
CRC VERIFIED 167936/193224 (307.2s)
CRC VERIFIED 172032/193224 (307.2s)
CRC VERIFIED 176128/193224 (307.2s)
CRC VERIFIED 180224/193224 (307.2s)
CRC VERIFIED 184320/193224 (307.2s)
CRC VERIFIED 188416/193224 (307.3s)
CRC VERIFIED 192512/193224 (307.3s)
CRC VERIFIED 193224/193224 (307.3s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (307.3s)
CRC VERIFIED 8192/356616 (307.3s)
CRC VERIFIED 12288/356616 (307.4s)
CRC VERIFIED 16384/356616 (307.4s)
CRC VERIFIED 20480/356616 (307.4s)
CRC VERIFIED 24576/356616 (307.4s)
CRC VERIFIED 28672/356616 (307.4s)
CRC VERIFIED 32768/356616 (307.4s)
CRC VERIFIED 36864/356616 (307.5s)
CRC VERIFIED 40960/356616 (307.5s)
CRC VERIFIED 45056/356616 (307.5s)
CRC VERIFIED 49152/356616 (307.5s)
CRC VERIFIED 53248/356616 (307.5s)
CRC VERIFIED 57344/356616 (307.5s)
CRC VERIFIED 61440/356616 (307.5s)
CRC VERIFIED 65536/356616 (307.6s)
CRC VERIFIED 69632/356616 (307.6s)
CRC VERIFIED 73728/356616 (307.6s)
CRC VERIFIED 77824/356616 (307.6s)
CRC VERIFIED 81920/356616 (307.6s)
CRC VERIFIED 86016/356616 (307.6s)
CRC VERIFIED 90112/356616 (307.7s)
CRC VERIFIED 94208/356616 (307.7s)
CRC VERIFIED 98304/356616 (307.7s)
CRC VERIFIED 102400/356616 (307.7s)
CRC VERIFIED 106496/356616 (307.7s)
CRC VERIFIED 110592/356616 (307.7s)
CRC VERIFIED 114688/356616 (307.8s)
CRC VERIFIED 118784/356616 (307.8s)
CRC VERIFIED 122880/356616 (307.8s)
CRC VERIFIED 126976/356616 (307.8s)
CRC VERIFIED 131072/356616 (307.8s)
CRC VERIFIED 135168/356616 (307.8s)
CRC VERIFIED 139264/356616 (307.8s)
CRC VERIFIED 143360/356616 (307.9s)
CRC VERIFIED 147456/356616 (307.9s)
CRC VERIFIED 151552/356616 (307.9s)
CRC VERIFIED 155648/356616 (307.9s)
CRC VERIFIED 159744/356616 (307.9s)
CRC VERIFIED 163840/356616 (307.9s)
CRC VERIFIED 167936/356616 (308.0s)
CRC VERIFIED 172032/356616 (308.0s)
CRC VERIFIED 176128/356616 (308.0s)
CRC VERIFIED 180224/356616 (308.0s)
CRC VERIFIED 184320/356616 (308.0s)
CRC VERIFIED 188416/356616 (308.0s)
CRC VERIFIED 192512/356616 (308.0s)
CRC VERIFIED 196608/356616 (308.1s)
CRC VERIFIED 200704/356616 (308.1s)
CRC VERIFIED 204800/356616 (308.1s)
CRC VERIFIED 208896/356616 (308.1s)
CRC VERIFIED 212992/356616 (308.1s)
CRC VERIFIED 217088/356616 (308.1s)
CRC VERIFIED 221184/356616 (308.2s)
CRC VERIFIED 225280/356616 (308.2s)
CRC VERIFIED 229376/356616 (308.2s)
CRC VERIFIED 233472/356616 (308.2s)
CRC VERIFIED 237568/356616 (308.2s)
CRC VERIFIED 241664/356616 (308.2s)
CRC VERIFIED 245760/356616 (308.2s)
CRC VERIFIED 249856/356616 (308.3s)
CRC VERIFIED 253952/356616 (308.3s)
CRC VERIFIED 258048/356616 (308.3s)
CRC VERIFIED 262144/356616 (308.3s)
CRC VERIFIED 266240/356616 (308.3s)
CRC VERIFIED 270336/356616 (308.3s)
CRC VERIFIED 274432/356616 (308.4s)
CRC VERIFIED 278528/356616 (308.4s)
CRC VERIFIED 282624/356616 (308.4s)
CRC VERIFIED 286720/356616 (308.4s)
CRC VERIFIED 290816/356616 (308.4s)
CRC VERIFIED 294912/356616 (308.4s)
CRC VERIFIED 299008/356616 (308.5s)
CRC VERIFIED 303104/356616 (308.5s)
CRC VERIFIED 307200/356616 (308.5s)
CRC VERIFIED 311296/356616 (308.5s)
CRC VERIFIED 315392/356616 (308.5s)
CRC VERIFIED 319488/356616 (308.5s)
CRC VERIFIED 323584/356616 (308.5s)
CRC VERIFIED 327680/356616 (308.6s)
CRC VERIFIED 331776/356616 (308.6s)
CRC VERIFIED 335872/356616 (308.6s)
CRC VERIFIED 339968/356616 (308.6s)
CRC VERIFIED 344064/356616 (308.6s)
CRC VERIFIED 348160/356616 (308.6s)
CRC VERIFIED 352256/356616 (308.7s)
CRC VERIFIED 356352/356616 (308.7s)
CRC VERIFIED 356616/356616 (308.7s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (308.7s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (308.8s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 310342.983/310695.667 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I/TC: Secondary CPU 1 switching to normal world boot


NutIt/TC: Secondary CPU 4 initializing

SI/TC: Secondary CPU 4 switching to normal world boot

- ReadI/TC: Secondary CPU 2 initializing

y to-  I/TC: Secondary CPU 2 switching to normal world boot

RBeoaodyt  I/TC: Secondary CPU 5 initializing

-tS oRe cBeoaodnoydtI/TC: Secondary CPU 5 switching to normal world boot

   StCePo Uc
Bo
nodoR CtK PS3U5
eI/TC: Secondary CPU 3 initializing

c7
-o RnR6K 3edH5aC d7I/TC: Secondary CPU 3 switching to normal world boot

Cy6  PRU_tHCEo

 RR_LB2oEK3=Lo052t70 =06S0e 00cH0C0on0R00d0_00 E0C0I/TC: Secondary CPU 6 initializing

0PL02U00-
=0000
0 0R0R0000eKI/TC: Secondary CPU 6 switching to normal world boot

0300a0520d07
y

0 60Rt
 I/TC: Secondary CPU 7 initializing

oRKH0-KC30  0B5RReo7_3a0o65E70L dtS60y 2C  S=0I/TC: Secondary CPU 7 switching to normal world boot

2etT0
LS0o C
0cRBT_oR0Ln0Eo0LRodK30 1t 5=0C_PS0700e60EU- 
 L00c
S01o0Rn=0R0eC0daT0K0300L d5yCR00_P7
 30t
06UE0 LoRd
10K0
H R=00C3B08RK5o037_00o0t006E50L 7
0 32S6
S0e C-=0 0dcHToCB00L0000onRR__8o00d0 tE3E L0L00C2df100P00Ur==00

0o00
m0
 R800-0000E K0B0L0003
20o005
00
70o6
00-t02 0 3 H00
B
f0dCRrR0o00o0K_omE380t 5L 00Ef2070
6
rL=o

200
mR -
 K S0C03BEo50TL0L2o7t
6R0 0
 _SE0fLCr01To0Lm=0 R00_0E0EL002L
01

=
0R000K0300500370600 0Sd030C0T08dL00R0_0E8
L001
=
0
-0 -0B 0Bo0oo0ot 0tf0 3rf0roomd m0 E0E80LL20
2


-
 
Boot frhom EL2

ell (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS In-it iBoaloitz te
o 
C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for- O SBo oInti ttio alC izreu
n
time for OS Initialize


PASS: REAL K7 NSH
