IMAGE 2528464 e625c8aee64b166f2e192485d4a50060a4f4d4f28aa85e650a57cc9fa816eeaf
CRC VERIFIED 155648/193224 (332.5s)
CRC VERIFIED 159744/193224 (332.6s)
CRC VERIFIED 163840/193224 (332.6s)
CRC VERIFIED 167936/193224 (332.6s)
CRC VERIFIED 172032/193224 (332.6s)
CRC VERIFIED 176128/193224 (332.6s)
CRC VERIFIED 180224/193224 (332.6s)
CRC VERIFIED 184320/193224 (332.7s)
CRC VERIFIED 188416/193224 (332.7s)
CRC VERIFIED 192512/193224 (332.7s)
CRC VERIFIED 193224/193224 (332.7s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (332.7s)
CRC VERIFIED 8192/356616 (332.8s)
CRC VERIFIED 12288/356616 (332.8s)
CRC VERIFIED 16384/356616 (332.8s)
CRC VERIFIED 20480/356616 (332.8s)
CRC VERIFIED 24576/356616 (332.8s)
CRC VERIFIED 28672/356616 (332.8s)
CRC VERIFIED 32768/356616 (332.9s)
CRC VERIFIED 36864/356616 (332.9s)
CRC VERIFIED 40960/356616 (332.9s)
CRC VERIFIED 45056/356616 (332.9s)
CRC VERIFIED 49152/356616 (332.9s)
CRC VERIFIED 53248/356616 (332.9s)
CRC VERIFIED 57344/356616 (333.0s)
CRC VERIFIED 61440/356616 (333.0s)
CRC VERIFIED 65536/356616 (333.0s)
CRC VERIFIED 69632/356616 (333.0s)
CRC VERIFIED 73728/356616 (333.0s)
CRC VERIFIED 77824/356616 (333.0s)
CRC VERIFIED 81920/356616 (333.0s)
CRC VERIFIED 86016/356616 (333.1s)
CRC VERIFIED 90112/356616 (333.1s)
CRC VERIFIED 94208/356616 (333.1s)
CRC VERIFIED 98304/356616 (333.1s)
CRC VERIFIED 102400/356616 (333.1s)
CRC VERIFIED 106496/356616 (333.1s)
CRC VERIFIED 110592/356616 (333.2s)
CRC VERIFIED 114688/356616 (333.2s)
CRC VERIFIED 118784/356616 (333.2s)
CRC VERIFIED 122880/356616 (333.2s)
CRC VERIFIED 126976/356616 (333.2s)
CRC VERIFIED 131072/356616 (333.2s)
CRC VERIFIED 135168/356616 (333.2s)
CRC VERIFIED 139264/356616 (333.3s)
CRC VERIFIED 143360/356616 (333.3s)
CRC VERIFIED 147456/356616 (333.3s)
CRC VERIFIED 151552/356616 (333.3s)
CRC VERIFIED 155648/356616 (333.3s)
CRC VERIFIED 159744/356616 (333.3s)
CRC VERIFIED 163840/356616 (333.4s)
CRC VERIFIED 167936/356616 (333.4s)
CRC VERIFIED 172032/356616 (333.4s)
CRC VERIFIED 176128/356616 (333.4s)
CRC VERIFIED 180224/356616 (333.4s)
CRC VERIFIED 184320/356616 (333.4s)
CRC VERIFIED 188416/356616 (333.5s)
CRC VERIFIED 192512/356616 (333.5s)
CRC VERIFIED 196608/356616 (333.5s)
CRC VERIFIED 200704/356616 (333.5s)
CRC VERIFIED 204800/356616 (333.5s)
CRC VERIFIED 208896/356616 (333.5s)
CRC VERIFIED 212992/356616 (333.5s)
CRC VERIFIED 217088/356616 (333.6s)
CRC VERIFIED 221184/356616 (333.6s)
CRC VERIFIED 225280/356616 (333.6s)
CRC VERIFIED 229376/356616 (333.6s)
CRC VERIFIED 233472/356616 (333.6s)
CRC VERIFIED 237568/356616 (333.6s)
CRC VERIFIED 241664/356616 (333.7s)
CRC VERIFIED 245760/356616 (333.7s)
CRC VERIFIED 249856/356616 (333.7s)
CRC VERIFIED 253952/356616 (333.7s)
CRC VERIFIED 258048/356616 (333.7s)
CRC VERIFIED 262144/356616 (333.7s)
CRC VERIFIED 266240/356616 (333.8s)
CRC VERIFIED 270336/356616 (333.8s)
CRC VERIFIED 274432/356616 (333.8s)
CRC VERIFIED 278528/356616 (333.8s)
CRC VERIFIED 282624/356616 (333.8s)
CRC VERIFIED 286720/356616 (333.8s)
CRC VERIFIED 290816/356616 (333.8s)
CRC VERIFIED 294912/356616 (333.9s)
CRC VERIFIED 299008/356616 (333.9s)
CRC VERIFIED 303104/356616 (333.9s)
CRC VERIFIED 307200/356616 (333.9s)
CRC VERIFIED 311296/356616 (333.9s)
CRC VERIFIED 315392/356616 (333.9s)
CRC VERIFIED 319488/356616 (334.0s)
CRC VERIFIED 323584/356616 (334.0s)
CRC VERIFIED 327680/356616 (334.0s)
CRC VERIFIED 331776/356616 (334.0s)
CRC VERIFIED 335872/356616 (334.0s)
CRC VERIFIED 339968/356616 (334.0s)
CRC VERIFIED 344064/356616 (334.0s)
CRC VERIFIED 348160/356616 (334.1s)
CRC VERIFIED 352256/356616 (334.1s)
CRC VERIFIED 356352/356616 (334.1s)
CRC VERIFIED 356616/356616 (334.1s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (334.2s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (334.2s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 335705.930/336058.550 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing



I/TC: Secondary CPU 1 switching to normal world boot

NuttSI/TC: Secondary CPU 4 initializing

heI/TC: Secondary CPU 4 switching to normal world boot

- ReadyI/TC: Secondary CPU 2 initializing

 to BI/TC: Secondary CPU 2 switching to normal world boot

o-o RtI/TC: Secondary CPU 5 initializing

e-  SaRdeeyc atodoynI/TC: Secondary CPU 5 switching to normal world boot

  d tBCooPo tU BI/TC: Secondary CPU 3 initializing


oSeo
-tRc  oReSnKade35cd y7oC6P U ntI/TC: Secondary CPU 3 switching to normal world boot

Hd
oC  
BRRCo_KPUEo3tL
5I/TC: Secondary CPU 6 initializing

 -2
7=RS 6KR0e I/TC: Secondary CPU 6 switching to normal world boot

Hc0e3aC0o5n7R00dd6_I/TC: Secondary CPU 7 initializing

0  y-EL  0HCI/TC: Secondary CPU 7 switching to normal world boot

0RP2C=0eURat
00
0d_o00yR0EL  0KB030t5oo0200o =70B-020t6   00
o
0SRHo0eteC00RcK0 0aRdo3_0S0y0n5eEd L00ct270 o0n=
06oC
d 00P0 0R UB
00SoKC3Po0
0CUtTR050
7 LK06S03
0Re25R0 KSc0_7
3C
0E6oTL Rn05K710dL3= RH06500C _C07HR0EPC0U60_L
R 10
E0_S=
L
E02RC0RLT=KK00L023003005=35000770R60006_d 000 0EL0S0H083C00C0T0001R0dL0_0=000RE0
L00
_002-0E8000L=000 0001000=B0
0000
0o00200o0-
00 00t0
3
B0 00Ro
0Rfo0K0d3rK0t00030o 53f05m0078 70r0660Edo0 L m0002
 0SSE0C
C8
T
T-L
0L0
2 LB

RRR_K

o3oE-_t5 EL B7L1o=16f o0=r0oS0tC 0m0 Tf00LrE000L0Ro_m200
0E0 30EL1L
3020=dd0
00
0000800800
00
000
-3 
-0Bd oB0oot0 8o0tfr0 
for
mo -E mBL2 o
Eo
tL 2f

rom EL2

ll (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime -f Booro OtS  toIn Ci tiraunltiizme
e
 for OS Initialize


PASS: REAL K7 NSH
