IMAGE 2540752 df6b8aa677fdc79596deba77ecbc07262b59aa5c46fbf232e53e2814bb582e2f
CRC VERIFIED 143360/193224 (312.0s)
CRC VERIFIED 147456/193224 (312.0s)
CRC VERIFIED 151552/193224 (312.1s)
CRC VERIFIED 155648/193224 (312.1s)
CRC VERIFIED 159744/193224 (312.1s)
CRC VERIFIED 163840/193224 (312.1s)
CRC VERIFIED 167936/193224 (312.1s)
CRC VERIFIED 172032/193224 (312.1s)
CRC VERIFIED 176128/193224 (312.2s)
CRC VERIFIED 180224/193224 (312.2s)
CRC VERIFIED 184320/193224 (312.2s)
CRC VERIFIED 188416/193224 (312.2s)
CRC VERIFIED 192512/193224 (312.2s)
CRC VERIFIED 193224/193224 (312.2s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (312.3s)
CRC VERIFIED 8192/356616 (312.3s)
CRC VERIFIED 12288/356616 (312.3s)
CRC VERIFIED 16384/356616 (312.3s)
CRC VERIFIED 20480/356616 (312.3s)
CRC VERIFIED 24576/356616 (312.4s)
CRC VERIFIED 28672/356616 (312.4s)
CRC VERIFIED 32768/356616 (312.4s)
CRC VERIFIED 36864/356616 (312.4s)
CRC VERIFIED 40960/356616 (312.4s)
CRC VERIFIED 45056/356616 (312.4s)
CRC VERIFIED 49152/356616 (312.5s)
CRC VERIFIED 53248/356616 (312.5s)
CRC VERIFIED 57344/356616 (312.5s)
CRC VERIFIED 61440/356616 (312.5s)
CRC VERIFIED 65536/356616 (312.5s)
CRC VERIFIED 69632/356616 (312.5s)
CRC VERIFIED 73728/356616 (312.5s)
CRC VERIFIED 77824/356616 (312.6s)
CRC VERIFIED 81920/356616 (312.6s)
CRC VERIFIED 86016/356616 (312.6s)
CRC VERIFIED 90112/356616 (312.6s)
CRC VERIFIED 94208/356616 (312.6s)
CRC VERIFIED 98304/356616 (312.6s)
CRC VERIFIED 102400/356616 (312.6s)
CRC VERIFIED 106496/356616 (312.7s)
CRC VERIFIED 110592/356616 (312.7s)
CRC VERIFIED 114688/356616 (312.7s)
CRC VERIFIED 118784/356616 (312.7s)
CRC VERIFIED 122880/356616 (312.7s)
CRC VERIFIED 126976/356616 (312.8s)
CRC VERIFIED 131072/356616 (312.8s)
CRC VERIFIED 135168/356616 (312.8s)
CRC VERIFIED 139264/356616 (312.8s)
CRC VERIFIED 143360/356616 (312.8s)
CRC VERIFIED 147456/356616 (312.8s)
CRC VERIFIED 151552/356616 (312.8s)
CRC VERIFIED 155648/356616 (312.9s)
CRC VERIFIED 159744/356616 (312.9s)
CRC VERIFIED 163840/356616 (312.9s)
CRC VERIFIED 167936/356616 (312.9s)
CRC VERIFIED 172032/356616 (312.9s)
CRC VERIFIED 176128/356616 (312.9s)
CRC VERIFIED 180224/356616 (313.0s)
CRC VERIFIED 184320/356616 (313.0s)
CRC VERIFIED 188416/356616 (313.0s)
CRC VERIFIED 192512/356616 (313.0s)
CRC VERIFIED 196608/356616 (313.0s)
CRC VERIFIED 200704/356616 (313.0s)
CRC VERIFIED 204800/356616 (313.0s)
CRC VERIFIED 208896/356616 (313.1s)
CRC VERIFIED 212992/356616 (313.1s)
CRC VERIFIED 217088/356616 (313.1s)
CRC VERIFIED 221184/356616 (313.1s)
CRC VERIFIED 225280/356616 (313.1s)
CRC VERIFIED 229376/356616 (313.1s)
CRC VERIFIED 233472/356616 (313.2s)
CRC VERIFIED 237568/356616 (313.2s)
CRC VERIFIED 241664/356616 (313.2s)
CRC VERIFIED 245760/356616 (313.2s)
CRC VERIFIED 249856/356616 (313.2s)
CRC VERIFIED 253952/356616 (313.2s)
CRC VERIFIED 258048/356616 (313.2s)
CRC VERIFIED 262144/356616 (313.3s)
CRC VERIFIED 266240/356616 (313.3s)
CRC VERIFIED 270336/356616 (313.3s)
CRC VERIFIED 274432/356616 (313.3s)
CRC VERIFIED 278528/356616 (313.3s)
CRC VERIFIED 282624/356616 (313.3s)
CRC VERIFIED 286720/356616 (313.4s)
CRC VERIFIED 290816/356616 (313.4s)
CRC VERIFIED 294912/356616 (313.4s)
CRC VERIFIED 299008/356616 (313.4s)
CRC VERIFIED 303104/356616 (313.4s)
CRC VERIFIED 307200/356616 (313.4s)
CRC VERIFIED 311296/356616 (313.5s)
CRC VERIFIED 315392/356616 (313.5s)
CRC VERIFIED 319488/356616 (313.5s)
CRC VERIFIED 323584/356616 (313.5s)
CRC VERIFIED 327680/356616 (313.5s)
CRC VERIFIED 331776/356616 (313.5s)
CRC VERIFIED 335872/356616 (313.5s)
CRC VERIFIED 339968/356616 (313.6s)
CRC VERIFIED 344064/356616 (313.6s)
CRC VERIFIED 348160/356616 (313.6s)
CRC VERIFIED 352256/356616 (313.6s)
CRC VERIFIED 356352/356616 (313.6s)
CRC VERIFIED 356616/356616 (313.6s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (313.7s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (313.7s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 321781.4/322133.888 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I/TC: Secondary CPU 1 switching to normal world boot


NuttSI/TC: Secondary CPU 4 initializing

hIe/TC: Secondary CPU 4 switching to normal world boot

- ReadI/TC: Secondary CPU 2 initializing

y to I/TC: Secondary CPU 2 switching to normal world boot

B- ooRtea SdI/TC: Secondary CPU 5 initializing

e-yc o tRoen BdaI/TC: Secondary CPU 5 switching to normal world boot

od yCo tI/TC: Secondary CPU 3 initializing

 tPoSU
- eI/TC: Secondary CPU 3 switching to normal world boot

c
B oRRoI/TC: Secondary CPU 6 initializing

oeK-n3atd   5dyCRS7Pe 6eI/TC: Secondary CPU 6 switching to normal world boot

U atc
oodHC
y nB RR_otdK3 EoCt5oI/TC: Secondary CPU 7 initializing

L -P7 BUS62 eo R
e
coH=I/TC: Secondary CPU 7 switching to normal world boot

Rto0aCR Kn0d0dS3y_0  5eELcC7t0026oP  U=0o0nHB0
0d0
Co -o0RRC _0tK0 RE030PULSe0507e200
a06c0
=d0R0 0yo 20nKH00tCd0
oR3
 00_0CR50 BK7P00ELU00o36 
0o502H7
=t
0
60RC0 RR 00SK3S0Ke_05CE03c07TLo056700nL20R0d 62 _0= HS0C
E0C
CPRL00_0R0T1U0K
L0=E0L030R
00R_250E=0700K00L603
05100 0
7=S0R06C0000T0 00KL3H0003000C50R7000_dRE6_00000L 0E008L10S200
320=C0T00
=00d00L
R0R
00K03-0_000E058
 00L
07B0600o1R oK
=000S00
t3-300C 50 07f0d0B06ro 0T00oo00L0Sm8R00Ct T E_000L3fE0L00R2
rL

o
d_
R
-10Em0 K=L 38B01EL05=o0o0720
00t6
0

  0S00-0C f0B0r0TL0o0o3mRo00t _30E dEfd0LL021r0
08o=m8
00 000E00

0L2
0
-
-0
0  B0B3ooo0otdt  0f0frr80oom0m
  E
EL-L 2
B2
o

ot from EL2

ll (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime-  fBoor oOtS  toI nCit riuanltizieme
 
for OS Initialize


PASS: REAL K7 NSH
