IMAGE 2208512 369a710d03ce2407a0cffe56f3042cd3884e195c11bf0cd33075ad84ec03c7d2
CRC VERIFIED 290816/356616 (289.4s)
CRC VERIFIED 294912/356616 (289.4s)
CRC VERIFIED 299008/356616 (289.4s)
CRC VERIFIED 303104/356616 (289.4s)
CRC VERIFIED 307200/356616 (289.5s)
CRC VERIFIED 311296/356616 (289.5s)
CRC VERIFIED 315392/356616 (289.5s)
CRC VERIFIED 319488/356616 (289.5s)
CRC VERIFIED 323584/356616 (289.5s)
CRC VERIFIED 327680/356616 (289.5s)
CRC VERIFIED 331776/356616 (289.5s)
CRC VERIFIED 335872/356616 (289.6s)
CRC VERIFIED 339968/356616 (289.6s)
CRC VERIFIED 344064/356616 (289.6s)
CRC VERIFIED 348160/356616 (289.6s)
CRC VERIFIED 352256/356616 (289.6s)
CRC VERIFIED 356352/356616 (289.6s)
CRC VERIFIED 356616/356616 (289.7s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (289.7s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (289.7s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 299244.923/299597.886 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I/TC: Secondary CPU 1 switching to normal world boot


NutIt/TC: Secondary CPU 4 initializing

SI/TC: Secondary CPU 4 switching to normal world boot

- ReadI/TC: Secondary CPU 2 initializing

y -t Ro eI/TC: Secondary CPU 2 switching to normal world boot

aBdoyoI/TC: Secondary CPU 5 initializing

-t   toRS eeacBdoonyotd   I/TC: Secondary CPU 5 switching to normal world boot

tSCeoP UcB
oo
nI/TC: Secondary CPU 3 initializing

doR-Kt   3RCP5See7Ua6d

c yH RtoCKRn3o _d5 B7oEC6 oLPI/TC: Secondary CPU 3 switching to normal world boot

HtC2 U=R
S
0_e0EcRoKL0n0325d0=700 06C0I/TC: Secondary CPU 6 initializing

 0-0P0 0HUI/TC: Secondary CPU 6 switching to normal world boot


R000Ce0
RR000_a0K03d0I/TC: Secondary CPU 7 initializing

E0-05Ly 2072R 0
6I/TC: Secondary CPU 7 switching to normal world boot

 0t=e
RH0oa00 d0KCy00R3B_
0 otE
5o0toL0R20 K7 =B6S30e0o500o70c 600ot-S  0 Cn0dSSR00Te0C eCcL00TaoLdP00y0n2RUR0__
d
  
0Et
EoCL0LRR1 K1P0K=033BU=05
50o0o7
7006
00tRK
 006 3RH0S 0e0K5SC0cR00C370_o0T56nLE0 37R3d06LH_0d 2 CS0C=RdEC00P_L00T18UE00
LL8=200R0
00R0
0_=K
0
0E000
30L-1 0-500=0B07 060000oB000 o03o0t00HC 000o00tf0Rd000r0_0000 o0Em08f20L0r02
 3E0=0
0odRmL0
00 02K
030E-0

0 L
8
250BR07Ko00

6o30 0

5-07tS06 C B f0ToL0Sr0ooRCT0t_mLE 0 fLER01r
_L2
oERm
=L0K 13E=0L0052
70006
 00
S00C0000TL0303Rd_0Ed0L0010880=0000
00
0

-00- B0 0Boo3o0t odf0t0 rof80mr 0Eo
Lm
2-  

EBoLo2t

 from EL2

hell (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for-  BOoSo tIn titoi Ca lriuzen
t
ime for OS Initialize


PASS: REAL K7 NSH
