IMAGE 10514736 967bea4cef6b9bf220d019ed8c06bb424eb33c40ff3e0f13af8eb15de539cb4f
CRC VERIFIED 2314240/10514736 (566.2s)
CRC VERIFIED 2318336/10514736 (567.4s)
CRC VERIFIED 2322432/10514736 (568.6s)
CRC VERIFIED 2326528/10514736 (569.8s)
CRC VERIFIED 2330624/10514736 (571.0s)
CRC VERIFIED 2334720/10514736 (572.2s)
CRC VERIFIED 2338816/10514736 (573.4s)
CRC VERIFIED 2342912/10514736 (574.6s)
CRC VERIFIED 2347008/10514736 (575.8s)
CRC VERIFIED 2351104/10514736 (577.0s)
CRC VERIFIED 2355200/10514736 (578.2s)
CRC VERIFIED 2359296/10514736 (579.5s)
CRC VERIFIED 2363392/10514736 (580.7s)
CRC VERIFIED 2367488/10514736 (581.9s)
CRC VERIFIED 2371584/10514736 (583.1s)
CRC VERIFIED 2375680/10514736 (584.3s)
CRC VERIFIED 2379776/10514736 (585.5s)
CRC VERIFIED 2383872/10514736 (586.7s)
CRC VERIFIED 2387968/10514736 (588.0s)
CRC VERIFIED 2392064/10514736 (589.1s)
CRC VERIFIED 2396160/10514736 (590.3s)
CRC VERIFIED 2400256/10514736 (591.5s)
CRC VERIFIED 2404352/10514736 (592.7s)
CRC VERIFIED 2408448/10514736 (594.0s)
CRC VERIFIED 2412544/10514736 (595.2s)
CRC VERIFIED 2416640/10514736 (596.4s)
CRC VERIFIED 2420736/10514736 (597.6s)
CRC VERIFIED 2424832/10514736 (598.8s)
CRC VERIFIED 2428928/10514736 (600.0s)
CRC VERIFIED 2433024/10514736 (601.2s)
CRC VERIFIED 2437120/10514736 (602.5s)
CRC VERIFIED 2441216/10514736 (603.7s)
CRC VERIFIED 2445312/10514736 (604.9s)
CRC VERIFIED 2449408/10514736 (606.1s)
CRC VERIFIED 2453504/10514736 (607.4s)
CRC VERIFIED 2457600/10514736 (608.6s)
CRC VERIFIED 2461696/10514736 (609.8s)
CRC VERIFIED 2465792/10514736 (611.0s)
CRC VERIFIED 2469888/10514736 (612.2s)
CRC VERIFIED 2473984/10514736 (613.4s)
CRC VERIFIED 2478080/10514736 (614.6s)
CRC VERIFIED 2482176/10514736 (615.8s)
CRC VERIFIED 2486272/10514736 (617.0s)
CRC VERIFIED 2490368/10514736 (618.2s)
CRC VERIFIED 2494464/10514736 (619.4s)
CRC VERIFIED 2498560/10514736 (620.7s)
CRC VERIFIED 2502656/10514736 (621.9s)
CRC VERIFIED 2506752/10514736 (623.1s)
CRC VERIFIED 2510848/10514736 (624.3s)
CRC VERIFIED 2514944/10514736 (625.5s)
CRC VERIFIED 2519040/10514736 (626.8s)
CRC VERIFIED 2523136/10514736 (628.0s)
CRC VERIFIED 2527232/10514736 (629.2s)
CRC VERIFIED 2531328/10514736 (630.4s)
CRC VERIFIED 2535424/10514736 (631.6s)
CRC VERIFIED 2539520/10514736 (632.8s)
CRC VERIFIED 2543616/10514736 (634.1s)
CRC VERIFIED 2547712/10514736 (635.3s)
CRC VERIFIED 2551808/10514736 (636.5s)
CRC VERIFIED 2555904/10514736 (637.7s)
CRC VERIFIED 2560000/10514736 (638.9s)
CRC VERIFIED 2564096/10514736 (640.1s)
CRC VERIFIED 2568192/10514736 (641.4s)
CRC VERIFIED 2572288/10514736 (642.6s)
CRC VERIFIED 2576384/10514736 (643.8s)
CRC VERIFIED 2580480/10514736 (645.0s)
CRC VERIFIED 2584576/10514736 (646.2s)
CRC VERIFIED 2588672/10514736 (647.4s)
CRC VERIFIED 2592768/10514736 (648.7s)
CRC VERIFIED 2596864/10514736 (649.9s)
CRC VERIFIED 2600960/10514736 (651.1s)
CRC VERIFIED 2605056/10514736 (652.3s)
CRC VERIFIED 2609152/10514736 (653.5s)
CRC VERIFIED 2613248/10514736 (654.7s)
CRC VERIFIED 2617344/10514736 (655.9s)
CRC VERIFIED 2621440/10514736 (657.2s)
CRC VERIFIED 2625536/10514736 (658.4s)
CRC VERIFIED 2629632/10514736 (659.6s)
CRC VERIFIED 2633728/10514736 (660.8s)
CRC VERIFIED 2637824/10514736 (662.0s)
CRC VERIFIED 2641920/10514736 (663.2s)
CRC VERIFIED 2646016/10514736 (664.5s)
CRC VERIFIED 2650112/10514736 (665.7s)
CRC VERIFIED 2654208/10514736 (666.9s)
CRC VERIFIED 2658304/10514736 (668.1s)
CRC VERIFIED 2662400/10514736 (669.3s)
CRC VERIFIED 2666496/10514736 (670.5s)
CRC VERIFIED 2670592/10514736 (671.7s)
CRC VERIFIED 2674688/10514736 (673.0s)
CRC VERIFIED 2678784/10514736 (674.2s)
CRC VERIFIED 2682880/10514736 (675.4s)
CRC VERIFIED 2686976/10514736 (676.6s)
CRC VERIFIED 2691072/10514736 (677.8s)
CRC VERIFIED 2695168/10514736 (679.0s)
CRC VERIFIED 2699264/10514736 (680.2s)
CRC VERIFIED 2703360/10514736 (681.5s)
CRC VERIFIED 2707456/10514736 (682.7s)
CRC VERIFIED 2711552/10514736 (683.9s)
CRC VERIFIED 2715648/10514736 (685.1s)
CRC VERIFIED 2719744/10514736 (686.3s)
CRC VERIFIED 2723840/10514736 (687.6s)
CRC VERIFIED 2727936/10514736 (688.8s)
CRC VERIFIED 2732032/10514736 (690.0s)
CRC VERIFIED 2736128/10514736 (691.2s)
CRC VERIFIED 2740224/10514736 (692.4s)
CRC VERIFIED 2744320/10514736 (693.6s)
CRC VERIFIED 2748416/10514736 (694.8s)
CRC VERIFIED 2752512/10514736 (696.0s)
CRC VERIFIED 2756608/10514736 (697.3s)
CRC VERIFIED 2760704/10514736 (698.5s)
CRC VERIFIED 2764800/10514736 (699.8s)
CRC VERIFIED 2768896/10514736 (701.0s)
CRC VERIFIED 2772992/10514736 (702.2s)
CRC VERIFIED 2777088/10514736 (703.4s)
CRC VERIFIED 2781184/10514736 (704.6s)
CRC VERIFIED 2785280/10514736 (705.8s)
CRC VERIFIED 2789376/10514736 (707.0s)
CRC VERIFIED 2793472/10514736 (708.3s)
CRC VERIFIED 2797568/10514736 (709.5s)
CRC VERIFIED 2801664/10514736 (710.7s)
CRC VERIFIED 2805760/10514736 (711.9s)
CRC VERIFIED 2809856/10514736 (713.2s)
CRC VERIFIED 2813952/10514736 (714.4s)
CRC VERIFIED 2818048/10514736 (715.6s)
CRC VERIFIED 2822144/10514736 (716.8s)
CRC VERIFIED 2826240/10514736 (718.0s)
CRC VERIFIED 2830336/10514736 (719.2s)
CRC VERIFIED 2834432/10514736 (720.5s)
CRC VERIFIED 2838528/10514736 (721.7s)
CRC VERIFIED 2842624/10514736 (722.9s)
CRC VERIFIED 2846720/10514736 (724.1s)
CRC VERIFIED 2850816/10514736 (725.3s)
CRC VERIFIED 2854912/10514736 (726.5s)
CRC VERIFIED 2859008/10514736 (727.7s)
CRC VERIFIED 2863104/10514736 (729.0s)
CRC VERIFIED 2867200/10514736 (730.2s)
CRC VERIFIED 2871296/10514736 (731.4s)
CRC VERIFIED 2875392/10514736 (732.6s)
CRC VERIFIED 2879488/10514736 (733.8s)
CRC VERIFIED 2883584/10514736 (735.0s)
CRC VERIFIED 2887680/10514736 (736.2s)
CRC VERIFIED 2891776/10514736 (737.4s)
CRC VERIFIED 2895872/10514736 (738.7s)
CRC VERIFIED 2899968/10514736 (739.9s)
CRC VERIFIED 2904064/10514736 (741.1s)
CRC VERIFIED 2908160/10514736 (742.2s)
CRC VERIFIED 2912256/10514736 (743.5s)
CRC VERIFIED 2916352/10514736 (744.7s)
CRC VERIFIED 2920448/10514736 (745.9s)
CRC VERIFIED 2924544/10514736 (747.1s)
CRC VERIFIED 2928640/10514736 (748.3s)
CRC VERIFIED 2932736/10514736 (749.6s)
CRC VERIFIED 2936832/10514736 (750.8s)
CRC VERIFIED 2940928/10514736 (752.0s)
CRC VERIFIED 2945024/10514736 (753.2s)
CRC VERIFIED 2949120/10514736 (754.4s)
CRC VERIFIED 2953216/10514736 (755.6s)
CRC VERIFIED 2957312/10514736 (756.8s)
CRC VERIFIED 2961408/10514736 (758.0s)
CRC VERIFIED 2965504/10514736 (759.2s)
CRC VERIFIED 2969600/10514736 (760.5s)
CRC VERIFIED 2973696/10514736 (761.7s)
CRC VERIFIED 2977792/10514736 (762.9s)
CRC VERIFIED 2981888/10514736 (764.1s)
CRC VERIFIED 2985984/10514736 (765.4s)
CRC VERIFIED 2990080/10514736 (766.5s)
CRC VERIFIED 2994176/10514736 (767.7s)
CRC VERIFIED 2998272/10514736 (768.9s)
CRC VERIFIED 3002368/10514736 (770.1s)
CRC VERIFIED 3006464/10514736 (771.3s)
CRC VERIFIED 3010560/10514736 (772.5s)
CRC VERIFIED 3014656/10514736 (773.7s)
CRC VERIFIED 3018752/10514736 (774.9s)
CRC VERIFIED 3022848/10514736 (776.1s)
CRC VERIFIED 3026944/10514736 (777.2s)
CRC VERIFIED 3031040/10514736 (778.4s)
CRC VERIFIED 3035136/10514736 (779.6s)
CRC VERIFIED 3039232/10514736 (780.8s)
CRC VERIFIED 3043328/10514736 (782.0s)
CRC VERIFIED 3047424/10514736 (783.2s)
CRC VERIFIED 3051520/10514736 (784.4s)
CRC VERIFIED 3055616/10514736 (785.6s)
CRC VERIFIED 3059712/10514736 (786.8s)
CRC VERIFIED 3063808/10514736 (788.0s)
CRC VERIFIED 3067904/10514736 (789.2s)
CRC VERIFIED 3072000/10514736 (790.4s)
CRC VERIFIED 3076096/10514736 (791.6s)
CRC VERIFIED 3080192/10514736 (792.7s)
CRC VERIFIED 3084288/10514736 (793.9s)
CRC VERIFIED 3088384/10514736 (795.1s)
CRC VERIFIED 3092480/10514736 (796.3s)
CRC VERIFIED 3096576/10514736 (797.5s)
CRC VERIFIED 3100672/10514736 (798.7s)
CRC VERIFIED 3104768/10514736 (799.8s)
CRC VERIFIED 3108864/10514736 (801.1s)
CRC VERIFIED 3112960/10514736 (802.3s)
CRC VERIFIED 3117056/10514736 (803.5s)
CRC VERIFIED 3121152/10514736 (804.7s)
CRC VERIFIED 3125248/10514736 (805.9s)
CRC VERIFIED 3129344/10514736 (807.1s)
CRC VERIFIED 3133440/10514736 (808.3s)
CRC VERIFIED 3137536/10514736 (809.5s)
CRC VERIFIED 3141632/10514736 (810.8s)
CRC VERIFIED 3145728/10514736 (812.0s)
CRC VERIFIED 3149824/10514736 (813.2s)
CRC VERIFIED 3153920/10514736 (814.4s)
CRC VERIFIED 3158016/10514736 (815.6s)
CRC VERIFIED 3162112/10514736 (816.8s)
CRC VERIFIED 3166208/10514736 (818.1s)
CRC VERIFIED 3170304/10514736 (819.3s)
CRC VERIFIED 3174400/10514736 (820.5s)
CRC VERIFIED 3178496/10514736 (821.7s)
CRC VERIFIED 3182592/10514736 (822.9s)
CRC VERIFIED 3186688/10514736 (824.1s)
CRC VERIFIED 3190784/10514736 (825.4s)
CRC VERIFIED 3194880/10514736 (826.6s)
CRC VERIFIED 3198976/10514736 (827.8s)
CRC VERIFIED 3203072/10514736 (829.0s)
CRC VERIFIED 3207168/10514736 (830.2s)
CRC VERIFIED 3211264/10514736 (831.5s)
CRC VERIFIED 3215360/10514736 (832.7s)
CRC VERIFIED 3219456/10514736 (833.9s)
CRC VERIFIED 3223552/10514736 (835.1s)
CRC VERIFIED 3227648/10514736 (836.3s)
CRC VERIFIED 3231744/10514736 (837.5s)
CRC VERIFIED 3235840/10514736 (838.7s)
CRC VERIFIED 3239936/10514736 (840.0s)
CRC VERIFIED 3244032/10514736 (841.2s)
CRC VERIFIED 3248128/10514736 (842.4s)
CRC VERIFIED 3252224/10514736 (843.6s)
CRC VERIFIED 3256320/10514736 (844.8s)
CRC VERIFIED 3260416/10514736 (846.0s)
CRC VERIFIED 3264512/10514736 (847.2s)
CRC VERIFIED 3268608/10514736 (848.5s)
CRC VERIFIED 3272704/10514736 (849.7s)
CRC VERIFIED 3276800/10514736 (850.9s)
CRC VERIFIED 3280896/10514736 (852.1s)
CRC VERIFIED 3284992/10514736 (853.3s)
CRC VERIFIED 3289088/10514736 (854.5s)
CRC VERIFIED 3293184/10514736 (855.8s)
CRC VERIFIED 3297280/10514736 (857.0s)
CRC VERIFIED 3301376/10514736 (858.2s)
CRC VERIFIED 3305472/10514736 (859.4s)
CRC VERIFIED 3309568/10514736 (860.6s)
CRC VERIFIED 3313664/10514736 (861.8s)
CRC VERIFIED 3317760/10514736 (863.0s)
CRC VERIFIED 3321856/10514736 (864.2s)
CRC VERIFIED 3325952/10514736 (865.5s)
CRC VERIFIED 3330048/10514736 (866.7s)
CRC VERIFIED 3334144/10514736 (867.9s)
CRC VERIFIED 3338240/10514736 (869.1s)
CRC VERIFIED 3342336/10514736 (870.3s)
CRC VERIFIED 3346432/10514736 (871.5s)
CRC VERIFIED 3350528/10514736 (872.8s)
CRC VERIFIED 3354624/10514736 (874.0s)
CRC VERIFIED 3358720/10514736 (875.2s)
CRC VERIFIED 3362816/10514736 (876.4s)
CRC VERIFIED 3366912/10514736 (877.6s)
CRC VERIFIED 3371008/10514736 (878.9s)
CRC VERIFIED 3375104/10514736 (880.1s)
CRC VERIFIED 3379200/10514736 (881.3s)
CRC VERIFIED 3383296/10514736 (882.5s)
CRC VERIFIED 3387392/10514736 (883.7s)
CRC VERIFIED 3391488/10514736 (884.9s)
CRC VERIFIED 3395584/10514736 (886.1s)
CRC VERIFIED 3399680/10514736 (887.4s)
CRC VERIFIED 3403776/10514736 (888.6s)
CRC VERIFIED 3407872/10514736 (889.8s)
CRC VERIFIED 3411968/10514736 (891.0s)
CRC VERIFIED 3416064/10514736 (892.2s)
CRC VERIFIED 3420160/10514736 (893.5s)
CRC VERIFIED 3424256/10514736 (894.7s)
CRC VERIFIED 3428352/10514736 (895.8s)
CRC VERIFIED 3432448/10514736 (897.1s)
CRC VERIFIED 3436544/10514736 (898.3s)
CRC VERIFIED 3440640/10514736 (899.5s)
CRC VERIFIED 3444736/10514736 (900.7s)
CRC VERIFIED 3448832/10514736 (901.9s)
CRC VERIFIED 3452928/10514736 (903.1s)
CRC VERIFIED 3457024/10514736 (904.3s)
CRC VERIFIED 3461120/10514736 (905.6s)
CRC VERIFIED 3465216/10514736 (906.8s)
CRC VERIFIED 3469312/10514736 (908.0s)
CRC VERIFIED 3473408/10514736 (909.2s)
CRC VERIFIED 3477504/10514736 (910.4s)
CRC VERIFIED 3481600/10514736 (911.6s)
CRC VERIFIED 3485696/10514736 (912.9s)
CRC VERIFIED 3489792/10514736 (914.1s)
CRC VERIFIED 3493888/10514736 (915.3s)
CRC VERIFIED 3497984/10514736 (916.5s)
CRC VERIFIED 3502080/10514736 (917.7s)
CRC VERIFIED 3506176/10514736 (918.9s)
CRC VERIFIED 3510272/10514736 (920.1s)
CRC VERIFIED 3514368/10514736 (921.2s)
CRC VERIFIED 3518464/10514736 (922.4s)
CRC VERIFIED 3522560/10514736 (923.6s)
CRC VERIFIED 3526656/10514736 (924.9s)
CRC VERIFIED 3530752/10514736 (926.1s)
CRC VERIFIED 3534848/10514736 (927.3s)
CRC VERIFIED 3538944/10514736 (928.5s)
CRC VERIFIED 3543040/10514736 (929.8s)
CRC VERIFIED 3547136/10514736 (931.0s)
CRC VERIFIED 3551232/10514736 (932.2s)
CRC VERIFIED 3555328/10514736 (933.4s)
CRC VERIFIED 3559424/10514736 (934.6s)
CRC VERIFIED 3563520/10514736 (935.8s)
CRC VERIFIED 3567616/10514736 (937.0s)
CRC VERIFIED 3571712/10514736 (938.3s)
CRC VERIFIED 3575808/10514736 (939.5s)
CRC VERIFIED 3579904/10514736 (940.7s)
CRC VERIFIED 3584000/10514736 (941.9s)
CRC VERIFIED 3588096/10514736 (943.1s)
CRC VERIFIED 3592192/10514736 (944.3s)
CRC VERIFIED 3596288/10514736 (945.6s)
CRC VERIFIED 3600384/10514736 (946.8s)
CRC VERIFIED 3604480/10514736 (948.0s)
CRC VERIFIED 3608576/10514736 (949.2s)
CRC VERIFIED 3612672/10514736 (950.4s)
CRC VERIFIED 3616768/10514736 (951.7s)
CRC VERIFIED 3620864/10514736 (952.9s)
CRC VERIFIED 3624960/10514736 (954.1s)
CRC VERIFIED 3629056/10514736 (955.3s)
CRC VERIFIED 3633152/10514736 (956.5s)
CRC VERIFIED 3637248/10514736 (957.7s)
CRC VERIFIED 3641344/10514736 (958.9s)
CRC VERIFIED 3645440/10514736 (960.2s)
CRC VERIFIED 3649536/10514736 (961.4s)
CRC VERIFIED 3653632/10514736 (962.6s)
CRC VERIFIED 3657728/10514736 (963.8s)
CRC VERIFIED 3661824/10514736 (965.0s)
CRC VERIFIED 3665920/10514736 (966.2s)
CRC VERIFIED 3670016/10514736 (967.4s)
CRC VERIFIED 3674112/10514736 (968.6s)
CRC VERIFIED 3678208/10514736 (969.8s)
CRC VERIFIED 3682304/10514736 (971.0s)
CRC VERIFIED 3686400/10514736 (972.3s)
CRC VERIFIED 3690496/10514736 (973.5s)
CRC VERIFIED 3694592/10514736 (974.7s)
CRC VERIFIED 3698688/10514736 (975.9s)
CRC VERIFIED 3702784/10514736 (977.1s)
CRC VERIFIED 3706880/10514736 (978.3s)
CRC VERIFIED 3710976/10514736 (979.5s)
CRC VERIFIED 3715072/10514736 (980.8s)
CRC VERIFIED 3719168/10514736 (982.0s)
CRC VERIFIED 3723264/10514736 (983.2s)
CRC VERIFIED 3727360/10514736 (984.4s)
CRC VERIFIED 3731456/10514736 (985.6s)
CRC VERIFIED 3735552/10514736 (986.8s)
CRC VERIFIED 3739648/10514736 (988.1s)
CRC VERIFIED 3743744/10514736 (989.3s)
CRC VERIFIED 3747840/10514736 (990.5s)
CRC VERIFIED 3751936/10514736 (991.7s)
CRC VERIFIED 3756032/10514736 (992.9s)
CRC VERIFIED 3760128/10514736 (994.2s)
CRC VERIFIED 3764224/10514736 (995.4s)
CRC VERIFIED 3768320/10514736 (996.6s)
CRC VERIFIED 3772416/10514736 (997.8s)
CRC VERIFIED 3776512/10514736 (999.0s)
CRC VERIFIED 3780608/10514736 (1000.2s)
CRC VERIFIED 3784704/10514736 (1001.4s)
CRC VERIFIED 3788800/10514736 (1002.6s)
CRC VERIFIED 3792896/10514736 (1003.8s)
CRC VERIFIED 3796992/10514736 (1005.1s)
CRC VERIFIED 3801088/10514736 (1006.3s)
CRC VERIFIED 3805184/10514736 (1007.5s)
CRC VERIFIED 3809280/10514736 (1008.8s)
CRC VERIFIED 3813376/10514736 (1010.0s)
CRC VERIFIED 3817472/10514736 (1011.2s)
CRC VERIFIED 3821568/10514736 (1012.4s)
CRC VERIFIED 3825664/10514736 (1013.6s)
CRC VERIFIED 3829760/10514736 (1014.8s)
CRC VERIFIED 3833856/10514736 (1016.0s)
CRC VERIFIED 3837952/10514736 (1017.2s)
CRC VERIFIED 3842048/10514736 (1018.4s)
CRC VERIFIED 3846144/10514736 (1019.7s)
CRC VERIFIED 3850240/10514736 (1020.9s)
CRC VERIFIED 3854336/10514736 (1022.1s)
CRC VERIFIED 3858432/10514736 (1023.3s)
CRC VERIFIED 3862528/10514736 (1024.5s)
CRC VERIFIED 3866624/10514736 (1025.7s)
CRC VERIFIED 3870720/10514736 (1026.9s)
CRC VERIFIED 3874816/10514736 (1028.1s)
CRC VERIFIED 3878912/10514736 (1029.3s)
CRC VERIFIED 3883008/10514736 (1030.5s)
CRC VERIFIED 3887104/10514736 (1031.7s)
CRC VERIFIED 3891200/10514736 (1032.9s)
CRC VERIFIED 3895296/10514736 (1034.2s)
CRC VERIFIED 3899392/10514736 (1035.4s)
CRC VERIFIED 3903488/10514736 (1036.6s)
CRC VERIFIED 3907584/10514736 (1037.8s)
CRC VERIFIED 3911680/10514736 (1039.0s)
CRC VERIFIED 3915776/10514736 (1040.2s)
CRC VERIFIED 3919872/10514736 (1041.4s)
CRC VERIFIED 3923968/10514736 (1042.7s)
CRC VERIFIED 3928064/10514736 (1043.9s)
CRC VERIFIED 3932160/10514736 (1045.1s)
CRC VERIFIED 3936256/10514736 (1046.3s)
CRC VERIFIED 3940352/10514736 (1047.5s)
CRC VERIFIED 3944448/10514736 (1048.7s)
CRC VERIFIED 3948544/10514736 (1049.9s)
CRC VERIFIED 3952640/10514736 (1051.1s)
CRC VERIFIED 3956736/10514736 (1052.4s)
CRC VERIFIED 3960832/10514736 (1053.6s)
CRC VERIFIED 3964928/10514736 (1054.8s)
CRC VERIFIED 3969024/10514736 (1056.0s)
CRC VERIFIED 3973120/10514736 (1057.2s)
CRC VERIFIED 3977216/10514736 (1058.4s)
CRC VERIFIED 3981312/10514736 (1059.6s)
CRC VERIFIED 3985408/10514736 (1060.8s)
CRC VERIFIED 3989504/10514736 (1062.0s)
CRC VERIFIED 3993600/10514736 (1063.2s)
CRC VERIFIED 3997696/10514736 (1064.4s)
CRC VERIFIED 4001792/10514736 (1065.6s)
CRC VERIFIED 4005888/10514736 (1066.8s)
CRC VERIFIED 4009984/10514736 (1068.1s)
CRC VERIFIED 4014080/10514736 (1069.3s)
CRC VERIFIED 4018176/10514736 (1070.5s)
CRC VERIFIED 4022272/10514736 (1071.7s)
CRC VERIFIED 4026368/10514736 (1072.9s)
CRC VERIFIED 4030464/10514736 (1074.1s)
CRC VERIFIED 4034560/10514736 (1075.3s)
CRC VERIFIED 4038656/10514736 (1076.5s)
CRC VERIFIED 4042752/10514736 (1077.8s)
CRC VERIFIED 4046848/10514736 (1079.0s)
CRC VERIFIED 4050944/10514736 (1080.3s)
CRC VERIFIED 4055040/10514736 (1081.5s)
CRC VERIFIED 4059136/10514736 (1082.7s)
CRC VERIFIED 4063232/10514736 (1083.9s)
CRC VERIFIED 4067328/10514736 (1085.2s)
CRC VERIFIED 4071424/10514736 (1086.4s)
CRC VERIFIED 4075520/10514736 (1087.6s)
CRC VERIFIED 4079616/10514736 (1088.8s)
CRC VERIFIED 4083712/10514736 (1090.1s)
CRC VERIFIED 4087808/10514736 (1091.3s)
CRC VERIFIED 4091904/10514736 (1092.5s)
CRC VERIFIED 4096000/10514736 (1093.8s)
CRC VERIFIED 4100096/10514736 (1095.0s)
CRC VERIFIED 4104192/10514736 (1096.2s)
CRC VERIFIED 4108288/10514736 (1097.4s)
CRC VERIFIED 4112384/10514736 (1098.6s)
CRC VERIFIED 4116480/10514736 (1099.8s)
CRC VERIFIED 4120576/10514736 (1101.1s)
CRC VERIFIED 4124672/10514736 (1102.3s)
CRC VERIFIED 4128768/10514736 (1103.5s)
CRC VERIFIED 4132864/10514736 (1104.7s)
CRC VERIFIED 4136960/10514736 (1105.9s)
CRC VERIFIED 4141056/10514736 (1107.2s)
CRC VERIFIED 4145152/10514736 (1108.4s)
CRC VERIFIED 4149248/10514736 (1109.6s)
CRC VERIFIED 4153344/10514736 (1110.8s)
CRC VERIFIED 4157440/10514736 (1112.0s)
CRC VERIFIED 4161536/10514736 (1113.2s)
CRC VERIFIED 4165632/10514736 (1114.4s)
CRC VERIFIED 4169728/10514736 (1115.7s)
CRC VERIFIED 4173824/10514736 (1116.9s)
CRC VERIFIED 4177920/10514736 (1118.1s)
CRC VERIFIED 4182016/10514736 (1119.3s)
CRC VERIFIED 4186112/10514736 (1120.5s)
CRC VERIFIED 4190208/10514736 (1121.7s)
CRC VERIFIED 4194304/10514736 (1122.9s)
CRC VERIFIED 4198400/10514736 (1124.1s)
CRC VERIFIED 4202496/10514736 (1125.3s)
CRC VERIFIED 4206592/10514736 (1126.5s)
CRC VERIFIED 4210688/10514736 (1127.8s)
CRC VERIFIED 4214784/10514736 (1129.0s)
CRC VERIFIED 4218880/10514736 (1130.2s)
CRC VERIFIED 4222976/10514736 (1131.4s)
CRC VERIFIED 4227072/10514736 (1132.6s)
CRC VERIFIED 4231168/10514736 (1133.8s)
CRC VERIFIED 4235264/10514736 (1135.1s)
CRC VERIFIED 4239360/10514736 (1136.3s)
CRC VERIFIED 4243456/10514736 (1137.5s)
CRC VERIFIED 4247552/10514736 (1138.7s)
CRC VERIFIED 4251648/10514736 (1139.9s)
CRC VERIFIED 4255744/10514736 (1141.1s)
CRC VERIFIED 4259840/10514736 (1142.3s)
CRC VERIFIED 4263936/10514736 (1143.5s)
CRC VERIFIED 4268032/10514736 (1144.8s)
CRC VERIFIED 4272128/10514736 (1146.0s)
CRC VERIFIED 4276224/10514736 (1147.2s)
CRC VERIFIED 4280320/10514736 (1148.4s)
CRC VERIFIED 4284416/10514736 (1149.6s)
CRC VERIFIED 4288512/10514736 (1150.8s)
CRC VERIFIED 4292608/10514736 (1152.0s)
CRC VERIFIED 4296704/10514736 (1153.2s)
CRC VERIFIED 4300800/10514736 (1154.4s)
CRC VERIFIED 4304896/10514736 (1155.6s)
CRC VERIFIED 4308992/10514736 (1156.8s)
CRC VERIFIED 4313088/10514736 (1158.0s)
CRC VERIFIED 4317184/10514736 (1159.3s)
CRC VERIFIED 4321280/10514736 (1160.5s)
CRC VERIFIED 4325376/10514736 (1161.7s)
CRC VERIFIED 4329472/10514736 (1162.9s)
CRC VERIFIED 4333568/10514736 (1164.1s)
CRC VERIFIED 4337664/10514736 (1165.3s)
CRC VERIFIED 4341760/10514736 (1166.5s)
CRC VERIFIED 4345856/10514736 (1167.8s)
CRC VERIFIED 4349952/10514736 (1169.0s)
CRC VERIFIED 4354048/10514736 (1170.2s)
CRC VERIFIED 4358144/10514736 (1171.4s)
CRC VERIFIED 4362240/10514736 (1172.6s)
CRC VERIFIED 4366336/10514736 (1173.8s)
CRC VERIFIED 4370432/10514736 (1175.0s)
CRC VERIFIED 4374528/10514736 (1176.2s)
CRC VERIFIED 4378624/10514736 (1177.4s)
CRC VERIFIED 4382720/10514736 (1178.6s)
CRC VERIFIED 4386816/10514736 (1179.9s)
CRC VERIFIED 4390912/10514736 (1181.1s)
CRC VERIFIED 4395008/10514736 (1182.3s)
CRC VERIFIED 4399104/10514736 (1183.5s)
CRC VERIFIED 4403200/10514736 (1184.7s)
CRC VERIFIED 4407296/10514736 (1186.0s)
CRC VERIFIED 4411392/10514736 (1187.2s)
CRC VERIFIED 4415488/10514736 (1188.4s)
CRC VERIFIED 4419584/10514736 (1189.6s)
CRC VERIFIED 4423680/10514736 (1190.8s)
CRC VERIFIED 4427776/10514736 (1192.0s)
CRC VERIFIED 4431872/10514736 (1193.2s)
CRC VERIFIED 4435968/10514736 (1194.5s)
CRC VERIFIED 4440064/10514736 (1195.7s)
CRC VERIFIED 4444160/10514736 (1196.9s)
CRC VERIFIED 4448256/10514736 (1198.1s)
CRC VERIFIED 4452352/10514736 (1199.3s)
CRC VERIFIED 4456448/10514736 (1200.6s)
CRC VERIFIED 4460544/10514736 (1201.8s)
CRC VERIFIED 4464640/10514736 (1203.0s)
CRC VERIFIED 4468736/10514736 (1204.2s)
CRC VERIFIED 4472832/10514736 (1205.4s)
CRC VERIFIED 4476928/10514736 (1206.7s)
CRC VERIFIED 4481024/10514736 (1207.9s)
CRC VERIFIED 4485120/10514736 (1209.1s)
CRC VERIFIED 4489216/10514736 (1210.3s)
CRC VERIFIED 4493312/10514736 (1211.5s)
CRC VERIFIED 4497408/10514736 (1212.7s)
CRC VERIFIED 4501504/10514736 (1213.9s)
CRC VERIFIED 4505600/10514736 (1215.1s)
CRC VERIFIED 4509696/10514736 (1216.4s)
CRC VERIFIED 4513792/10514736 (1217.6s)
CRC VERIFIED 4517888/10514736 (1218.8s)
CRC VERIFIED 4521984/10514736 (1220.0s)
CRC VERIFIED 4526080/10514736 (1221.2s)
CRC VERIFIED 4530176/10514736 (1222.4s)
CRC VERIFIED 4534272/10514736 (1223.7s)
CRC VERIFIED 4538368/10514736 (1224.9s)
CRC VERIFIED 4542464/10514736 (1226.1s)
CRC VERIFIED 4546560/10514736 (1227.3s)
CRC VERIFIED 4550656/10514736 (1228.5s)
CRC VERIFIED 4554752/10514736 (1229.7s)
CRC VERIFIED 4558848/10514736 (1230.9s)
CRC VERIFIED 4562944/10514736 (1232.2s)
