IMAGE 2512032 40cd635782e6a598c7b60464726d522c763c138c4c7779b07bbd4228988bd37b
CRC VERIFIED 192512/193224 (346.2s)
CRC VERIFIED 193224/193224 (346.2s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (346.2s)
CRC VERIFIED 8192/356616 (346.2s)
CRC VERIFIED 12288/356616 (346.2s)
CRC VERIFIED 16384/356616 (346.2s)
CRC VERIFIED 20480/356616 (346.3s)
CRC VERIFIED 24576/356616 (346.3s)
CRC VERIFIED 28672/356616 (346.3s)
CRC VERIFIED 32768/356616 (346.3s)
CRC VERIFIED 36864/356616 (346.3s)
CRC VERIFIED 40960/356616 (346.3s)
CRC VERIFIED 45056/356616 (346.4s)
CRC VERIFIED 49152/356616 (346.4s)
CRC VERIFIED 53248/356616 (346.4s)
CRC VERIFIED 57344/356616 (346.4s)
CRC VERIFIED 61440/356616 (346.4s)
CRC VERIFIED 65536/356616 (346.4s)
CRC VERIFIED 69632/356616 (346.5s)
CRC VERIFIED 73728/356616 (346.5s)
CRC VERIFIED 77824/356616 (346.5s)
CRC VERIFIED 81920/356616 (346.5s)
CRC VERIFIED 86016/356616 (346.5s)
CRC VERIFIED 90112/356616 (346.5s)
CRC VERIFIED 94208/356616 (346.5s)
CRC VERIFIED 98304/356616 (346.6s)
CRC VERIFIED 102400/356616 (346.6s)
CRC VERIFIED 106496/356616 (346.6s)
CRC VERIFIED 110592/356616 (346.6s)
CRC VERIFIED 114688/356616 (346.6s)
CRC VERIFIED 118784/356616 (346.6s)
CRC VERIFIED 122880/356616 (346.7s)
CRC VERIFIED 126976/356616 (346.7s)
CRC VERIFIED 131072/356616 (346.7s)
CRC VERIFIED 135168/356616 (346.7s)
CRC VERIFIED 139264/356616 (346.7s)
CRC VERIFIED 143360/356616 (346.7s)
CRC VERIFIED 147456/356616 (346.8s)
CRC VERIFIED 151552/356616 (346.8s)
CRC VERIFIED 155648/356616 (346.8s)
CRC VERIFIED 159744/356616 (346.8s)
CRC VERIFIED 163840/356616 (346.8s)
CRC VERIFIED 167936/356616 (346.8s)
CRC VERIFIED 172032/356616 (346.8s)
CRC VERIFIED 176128/356616 (346.9s)
CRC VERIFIED 180224/356616 (346.9s)
CRC VERIFIED 184320/356616 (346.9s)
CRC VERIFIED 188416/356616 (346.9s)
CRC VERIFIED 192512/356616 (346.9s)
CRC VERIFIED 196608/356616 (346.9s)
CRC VERIFIED 200704/356616 (347.0s)
CRC VERIFIED 204800/356616 (347.0s)
CRC VERIFIED 208896/356616 (347.0s)
CRC VERIFIED 212992/356616 (347.0s)
CRC VERIFIED 217088/356616 (347.0s)
CRC VERIFIED 221184/356616 (347.0s)
CRC VERIFIED 225280/356616 (347.0s)
CRC VERIFIED 229376/356616 (347.1s)
CRC VERIFIED 233472/356616 (347.1s)
CRC VERIFIED 237568/356616 (347.1s)
CRC VERIFIED 241664/356616 (347.1s)
CRC VERIFIED 245760/356616 (347.1s)
CRC VERIFIED 249856/356616 (347.1s)
CRC VERIFIED 253952/356616 (347.2s)
CRC VERIFIED 258048/356616 (347.2s)
CRC VERIFIED 262144/356616 (347.2s)
CRC VERIFIED 266240/356616 (347.2s)
CRC VERIFIED 270336/356616 (347.2s)
CRC VERIFIED 274432/356616 (347.2s)
CRC VERIFIED 278528/356616 (347.2s)
CRC VERIFIED 282624/356616 (347.3s)
CRC VERIFIED 286720/356616 (347.3s)
CRC VERIFIED 290816/356616 (347.3s)
CRC VERIFIED 294912/356616 (347.3s)
CRC VERIFIED 299008/356616 (347.3s)
CRC VERIFIED 303104/356616 (347.3s)
CRC VERIFIED 307200/356616 (347.4s)
CRC VERIFIED 311296/356616 (347.4s)
CRC VERIFIED 315392/356616 (347.4s)
CRC VERIFIED 319488/356616 (347.4s)
CRC VERIFIED 323584/356616 (347.4s)
CRC VERIFIED 327680/356616 (347.4s)
CRC VERIFIED 331776/356616 (347.5s)
CRC VERIFIED 335872/356616 (347.5s)
CRC VERIFIED 339968/356616 (347.5s)
CRC VERIFIED 344064/356616 (347.5s)
CRC VERIFIED 348160/356616 (347.5s)
CRC VERIFIED 352256/356616 (347.5s)
CRC VERIFIED 356352/356616 (347.6s)
CRC VERIFIED 356616/356616 (347.6s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (347.6s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (347.6s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 357632.741/357985.832 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing



I/TC: Secondary CPU 1 switching to normal world boot

NuttShI/TC: Secondary CPU 4 initializing

e- RI/TC: Secondary CPU 4 switching to normal world boot

eady to I/TC: Secondary CPU 2 initializing

B-o oRteI/TC: Secondary CPU 2 switching to normal world boot

 adSey ctooI/TC: Secondary CPU 5 initializing

 n-Bd oI/TC: Secondary CPU 5 switching to normal world boot

Co PRtUe Sa
d
eI/TC: Secondary CPU 3 initializing

yc-RK  o3tnRdoe 5a BC7doyP6oU I/TC: Secondary CPU 3 switching to normal world boot

tt
 
Ho C RSKRBI/TC: Secondary CPU 6 initializing

-eo_3 c5EoI/TC: Secondary CPU 6 switching to normal world boot

o7tL2R 6ne=S Hae0dCc0 dyoR0I/TC: Secondary CPU 7 initializing

C0n_-dP0E   Rt0UL02
oCeI/TC: Secondary CPU 7 switching to normal world boot

0
= Pa0dR0U00
yBKo0 30
0R05t7K00o30o 065 0t0B-02 o7HCS06
 oRe0Rt
 0HecR _CKEoa0S3dLRe0yn_502codE=0 7t L060n0C d2
oS=
0  0PCBCR0U0TKo0P3Lo0U0
00t

5R
0R70 K_0S0R6K3 0Ee0c00L5S305o1C07=67nT00600 0dL0HR0  HC0C_020
0ECP00R
RUL00
R1__=EE0

K
0L0RL3R20052K0K3=73=0600537500d0 67S0000600 000C0H80 T300SC0LR000Cd
T_00R
0L0E0_E00LR00L-_802000= 1E=B0L0001
0o00000o00=
-0000t000
 0 0B0f200
0ro
R00o00
K0o30tm0R0300 K5 0E07f3003d6rL572 0o0S0d6
m00
 0 0C0E0ST8L
8L0CTR20
0R_

L0E

KR
3L
- 51-7= _B6EB00 LooSo0ott0C10 T =0ffL0r0r0R_o00o0E3mm0 0L 1dE0E=0LL0000228
0
03
0
000
00d
-000 083B0o0od0t0
 0
8f0ro0- 
mB 
-oE Lo2Bt
o 
ot frforomm  ELEL22



ll (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS-  IBnooitti atloi zC er

untime for OS Initialize


PASS: REAL K7 NSH
