IMAGE 2085120 c06c79e13187f8e88244c8d8db151135f1bbcdf6d11faecbeeae3e8f6e7bffda
Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 294537.231/294890.132 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

arm64_chip_boot: RK3576: MMU enabled

rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1



NuttShell (NSH)

nsh> [K
PASS: REAL K7 NSH
