IMAGE 2540752 71cfa9a2837bcfa0638be244bd74ccea0f8b88ef35906e29963ca7f1145eca31
CRC VERIFIED 143360/193224 (310.2s)
CRC VERIFIED 147456/193224 (310.2s)
CRC VERIFIED 151552/193224 (310.2s)
CRC VERIFIED 155648/193224 (310.2s)
CRC VERIFIED 159744/193224 (310.2s)
CRC VERIFIED 163840/193224 (310.2s)
CRC VERIFIED 167936/193224 (310.2s)
CRC VERIFIED 172032/193224 (310.3s)
CRC VERIFIED 176128/193224 (310.3s)
CRC VERIFIED 180224/193224 (310.3s)
CRC VERIFIED 184320/193224 (310.3s)
CRC VERIFIED 188416/193224 (310.3s)
CRC VERIFIED 192512/193224 (310.3s)
CRC VERIFIED 193224/193224 (310.4s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (310.4s)
CRC VERIFIED 8192/356616 (310.4s)
CRC VERIFIED 12288/356616 (310.4s)
CRC VERIFIED 16384/356616 (310.4s)
CRC VERIFIED 20480/356616 (310.5s)
CRC VERIFIED 24576/356616 (310.5s)
CRC VERIFIED 28672/356616 (310.5s)
CRC VERIFIED 32768/356616 (310.5s)
CRC VERIFIED 36864/356616 (310.5s)
CRC VERIFIED 40960/356616 (310.5s)
CRC VERIFIED 45056/356616 (310.5s)
CRC VERIFIED 49152/356616 (310.6s)
CRC VERIFIED 53248/356616 (310.6s)
CRC VERIFIED 57344/356616 (310.6s)
CRC VERIFIED 61440/356616 (310.6s)
CRC VERIFIED 65536/356616 (310.6s)
CRC VERIFIED 69632/356616 (310.6s)
CRC VERIFIED 73728/356616 (310.7s)
CRC VERIFIED 77824/356616 (310.7s)
CRC VERIFIED 81920/356616 (310.7s)
CRC VERIFIED 86016/356616 (310.7s)
CRC VERIFIED 90112/356616 (310.7s)
CRC VERIFIED 94208/356616 (310.7s)
CRC VERIFIED 98304/356616 (310.8s)
CRC VERIFIED 102400/356616 (310.8s)
CRC VERIFIED 106496/356616 (310.8s)
CRC VERIFIED 110592/356616 (310.8s)
CRC VERIFIED 114688/356616 (310.8s)
CRC VERIFIED 118784/356616 (310.8s)
CRC VERIFIED 122880/356616 (310.8s)
CRC VERIFIED 126976/356616 (310.9s)
CRC VERIFIED 131072/356616 (310.9s)
CRC VERIFIED 135168/356616 (310.9s)
CRC VERIFIED 139264/356616 (310.9s)
CRC VERIFIED 143360/356616 (310.9s)
CRC VERIFIED 147456/356616 (310.9s)
CRC VERIFIED 151552/356616 (311.0s)
CRC VERIFIED 155648/356616 (311.0s)
CRC VERIFIED 159744/356616 (311.0s)
CRC VERIFIED 163840/356616 (311.0s)
CRC VERIFIED 167936/356616 (311.0s)
CRC VERIFIED 172032/356616 (311.0s)
CRC VERIFIED 176128/356616 (311.0s)
CRC VERIFIED 180224/356616 (311.1s)
CRC VERIFIED 184320/356616 (311.1s)
CRC VERIFIED 188416/356616 (311.1s)
CRC VERIFIED 192512/356616 (311.1s)
CRC VERIFIED 196608/356616 (311.1s)
CRC VERIFIED 200704/356616 (311.1s)
CRC VERIFIED 204800/356616 (311.2s)
CRC VERIFIED 208896/356616 (311.2s)
CRC VERIFIED 212992/356616 (311.2s)
CRC VERIFIED 217088/356616 (311.2s)
CRC VERIFIED 221184/356616 (311.2s)
CRC VERIFIED 225280/356616 (311.2s)
CRC VERIFIED 229376/356616 (311.3s)
CRC VERIFIED 233472/356616 (311.3s)
CRC VERIFIED 237568/356616 (311.3s)
CRC VERIFIED 241664/356616 (311.3s)
CRC VERIFIED 245760/356616 (311.3s)
CRC VERIFIED 249856/356616 (311.3s)
CRC VERIFIED 253952/356616 (311.4s)
CRC VERIFIED 258048/356616 (311.4s)
CRC VERIFIED 262144/356616 (311.4s)
CRC VERIFIED 266240/356616 (311.4s)
CRC VERIFIED 270336/356616 (311.4s)
CRC VERIFIED 274432/356616 (311.4s)
CRC VERIFIED 278528/356616 (311.5s)
CRC VERIFIED 282624/356616 (311.5s)
CRC VERIFIED 286720/356616 (311.5s)
CRC VERIFIED 290816/356616 (311.5s)
CRC VERIFIED 294912/356616 (311.5s)
CRC VERIFIED 299008/356616 (311.5s)
CRC VERIFIED 303104/356616 (311.5s)
CRC VERIFIED 307200/356616 (311.6s)
CRC VERIFIED 311296/356616 (311.6s)
CRC VERIFIED 315392/356616 (311.6s)
CRC VERIFIED 319488/356616 (311.6s)
CRC VERIFIED 323584/356616 (311.6s)
CRC VERIFIED 327680/356616 (311.6s)
CRC VERIFIED 331776/356616 (311.7s)
CRC VERIFIED 335872/356616 (311.7s)
CRC VERIFIED 339968/356616 (311.7s)
CRC VERIFIED 344064/356616 (311.7s)
CRC VERIFIED 348160/356616 (311.7s)
CRC VERIFIED 352256/356616 (311.7s)
CRC VERIFIED 356352/356616 (311.8s)
CRC VERIFIED 356616/356616 (311.8s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (311.8s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (311.8s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 320397.831/320750.550 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I
/TC: Secondary CPU 1 switching to normal world boot

NuttSI/TC: Secondary CPU 4 initializing

hIe/TC: Secondary CPU 4 switching to normal world boot

- ReaI/TC: Secondary CPU 2 initializing

dy tI/TC: Secondary CPU 2 switching to normal world boot

-o  RBeoI/TC: Secondary CPU 5 initializing

-a odytRI/TC: Secondary CPU 5 switching to normal world boot

 e aStdeoyc  Boontdoot  I/TC: Secondary CPU 3 initializing

 CB-SoPI/TC: Secondary CPU 3 switching to normal world boot

oe tRUc 
eoI/TC: Secondary CPU 6 initializing

-a
nS eddcR yoK RC3etnP5UodI/TC: Secondary CPU 6 switching to normal world boot


a 7 C
6BPR doI/TC: Secondary CPU 7 initializing

H-yoK3 UCt 
 RRt5I/TC: Secondary CPU 7 switching to normal world boot

Se7_o
6Rea E LKcBd3oo2HynCo=5 tdRt070  _o0SCE6  B-P0eL02cHUo oC
o=RtRe
00nRa_0d0 dS 00EKC00Lye35P0 02cot0=7U06n00
0o 
00 0dH 00RBK0oC0C0P3200oRUt
_500
 7
E0R
S060L2K0R0e=03c0 K03H5
o0005nC
767d0R0R060_  K0 30SECCHP5L00T7C00U2
0L2R6 0_
R
=_SE
0R0L0C0ERKKL23T010L=05=7003R0600_05E0 07000H006
L10C0 
=R000SR0000KC_T000E3050LL0700R2000_0=06 00000EL300S00000001C2=T03000
00dLR0
00
d0_0R
00K8000ER30K008L30100507
=05000
0076
-0
 3060S 00- CdS0 0B00CoT0B00LooT
0L
Rto80R_R0t _3K0E L
f03Efr1d5r
L0-1=o7omm 0=06080   BSo00E0Eo0C0L020t0T
LL

0 02
0
-0Rf
r0 _003oEB3mL0o1o0 dd=t E00fL0000r80o0208
m00
0
0 E0
00-L
 3
2B-
0d
o0 o0Bt o8f0o0tro 
fm
- r EBoL2om
ot
  EfrLo2m
 
EL2

ll (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime - foBro otOS  tIon iC triualnitizme
e
 for OS Initialize


PASS: REAL K7 NSH
