IMAGE 2561256 0349c64f59a8634ddea64d65598ec03190edade02a4a056c98baccf763be52a4
CRC VERIFIED 139264/193224 (361.4s)
CRC VERIFIED 143360/193224 (361.4s)
CRC VERIFIED 147456/193224 (361.4s)
CRC VERIFIED 151552/193224 (361.4s)
CRC VERIFIED 155648/193224 (361.5s)
CRC VERIFIED 159744/193224 (361.5s)
CRC VERIFIED 163840/193224 (361.5s)
CRC VERIFIED 167936/193224 (361.5s)
CRC VERIFIED 172032/193224 (361.5s)
CRC VERIFIED 176128/193224 (361.5s)
CRC VERIFIED 180224/193224 (361.5s)
CRC VERIFIED 184320/193224 (361.6s)
CRC VERIFIED 188416/193224 (361.6s)
CRC VERIFIED 192512/193224 (361.6s)
CRC VERIFIED 193224/193224 (361.6s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (361.6s)
CRC VERIFIED 8192/356616 (361.7s)
CRC VERIFIED 12288/356616 (361.7s)
CRC VERIFIED 16384/356616 (361.7s)
CRC VERIFIED 20480/356616 (361.7s)
CRC VERIFIED 24576/356616 (361.7s)
CRC VERIFIED 28672/356616 (361.7s)
CRC VERIFIED 32768/356616 (361.8s)
CRC VERIFIED 36864/356616 (361.8s)
CRC VERIFIED 40960/356616 (361.8s)
CRC VERIFIED 45056/356616 (361.8s)
CRC VERIFIED 49152/356616 (361.8s)
CRC VERIFIED 53248/356616 (361.8s)
CRC VERIFIED 57344/356616 (361.8s)
CRC VERIFIED 61440/356616 (361.9s)
CRC VERIFIED 65536/356616 (361.9s)
CRC VERIFIED 69632/356616 (361.9s)
CRC VERIFIED 73728/356616 (361.9s)
CRC VERIFIED 77824/356616 (361.9s)
CRC VERIFIED 81920/356616 (361.9s)
CRC VERIFIED 86016/356616 (362.0s)
CRC VERIFIED 90112/356616 (362.0s)
CRC VERIFIED 94208/356616 (362.0s)
CRC VERIFIED 98304/356616 (362.0s)
CRC VERIFIED 102400/356616 (362.0s)
CRC VERIFIED 106496/356616 (362.0s)
CRC VERIFIED 110592/356616 (362.0s)
CRC VERIFIED 114688/356616 (362.1s)
CRC VERIFIED 118784/356616 (362.1s)
CRC VERIFIED 122880/356616 (362.1s)
CRC VERIFIED 126976/356616 (362.1s)
CRC VERIFIED 131072/356616 (362.1s)
CRC VERIFIED 135168/356616 (362.1s)
CRC VERIFIED 139264/356616 (362.2s)
CRC VERIFIED 143360/356616 (362.2s)
CRC VERIFIED 147456/356616 (362.2s)
CRC VERIFIED 151552/356616 (362.2s)
CRC VERIFIED 155648/356616 (362.2s)
CRC VERIFIED 159744/356616 (362.2s)
CRC VERIFIED 163840/356616 (362.2s)
CRC VERIFIED 167936/356616 (362.3s)
CRC VERIFIED 172032/356616 (362.3s)
CRC VERIFIED 176128/356616 (362.3s)
CRC VERIFIED 180224/356616 (362.3s)
CRC VERIFIED 184320/356616 (362.3s)
CRC VERIFIED 188416/356616 (362.3s)
CRC VERIFIED 192512/356616 (362.4s)
CRC VERIFIED 196608/356616 (362.4s)
CRC VERIFIED 200704/356616 (362.4s)
CRC VERIFIED 204800/356616 (362.4s)
CRC VERIFIED 208896/356616 (362.4s)
CRC VERIFIED 212992/356616 (362.4s)
CRC VERIFIED 217088/356616 (362.5s)
CRC VERIFIED 221184/356616 (362.5s)
CRC VERIFIED 225280/356616 (362.5s)
CRC VERIFIED 229376/356616 (362.5s)
CRC VERIFIED 233472/356616 (362.5s)
CRC VERIFIED 237568/356616 (362.5s)
CRC VERIFIED 241664/356616 (362.6s)
CRC VERIFIED 245760/356616 (362.6s)
CRC VERIFIED 249856/356616 (362.6s)
CRC VERIFIED 253952/356616 (362.6s)
CRC VERIFIED 258048/356616 (362.6s)
CRC VERIFIED 262144/356616 (362.6s)
CRC VERIFIED 266240/356616 (362.6s)
CRC VERIFIED 270336/356616 (362.7s)
CRC VERIFIED 274432/356616 (362.7s)
CRC VERIFIED 278528/356616 (362.7s)
CRC VERIFIED 282624/356616 (362.7s)
CRC VERIFIED 286720/356616 (362.7s)
CRC VERIFIED 290816/356616 (362.7s)
CRC VERIFIED 294912/356616 (362.8s)
CRC VERIFIED 299008/356616 (362.8s)
CRC VERIFIED 303104/356616 (362.8s)
CRC VERIFIED 307200/356616 (362.8s)
CRC VERIFIED 311296/356616 (362.8s)
CRC VERIFIED 315392/356616 (362.8s)
CRC VERIFIED 319488/356616 (362.8s)
CRC VERIFIED 323584/356616 (362.9s)
CRC VERIFIED 327680/356616 (362.9s)
CRC VERIFIED 331776/356616 (362.9s)
CRC VERIFIED 335872/356616 (362.9s)
CRC VERIFIED 339968/356616 (362.9s)
CRC VERIFIED 344064/356616 (362.9s)
CRC VERIFIED 348160/356616 (363.0s)
CRC VERIFIED 352256/356616 (363.0s)
CRC VERIFIED 356352/356616 (363.0s)
CRC VERIFIED 356616/356616 (363.0s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (363.0s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (363.1s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 380697.469/381050.73 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing



I/TC: Secondary CPU 1 switching to normal world boot

NuttShI/TC: Secondary CPU 4 initializing

elI/TC: Secondary CPU 4 switching to normal world boot

- ReadyI/TC: Secondary CPU 2 initializing

 to -B I/TC: Secondary CPU 2 switching to normal world boot

RoeoatdI/TC: Secondary CPU 5 initializing

y - SI/TC: Secondary CPU 5 switching to normal world boot

te cRoe oaBndoydoI/TC: Secondary CPU 3 initializing

- t  Ct I/TC: Secondary CPU 3 switching to normal world boot

PoRSUe ea
cB
odoyonRtK d 3 tCSo5I/TC: Secondary CPU 6 initializing

7P- 6BU e 
RcoH
eooCantRKdd R3S_y EC 5eI/TC: Secondary CPU 6 switching to normal world boot

tLPc726oo=Un  Bd0H C0
o
oR0C_0RtPE 0UI/TC: Secondary CPU 7 initializing


L-0KS
30e2 Rc=R05700oeKI/TC: Secondary CPU 7 switching to normal world boot

6an30d50 d0y7H00 0 6CC000tP R0U_oH00 
0ECR0
BL20Ro_2
0K
E=o-3RL00t 5 KR023=e70Sa00e6500700cdoy
60 n00  H
td0R0SCo0 KC0RC3T0 0_005EBPoL0U0L70o26
R00_t 
=00SE00 RK0S0LC01T000e30500Lc72=0R0o6n
0
_00
d
E0 LR RH00KCKC1R=30P00U_530050
E0700L06
 R20007SK6=000C3200 03
50S0T0C70L
03RR60dTK 000L_HEd0R00830CL_R01E5008L=_070010E06
0 L=
0000-
20 =0S0
000C-B00 00To0oB00L00oR00
t00
3 0o0f00tR_KrE0 d0L030f3o510r0m8700o06= 0md0E00  0E00LS
L20C80
-0T2
000 00L


BR0



_o0RE-o0Kt L031B 3f0=5ood0r70to060 m 08fS 00rC0EoL0T0
m2L00 

R-_E
30EL dB2Lo1
0=0
o0t800 00f
0ro
0m-00  BE03Lo2o0dt
0 
f0r8o0m0 
E
L- 2B
o
ot from EL2

l (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1
-
 Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime- f oBro otO S tIo nCi tirualntiizme
e
 for OS Initialize


PASS: REAL K7 NSH
