IMAGE 10514736 522047a5f8d6197ea0285227e581f3bce06e04ed23fb101af3dadc61b4f6fdd2
CRC VERIFIED 2314240/10514736 (676.7s)
CRC VERIFIED 2318336/10514736 (677.9s)
CRC VERIFIED 2322432/10514736 (679.0s)
CRC VERIFIED 2326528/10514736 (680.2s)
CRC VERIFIED 2330624/10514736 (681.4s)
CRC VERIFIED 2334720/10514736 (682.6s)
CRC VERIFIED 2338816/10514736 (683.8s)
CRC VERIFIED 2342912/10514736 (685.0s)
CRC VERIFIED 2347008/10514736 (686.2s)
CRC VERIFIED 2351104/10514736 (687.4s)
CRC VERIFIED 2355200/10514736 (688.6s)
CRC VERIFIED 2359296/10514736 (689.8s)
CRC VERIFIED 2363392/10514736 (691.0s)
CRC VERIFIED 2367488/10514736 (692.2s)
CRC VERIFIED 2371584/10514736 (693.4s)
CRC VERIFIED 2375680/10514736 (694.6s)
CRC VERIFIED 2379776/10514736 (695.8s)
CRC VERIFIED 2383872/10514736 (697.0s)
CRC VERIFIED 2387968/10514736 (698.2s)
CRC VERIFIED 2392064/10514736 (699.3s)
CRC VERIFIED 2396160/10514736 (700.5s)
CRC VERIFIED 2400256/10514736 (701.8s)
CRC VERIFIED 2404352/10514736 (703.0s)
CRC VERIFIED 2408448/10514736 (704.2s)
CRC VERIFIED 2412544/10514736 (705.4s)
CRC VERIFIED 2416640/10514736 (706.6s)
CRC VERIFIED 2420736/10514736 (707.8s)
CRC VERIFIED 2424832/10514736 (709.0s)
CRC VERIFIED 2428928/10514736 (710.2s)
CRC VERIFIED 2433024/10514736 (711.3s)
CRC VERIFIED 2437120/10514736 (712.5s)
CRC VERIFIED 2441216/10514736 (713.7s)
CRC VERIFIED 2445312/10514736 (714.9s)
CRC VERIFIED 2449408/10514736 (716.2s)
CRC VERIFIED 2453504/10514736 (717.4s)
CRC VERIFIED 2457600/10514736 (718.6s)
CRC VERIFIED 2461696/10514736 (719.8s)
CRC VERIFIED 2465792/10514736 (721.0s)
CRC VERIFIED 2469888/10514736 (722.2s)
CRC VERIFIED 2473984/10514736 (723.4s)
CRC VERIFIED 2478080/10514736 (724.6s)
CRC VERIFIED 2482176/10514736 (725.8s)
CRC VERIFIED 2486272/10514736 (727.0s)
CRC VERIFIED 2490368/10514736 (728.2s)
CRC VERIFIED 2494464/10514736 (729.4s)
CRC VERIFIED 2498560/10514736 (730.6s)
CRC VERIFIED 2502656/10514736 (731.8s)
CRC VERIFIED 2506752/10514736 (733.0s)
CRC VERIFIED 2510848/10514736 (734.2s)
CRC VERIFIED 2514944/10514736 (735.4s)
CRC VERIFIED 2519040/10514736 (736.6s)
CRC VERIFIED 2523136/10514736 (737.8s)
CRC VERIFIED 2527232/10514736 (739.0s)
CRC VERIFIED 2531328/10514736 (740.2s)
CRC VERIFIED 2535424/10514736 (741.5s)
CRC VERIFIED 2539520/10514736 (742.7s)
CRC VERIFIED 2543616/10514736 (743.9s)
CRC VERIFIED 2547712/10514736 (745.1s)
CRC VERIFIED 2551808/10514736 (746.3s)
CRC VERIFIED 2555904/10514736 (747.5s)
CRC VERIFIED 2560000/10514736 (748.7s)
CRC VERIFIED 2564096/10514736 (749.9s)
CRC VERIFIED 2568192/10514736 (751.1s)
CRC VERIFIED 2572288/10514736 (752.3s)
CRC VERIFIED 2576384/10514736 (753.5s)
CRC VERIFIED 2580480/10514736 (754.8s)
CRC VERIFIED 2584576/10514736 (756.0s)
CRC VERIFIED 2588672/10514736 (757.2s)
CRC VERIFIED 2592768/10514736 (758.4s)
CRC VERIFIED 2596864/10514736 (759.6s)
CRC VERIFIED 2600960/10514736 (760.8s)
CRC VERIFIED 2605056/10514736 (762.0s)
CRC VERIFIED 2609152/10514736 (763.2s)
CRC VERIFIED 2613248/10514736 (764.4s)
CRC VERIFIED 2617344/10514736 (765.6s)
CRC VERIFIED 2621440/10514736 (766.8s)
CRC VERIFIED 2625536/10514736 (768.0s)
CRC VERIFIED 2629632/10514736 (769.2s)
CRC VERIFIED 2633728/10514736 (770.4s)
CRC VERIFIED 2637824/10514736 (771.6s)
CRC VERIFIED 2641920/10514736 (772.8s)
CRC VERIFIED 2646016/10514736 (774.0s)
CRC VERIFIED 2650112/10514736 (775.2s)
CRC VERIFIED 2654208/10514736 (776.5s)
CRC VERIFIED 2658304/10514736 (777.7s)
CRC VERIFIED 2662400/10514736 (778.9s)
CRC VERIFIED 2666496/10514736 (780.1s)
CRC VERIFIED 2670592/10514736 (781.3s)
CRC VERIFIED 2674688/10514736 (782.5s)
CRC VERIFIED 2678784/10514736 (783.7s)
CRC VERIFIED 2682880/10514736 (784.9s)
CRC VERIFIED 2686976/10514736 (786.1s)
CRC VERIFIED 2691072/10514736 (787.3s)
CRC VERIFIED 2695168/10514736 (788.5s)
CRC VERIFIED 2699264/10514736 (789.8s)
CRC VERIFIED 2703360/10514736 (791.0s)
CRC VERIFIED 2707456/10514736 (792.1s)
CRC VERIFIED 2711552/10514736 (793.3s)
CRC VERIFIED 2715648/10514736 (794.5s)
CRC VERIFIED 2719744/10514736 (795.7s)
CRC VERIFIED 2723840/10514736 (796.9s)
CRC VERIFIED 2727936/10514736 (798.1s)
CRC VERIFIED 2732032/10514736 (799.4s)
CRC VERIFIED 2736128/10514736 (800.6s)
CRC VERIFIED 2740224/10514736 (801.8s)
CRC VERIFIED 2744320/10514736 (803.0s)
CRC VERIFIED 2748416/10514736 (804.2s)
CRC VERIFIED 2752512/10514736 (805.4s)
CRC VERIFIED 2756608/10514736 (806.6s)
CRC VERIFIED 2760704/10514736 (807.8s)
CRC VERIFIED 2764800/10514736 (809.0s)
CRC VERIFIED 2768896/10514736 (810.2s)
CRC VERIFIED 2772992/10514736 (811.4s)
CRC VERIFIED 2777088/10514736 (812.6s)
CRC VERIFIED 2781184/10514736 (813.8s)
CRC VERIFIED 2785280/10514736 (815.0s)
CRC VERIFIED 2789376/10514736 (816.2s)
CRC VERIFIED 2793472/10514736 (817.5s)
CRC VERIFIED 2797568/10514736 (818.7s)
CRC VERIFIED 2801664/10514736 (819.9s)
CRC VERIFIED 2805760/10514736 (821.0s)
CRC VERIFIED 2809856/10514736 (822.2s)
CRC VERIFIED 2813952/10514736 (823.4s)
CRC VERIFIED 2818048/10514736 (824.6s)
CRC VERIFIED 2822144/10514736 (825.8s)
CRC VERIFIED 2826240/10514736 (827.0s)
CRC VERIFIED 2830336/10514736 (828.2s)
CRC VERIFIED 2834432/10514736 (829.4s)
CRC VERIFIED 2838528/10514736 (830.6s)
CRC VERIFIED 2842624/10514736 (831.8s)
CRC VERIFIED 2846720/10514736 (833.0s)
CRC VERIFIED 2850816/10514736 (834.2s)
CRC VERIFIED 2854912/10514736 (835.4s)
CRC VERIFIED 2859008/10514736 (836.6s)
CRC VERIFIED 2863104/10514736 (837.8s)
CRC VERIFIED 2867200/10514736 (839.0s)
CRC VERIFIED 2871296/10514736 (840.2s)
CRC VERIFIED 2875392/10514736 (841.4s)
CRC VERIFIED 2879488/10514736 (842.6s)
CRC VERIFIED 2883584/10514736 (843.8s)
CRC VERIFIED 2887680/10514736 (845.0s)
CRC VERIFIED 2891776/10514736 (846.2s)
CRC VERIFIED 2895872/10514736 (847.5s)
CRC VERIFIED 2899968/10514736 (848.7s)
CRC VERIFIED 2904064/10514736 (849.8s)
CRC VERIFIED 2908160/10514736 (851.0s)
CRC VERIFIED 2912256/10514736 (852.2s)
CRC VERIFIED 2916352/10514736 (853.4s)
CRC VERIFIED 2920448/10514736 (854.6s)
CRC VERIFIED 2924544/10514736 (855.8s)
CRC VERIFIED 2928640/10514736 (857.0s)
CRC VERIFIED 2932736/10514736 (858.2s)
CRC VERIFIED 2936832/10514736 (859.3s)
CRC VERIFIED 2940928/10514736 (860.5s)
CRC VERIFIED 2945024/10514736 (861.7s)
CRC VERIFIED 2949120/10514736 (862.9s)
CRC VERIFIED 2953216/10514736 (864.3s)
CRC VERIFIED 2957312/10514736 (865.5s)
CRC VERIFIED 2961408/10514736 (866.8s)
CRC VERIFIED 2965504/10514736 (868.0s)
CRC VERIFIED 2969600/10514736 (869.2s)
CRC VERIFIED 2973696/10514736 (870.4s)
CRC VERIFIED 2977792/10514736 (871.6s)
CRC VERIFIED 2981888/10514736 (872.8s)
CRC VERIFIED 2985984/10514736 (874.0s)
CRC VERIFIED 2990080/10514736 (875.1s)
CRC VERIFIED 2994176/10514736 (876.3s)
CRC VERIFIED 2998272/10514736 (877.5s)
CRC VERIFIED 3002368/10514736 (878.7s)
CRC VERIFIED 3006464/10514736 (879.9s)
CRC VERIFIED 3010560/10514736 (881.1s)
CRC VERIFIED 3014656/10514736 (882.3s)
CRC VERIFIED 3018752/10514736 (883.5s)
CRC VERIFIED 3022848/10514736 (884.7s)
CRC VERIFIED 3026944/10514736 (885.8s)
CRC VERIFIED 3031040/10514736 (887.1s)
CRC VERIFIED 3035136/10514736 (888.3s)
CRC VERIFIED 3039232/10514736 (889.5s)
CRC VERIFIED 3043328/10514736 (890.7s)
CRC VERIFIED 3047424/10514736 (891.9s)
CRC VERIFIED 3051520/10514736 (893.1s)
CRC VERIFIED 3055616/10514736 (894.3s)
CRC VERIFIED 3059712/10514736 (895.5s)
CRC VERIFIED 3063808/10514736 (896.7s)
CRC VERIFIED 3067904/10514736 (897.9s)
CRC VERIFIED 3072000/10514736 (899.1s)
CRC VERIFIED 3076096/10514736 (900.3s)
CRC VERIFIED 3080192/10514736 (901.5s)
CRC VERIFIED 3084288/10514736 (902.7s)
CRC VERIFIED 3088384/10514736 (903.9s)
CRC VERIFIED 3092480/10514736 (905.1s)
CRC VERIFIED 3096576/10514736 (906.3s)
CRC VERIFIED 3100672/10514736 (907.5s)
CRC VERIFIED 3104768/10514736 (908.7s)
CRC VERIFIED 3108864/10514736 (909.9s)
CRC VERIFIED 3112960/10514736 (911.1s)
CRC VERIFIED 3117056/10514736 (912.3s)
CRC VERIFIED 3121152/10514736 (913.5s)
CRC VERIFIED 3125248/10514736 (914.7s)
CRC VERIFIED 3129344/10514736 (915.9s)
CRC VERIFIED 3133440/10514736 (917.1s)
CRC VERIFIED 3137536/10514736 (918.3s)
CRC VERIFIED 3141632/10514736 (919.5s)
CRC VERIFIED 3145728/10514736 (920.7s)
CRC VERIFIED 3149824/10514736 (922.0s)
CRC VERIFIED 3153920/10514736 (923.1s)
CRC VERIFIED 3158016/10514736 (924.3s)
CRC VERIFIED 3162112/10514736 (925.5s)
CRC VERIFIED 3166208/10514736 (926.7s)
CRC VERIFIED 3170304/10514736 (927.9s)
CRC VERIFIED 3174400/10514736 (929.1s)
CRC VERIFIED 3178496/10514736 (930.3s)
CRC VERIFIED 3182592/10514736 (931.5s)
CRC VERIFIED 3186688/10514736 (932.7s)
CRC VERIFIED 3190784/10514736 (934.0s)
CRC VERIFIED 3194880/10514736 (935.1s)
CRC VERIFIED 3198976/10514736 (936.3s)
CRC VERIFIED 3203072/10514736 (937.5s)
CRC VERIFIED 3207168/10514736 (938.7s)
CRC VERIFIED 3211264/10514736 (939.9s)
CRC VERIFIED 3215360/10514736 (941.1s)
CRC VERIFIED 3219456/10514736 (942.3s)
CRC VERIFIED 3223552/10514736 (943.5s)
CRC VERIFIED 3227648/10514736 (944.7s)
CRC VERIFIED 3231744/10514736 (945.9s)
CRC VERIFIED 3235840/10514736 (947.1s)
CRC VERIFIED 3239936/10514736 (948.3s)
CRC VERIFIED 3244032/10514736 (949.5s)
CRC VERIFIED 3248128/10514736 (950.7s)
CRC VERIFIED 3252224/10514736 (951.9s)
CRC VERIFIED 3256320/10514736 (953.1s)
CRC VERIFIED 3260416/10514736 (954.3s)
CRC VERIFIED 3264512/10514736 (955.5s)
CRC VERIFIED 3268608/10514736 (956.7s)
CRC VERIFIED 3272704/10514736 (957.8s)
CRC VERIFIED 3276800/10514736 (959.0s)
CRC VERIFIED 3280896/10514736 (960.2s)
CRC VERIFIED 3284992/10514736 (961.4s)
CRC VERIFIED 3289088/10514736 (962.7s)
CRC VERIFIED 3293184/10514736 (963.9s)
CRC VERIFIED 3297280/10514736 (965.0s)
CRC VERIFIED 3301376/10514736 (966.3s)
CRC VERIFIED 3305472/10514736 (967.5s)
CRC VERIFIED 3309568/10514736 (968.7s)
CRC VERIFIED 3313664/10514736 (969.9s)
CRC VERIFIED 3317760/10514736 (971.1s)
CRC VERIFIED 3321856/10514736 (972.3s)
CRC VERIFIED 3325952/10514736 (973.5s)
CRC VERIFIED 3330048/10514736 (974.7s)
CRC VERIFIED 3334144/10514736 (975.9s)
CRC VERIFIED 3338240/10514736 (977.1s)
CRC VERIFIED 3342336/10514736 (978.3s)
CRC VERIFIED 3346432/10514736 (979.5s)
CRC VERIFIED 3350528/10514736 (980.7s)
CRC VERIFIED 3354624/10514736 (981.9s)
CRC VERIFIED 3358720/10514736 (983.1s)
CRC VERIFIED 3362816/10514736 (984.3s)
CRC VERIFIED 3366912/10514736 (985.5s)
CRC VERIFIED 3371008/10514736 (986.7s)
CRC VERIFIED 3375104/10514736 (987.9s)
CRC VERIFIED 3379200/10514736 (989.1s)
CRC VERIFIED 3383296/10514736 (990.3s)
CRC VERIFIED 3387392/10514736 (991.5s)
CRC VERIFIED 3391488/10514736 (992.7s)
CRC VERIFIED 3395584/10514736 (993.9s)
CRC VERIFIED 3399680/10514736 (995.1s)
CRC VERIFIED 3403776/10514736 (996.3s)
CRC VERIFIED 3407872/10514736 (997.5s)
CRC VERIFIED 3411968/10514736 (998.7s)
CRC VERIFIED 3416064/10514736 (999.9s)
CRC VERIFIED 3420160/10514736 (1001.1s)
CRC VERIFIED 3424256/10514736 (1002.3s)
CRC VERIFIED 3428352/10514736 (1003.5s)
CRC VERIFIED 3432448/10514736 (1004.7s)
CRC VERIFIED 3436544/10514736 (1005.9s)
CRC VERIFIED 3440640/10514736 (1007.1s)
CRC VERIFIED 3444736/10514736 (1008.3s)
CRC VERIFIED 3448832/10514736 (1009.5s)
CRC VERIFIED 3452928/10514736 (1010.7s)
CRC VERIFIED 3457024/10514736 (1011.8s)
CRC VERIFIED 3461120/10514736 (1013.1s)
CRC VERIFIED 3465216/10514736 (1014.3s)
CRC VERIFIED 3469312/10514736 (1015.5s)
CRC VERIFIED 3473408/10514736 (1016.7s)
CRC VERIFIED 3477504/10514736 (1017.9s)
CRC VERIFIED 3481600/10514736 (1019.1s)
CRC VERIFIED 3485696/10514736 (1020.3s)
CRC VERIFIED 3489792/10514736 (1021.5s)
CRC VERIFIED 3493888/10514736 (1022.7s)
CRC VERIFIED 3497984/10514736 (1023.9s)
CRC VERIFIED 3502080/10514736 (1025.1s)
CRC VERIFIED 3506176/10514736 (1026.2s)
CRC VERIFIED 3510272/10514736 (1027.5s)
CRC VERIFIED 3514368/10514736 (1028.7s)
CRC VERIFIED 3518464/10514736 (1029.9s)
CRC VERIFIED 3522560/10514736 (1031.0s)
CRC VERIFIED 3526656/10514736 (1032.3s)
CRC VERIFIED 3530752/10514736 (1033.5s)
CRC VERIFIED 3534848/10514736 (1034.7s)
CRC VERIFIED 3538944/10514736 (1035.9s)
CRC VERIFIED 3543040/10514736 (1037.1s)
CRC VERIFIED 3547136/10514736 (1038.2s)
CRC VERIFIED 3551232/10514736 (1039.4s)
CRC VERIFIED 3555328/10514736 (1040.6s)
CRC VERIFIED 3559424/10514736 (1041.8s)
CRC VERIFIED 3563520/10514736 (1043.0s)
CRC VERIFIED 3567616/10514736 (1044.2s)
CRC VERIFIED 3571712/10514736 (1045.4s)
CRC VERIFIED 3575808/10514736 (1046.6s)
CRC VERIFIED 3579904/10514736 (1047.8s)
CRC VERIFIED 3584000/10514736 (1049.0s)
CRC VERIFIED 3588096/10514736 (1050.2s)
CRC VERIFIED 3592192/10514736 (1051.4s)
CRC VERIFIED 3596288/10514736 (1052.6s)
CRC VERIFIED 3600384/10514736 (1053.8s)
CRC VERIFIED 3604480/10514736 (1055.0s)
CRC VERIFIED 3608576/10514736 (1056.2s)
CRC VERIFIED 3612672/10514736 (1057.4s)
CRC VERIFIED 3616768/10514736 (1058.6s)
CRC VERIFIED 3620864/10514736 (1059.8s)
CRC VERIFIED 3624960/10514736 (1061.0s)
CRC VERIFIED 3629056/10514736 (1062.2s)
CRC VERIFIED 3633152/10514736 (1063.4s)
CRC VERIFIED 3637248/10514736 (1064.7s)
CRC VERIFIED 3641344/10514736 (1065.9s)
CRC VERIFIED 3645440/10514736 (1067.1s)
CRC VERIFIED 3649536/10514736 (1068.3s)
CRC VERIFIED 3653632/10514736 (1069.5s)
CRC VERIFIED 3657728/10514736 (1070.6s)
CRC VERIFIED 3661824/10514736 (1071.8s)
CRC VERIFIED 3665920/10514736 (1073.0s)
CRC VERIFIED 3670016/10514736 (1074.2s)
CRC VERIFIED 3674112/10514736 (1075.4s)
CRC VERIFIED 3678208/10514736 (1076.6s)
CRC VERIFIED 3682304/10514736 (1077.8s)
CRC VERIFIED 3686400/10514736 (1079.1s)
CRC VERIFIED 3690496/10514736 (1080.2s)
CRC VERIFIED 3694592/10514736 (1081.5s)
CRC VERIFIED 3698688/10514736 (1082.7s)
CRC VERIFIED 3702784/10514736 (1083.9s)
CRC VERIFIED 3706880/10514736 (1085.1s)
CRC VERIFIED 3710976/10514736 (1086.3s)
CRC VERIFIED 3715072/10514736 (1087.5s)
CRC VERIFIED 3719168/10514736 (1088.7s)
CRC VERIFIED 3723264/10514736 (1089.9s)
CRC VERIFIED 3727360/10514736 (1091.0s)
CRC VERIFIED 3731456/10514736 (1092.2s)
CRC VERIFIED 3735552/10514736 (1093.5s)
CRC VERIFIED 3739648/10514736 (1094.7s)
CRC VERIFIED 3743744/10514736 (1095.9s)
CRC VERIFIED 3747840/10514736 (1097.1s)
CRC VERIFIED 3751936/10514736 (1098.3s)
CRC VERIFIED 3756032/10514736 (1099.5s)
CRC VERIFIED 3760128/10514736 (1100.7s)
CRC VERIFIED 3764224/10514736 (1101.9s)
CRC VERIFIED 3768320/10514736 (1103.1s)
CRC VERIFIED 3772416/10514736 (1104.3s)
CRC VERIFIED 3776512/10514736 (1105.5s)
CRC VERIFIED 3780608/10514736 (1106.7s)
CRC VERIFIED 3784704/10514736 (1107.9s)
CRC VERIFIED 3788800/10514736 (1109.1s)
CRC VERIFIED 3792896/10514736 (1110.3s)
CRC VERIFIED 3796992/10514736 (1111.5s)
CRC VERIFIED 3801088/10514736 (1112.7s)
CRC VERIFIED 3805184/10514736 (1113.9s)
CRC VERIFIED 3809280/10514736 (1115.1s)
CRC VERIFIED 3813376/10514736 (1116.3s)
CRC VERIFIED 3817472/10514736 (1117.5s)
CRC VERIFIED 3821568/10514736 (1118.7s)
CRC VERIFIED 3825664/10514736 (1120.0s)
CRC VERIFIED 3829760/10514736 (1121.2s)
CRC VERIFIED 3833856/10514736 (1122.3s)
CRC VERIFIED 3837952/10514736 (1123.5s)
CRC VERIFIED 3842048/10514736 (1124.8s)
CRC VERIFIED 3846144/10514736 (1125.9s)
CRC VERIFIED 3850240/10514736 (1127.2s)
CRC VERIFIED 3854336/10514736 (1128.4s)
CRC VERIFIED 3858432/10514736 (1129.5s)
CRC VERIFIED 3862528/10514736 (1130.8s)
CRC VERIFIED 3866624/10514736 (1131.9s)
CRC VERIFIED 3870720/10514736 (1133.1s)
CRC VERIFIED 3874816/10514736 (1134.3s)
CRC VERIFIED 3878912/10514736 (1135.5s)
CRC VERIFIED 3883008/10514736 (1136.7s)
CRC VERIFIED 3887104/10514736 (1137.9s)
CRC VERIFIED 3891200/10514736 (1139.1s)
CRC VERIFIED 3895296/10514736 (1140.3s)
CRC VERIFIED 3899392/10514736 (1141.5s)
CRC VERIFIED 3903488/10514736 (1142.6s)
CRC VERIFIED 3907584/10514736 (1143.8s)
CRC VERIFIED 3911680/10514736 (1145.0s)
CRC VERIFIED 3915776/10514736 (1146.2s)
CRC VERIFIED 3919872/10514736 (1147.4s)
CRC VERIFIED 3923968/10514736 (1148.6s)
CRC VERIFIED 3928064/10514736 (1149.8s)
CRC VERIFIED 3932160/10514736 (1151.0s)
CRC VERIFIED 3936256/10514736 (1152.2s)
CRC VERIFIED 3940352/10514736 (1153.4s)
CRC VERIFIED 3944448/10514736 (1154.6s)
CRC VERIFIED 3948544/10514736 (1155.8s)
CRC VERIFIED 3952640/10514736 (1156.9s)
CRC VERIFIED 3956736/10514736 (1158.1s)
CRC VERIFIED 3960832/10514736 (1159.3s)
CRC VERIFIED 3964928/10514736 (1160.5s)
CRC VERIFIED 3969024/10514736 (1161.7s)
CRC VERIFIED 3973120/10514736 (1162.9s)
CRC VERIFIED 3977216/10514736 (1164.1s)
CRC VERIFIED 3981312/10514736 (1165.3s)
CRC VERIFIED 3985408/10514736 (1166.5s)
CRC VERIFIED 3989504/10514736 (1167.7s)
CRC VERIFIED 3993600/10514736 (1168.9s)
CRC VERIFIED 3997696/10514736 (1170.1s)
CRC VERIFIED 4001792/10514736 (1171.3s)
CRC VERIFIED 4005888/10514736 (1172.5s)
CRC VERIFIED 4009984/10514736 (1173.8s)
CRC VERIFIED 4014080/10514736 (1175.0s)
CRC VERIFIED 4018176/10514736 (1176.2s)
CRC VERIFIED 4022272/10514736 (1177.4s)
CRC VERIFIED 4026368/10514736 (1178.6s)
CRC VERIFIED 4030464/10514736 (1179.8s)
CRC VERIFIED 4034560/10514736 (1181.0s)
CRC VERIFIED 4038656/10514736 (1182.2s)
CRC VERIFIED 4042752/10514736 (1183.4s)
CRC VERIFIED 4046848/10514736 (1184.6s)
CRC VERIFIED 4050944/10514736 (1185.8s)
CRC VERIFIED 4055040/10514736 (1187.0s)
CRC VERIFIED 4059136/10514736 (1188.2s)
CRC VERIFIED 4063232/10514736 (1189.4s)
CRC VERIFIED 4067328/10514736 (1190.6s)
CRC VERIFIED 4071424/10514736 (1191.8s)
CRC VERIFIED 4075520/10514736 (1193.0s)
CRC VERIFIED 4079616/10514736 (1194.2s)
CRC VERIFIED 4083712/10514736 (1195.4s)
CRC VERIFIED 4087808/10514736 (1196.6s)
CRC VERIFIED 4091904/10514736 (1197.8s)
CRC VERIFIED 4096000/10514736 (1199.0s)
CRC VERIFIED 4100096/10514736 (1200.2s)
CRC VERIFIED 4104192/10514736 (1201.4s)
CRC VERIFIED 4108288/10514736 (1202.6s)
CRC VERIFIED 4112384/10514736 (1203.8s)
CRC VERIFIED 4116480/10514736 (1205.0s)
CRC VERIFIED 4120576/10514736 (1206.2s)
CRC VERIFIED 4124672/10514736 (1207.4s)
CRC VERIFIED 4128768/10514736 (1208.6s)
CRC VERIFIED 4132864/10514736 (1209.9s)
CRC VERIFIED 4136960/10514736 (1211.1s)
CRC VERIFIED 4141056/10514736 (1212.3s)
CRC VERIFIED 4145152/10514736 (1213.5s)
CRC VERIFIED 4149248/10514736 (1214.7s)
CRC VERIFIED 4153344/10514736 (1215.9s)
CRC VERIFIED 4157440/10514736 (1217.1s)
CRC VERIFIED 4161536/10514736 (1218.3s)
CRC VERIFIED 4165632/10514736 (1219.5s)
CRC VERIFIED 4169728/10514736 (1220.7s)
CRC VERIFIED 4173824/10514736 (1221.9s)
CRC VERIFIED 4177920/10514736 (1223.1s)
CRC VERIFIED 4182016/10514736 (1224.3s)
CRC VERIFIED 4186112/10514736 (1225.5s)
CRC VERIFIED 4190208/10514736 (1226.7s)
CRC VERIFIED 4194304/10514736 (1227.9s)
CRC VERIFIED 4198400/10514736 (1229.1s)
CRC VERIFIED 4202496/10514736 (1230.3s)
CRC VERIFIED 4206592/10514736 (1231.5s)
CRC VERIFIED 4210688/10514736 (1232.7s)
CRC VERIFIED 4214784/10514736 (1233.9s)
CRC VERIFIED 4218880/10514736 (1235.1s)
CRC VERIFIED 4222976/10514736 (1236.3s)
CRC VERIFIED 4227072/10514736 (1237.5s)
CRC VERIFIED 4231168/10514736 (1238.7s)
CRC VERIFIED 4235264/10514736 (1239.9s)
CRC VERIFIED 4239360/10514736 (1241.1s)
CRC VERIFIED 4243456/10514736 (1242.3s)
CRC VERIFIED 4247552/10514736 (1243.5s)
CRC VERIFIED 4251648/10514736 (1244.7s)
CRC VERIFIED 4255744/10514736 (1245.9s)
CRC VERIFIED 4259840/10514736 (1247.1s)
CRC VERIFIED 4263936/10514736 (1248.3s)
CRC VERIFIED 4268032/10514736 (1249.5s)
CRC VERIFIED 4272128/10514736 (1250.7s)
CRC VERIFIED 4276224/10514736 (1251.8s)
CRC VERIFIED 4280320/10514736 (1253.0s)
CRC VERIFIED 4284416/10514736 (1254.2s)
CRC VERIFIED 4288512/10514736 (1255.4s)
CRC VERIFIED 4292608/10514736 (1256.7s)
CRC VERIFIED 4296704/10514736 (1257.8s)
CRC VERIFIED 4300800/10514736 (1259.0s)
CRC VERIFIED 4304896/10514736 (1260.2s)
CRC VERIFIED 4308992/10514736 (1261.4s)
CRC VERIFIED 4313088/10514736 (1262.6s)
CRC VERIFIED 4317184/10514736 (1263.8s)
CRC VERIFIED 4321280/10514736 (1265.0s)
CRC VERIFIED 4325376/10514736 (1266.2s)
CRC VERIFIED 4329472/10514736 (1267.4s)
CRC VERIFIED 4333568/10514736 (1268.6s)
CRC VERIFIED 4337664/10514736 (1269.8s)
CRC VERIFIED 4341760/10514736 (1271.0s)
CRC VERIFIED 4345856/10514736 (1272.2s)
CRC VERIFIED 4349952/10514736 (1273.4s)
CRC VERIFIED 4354048/10514736 (1274.6s)
CRC VERIFIED 4358144/10514736 (1275.8s)
CRC VERIFIED 4362240/10514736 (1277.0s)
CRC VERIFIED 4366336/10514736 (1278.2s)
CRC VERIFIED 4370432/10514736 (1279.4s)
CRC VERIFIED 4374528/10514736 (1280.6s)
CRC VERIFIED 4378624/10514736 (1281.8s)
CRC VERIFIED 4382720/10514736 (1283.0s)
CRC VERIFIED 4386816/10514736 (1284.2s)
CRC VERIFIED 4390912/10514736 (1285.3s)
CRC VERIFIED 4395008/10514736 (1286.5s)
CRC VERIFIED 4399104/10514736 (1287.8s)
CRC VERIFIED 4403200/10514736 (1289.0s)
CRC VERIFIED 4407296/10514736 (1290.2s)
CRC VERIFIED 4411392/10514736 (1291.4s)
CRC VERIFIED 4415488/10514736 (1292.6s)
CRC VERIFIED 4419584/10514736 (1293.8s)
CRC VERIFIED 4423680/10514736 (1294.9s)
CRC VERIFIED 4427776/10514736 (1296.1s)
CRC VERIFIED 4431872/10514736 (1297.3s)
CRC VERIFIED 4435968/10514736 (1298.5s)
CRC VERIFIED 4440064/10514736 (1299.7s)
CRC VERIFIED 4444160/10514736 (1300.9s)
CRC VERIFIED 4448256/10514736 (1302.1s)
CRC VERIFIED 4452352/10514736 (1303.3s)
CRC VERIFIED 4456448/10514736 (1304.5s)
CRC VERIFIED 4460544/10514736 (1305.7s)
CRC VERIFIED 4464640/10514736 (1306.9s)
CRC VERIFIED 4468736/10514736 (1308.1s)
CRC VERIFIED 4472832/10514736 (1309.4s)
CRC VERIFIED 4476928/10514736 (1310.6s)
CRC VERIFIED 4481024/10514736 (1311.8s)
CRC VERIFIED 4485120/10514736 (1313.0s)
CRC VERIFIED 4489216/10514736 (1314.2s)
CRC VERIFIED 4493312/10514736 (1315.4s)
CRC VERIFIED 4497408/10514736 (1316.6s)
CRC VERIFIED 4501504/10514736 (1317.9s)
CRC VERIFIED 4505600/10514736 (1319.1s)
CRC VERIFIED 4509696/10514736 (1320.3s)
CRC VERIFIED 4513792/10514736 (1321.5s)
CRC VERIFIED 4517888/10514736 (1322.7s)
CRC VERIFIED 4521984/10514736 (1323.9s)
CRC VERIFIED 4526080/10514736 (1325.1s)
CRC VERIFIED 4530176/10514736 (1326.3s)
CRC VERIFIED 4534272/10514736 (1327.5s)
CRC VERIFIED 4538368/10514736 (1328.7s)
CRC VERIFIED 4542464/10514736 (1329.9s)
CRC VERIFIED 4546560/10514736 (1331.1s)
