IMAGE 2491360 6b68dbff8afcd866f8d6e806885f209bd71dcf6e8cd8379b3bd40d768d8ea27b
CRC VERIFIED 188416/193224 (364.7s)
CRC VERIFIED 192512/193224 (364.7s)
CRC VERIFIED 193224/193224 (364.7s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (364.8s)
CRC VERIFIED 8192/356616 (364.8s)
CRC VERIFIED 12288/356616 (364.8s)
CRC VERIFIED 16384/356616 (364.8s)
CRC VERIFIED 20480/356616 (364.8s)
CRC VERIFIED 24576/356616 (364.8s)
CRC VERIFIED 28672/356616 (364.9s)
CRC VERIFIED 32768/356616 (364.9s)
CRC VERIFIED 36864/356616 (364.9s)
CRC VERIFIED 40960/356616 (364.9s)
CRC VERIFIED 45056/356616 (364.9s)
CRC VERIFIED 49152/356616 (364.9s)
CRC VERIFIED 53248/356616 (365.0s)
CRC VERIFIED 57344/356616 (365.0s)
CRC VERIFIED 61440/356616 (365.0s)
CRC VERIFIED 65536/356616 (365.0s)
CRC VERIFIED 69632/356616 (365.0s)
CRC VERIFIED 73728/356616 (365.0s)
CRC VERIFIED 77824/356616 (365.0s)
CRC VERIFIED 81920/356616 (365.1s)
CRC VERIFIED 86016/356616 (365.1s)
CRC VERIFIED 90112/356616 (365.1s)
CRC VERIFIED 94208/356616 (365.1s)
CRC VERIFIED 98304/356616 (365.1s)
CRC VERIFIED 102400/356616 (365.1s)
CRC VERIFIED 106496/356616 (365.2s)
CRC VERIFIED 110592/356616 (365.2s)
CRC VERIFIED 114688/356616 (365.2s)
CRC VERIFIED 118784/356616 (365.2s)
CRC VERIFIED 122880/356616 (365.2s)
CRC VERIFIED 126976/356616 (365.2s)
CRC VERIFIED 131072/356616 (365.2s)
CRC VERIFIED 135168/356616 (365.3s)
CRC VERIFIED 139264/356616 (365.3s)
CRC VERIFIED 143360/356616 (365.3s)
CRC VERIFIED 147456/356616 (365.3s)
CRC VERIFIED 151552/356616 (365.3s)
CRC VERIFIED 155648/356616 (365.3s)
CRC VERIFIED 159744/356616 (365.4s)
CRC VERIFIED 163840/356616 (365.4s)
CRC VERIFIED 167936/356616 (365.4s)
CRC VERIFIED 172032/356616 (365.4s)
CRC VERIFIED 176128/356616 (365.4s)
CRC VERIFIED 180224/356616 (365.4s)
CRC VERIFIED 184320/356616 (365.5s)
CRC VERIFIED 188416/356616 (365.5s)
CRC VERIFIED 192512/356616 (365.5s)
CRC VERIFIED 196608/356616 (365.5s)
CRC VERIFIED 200704/356616 (365.5s)
CRC VERIFIED 204800/356616 (365.5s)
CRC VERIFIED 208896/356616 (365.5s)
CRC VERIFIED 212992/356616 (365.6s)
CRC VERIFIED 217088/356616 (365.6s)
CRC VERIFIED 221184/356616 (365.6s)
CRC VERIFIED 225280/356616 (365.6s)
CRC VERIFIED 229376/356616 (365.6s)
CRC VERIFIED 233472/356616 (365.6s)
CRC VERIFIED 237568/356616 (365.7s)
CRC VERIFIED 241664/356616 (365.7s)
CRC VERIFIED 245760/356616 (365.7s)
CRC VERIFIED 249856/356616 (365.7s)
CRC VERIFIED 253952/356616 (365.7s)
CRC VERIFIED 258048/356616 (365.7s)
CRC VERIFIED 262144/356616 (365.8s)
CRC VERIFIED 266240/356616 (365.8s)
CRC VERIFIED 270336/356616 (365.8s)
CRC VERIFIED 274432/356616 (365.8s)
CRC VERIFIED 278528/356616 (365.8s)
CRC VERIFIED 282624/356616 (365.8s)
CRC VERIFIED 286720/356616 (365.8s)
CRC VERIFIED 290816/356616 (365.9s)
CRC VERIFIED 294912/356616 (365.9s)
CRC VERIFIED 299008/356616 (365.9s)
CRC VERIFIED 303104/356616 (365.9s)
CRC VERIFIED 307200/356616 (365.9s)
CRC VERIFIED 311296/356616 (365.9s)
CRC VERIFIED 315392/356616 (366.0s)
CRC VERIFIED 319488/356616 (366.0s)
CRC VERIFIED 323584/356616 (366.0s)
CRC VERIFIED 327680/356616 (366.0s)
CRC VERIFIED 331776/356616 (366.0s)
CRC VERIFIED 335872/356616 (366.0s)
CRC VERIFIED 339968/356616 (366.0s)
CRC VERIFIED 344064/356616 (366.1s)
CRC VERIFIED 348160/356616 (366.1s)
CRC VERIFIED 352256/356616 (366.1s)
CRC VERIFIED 356352/356616 (366.1s)
CRC VERIFIED 356616/356616 (366.1s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (366.2s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (366.2s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 398140.203/398492.812 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I/TC: Secondary CPU 1 switching to normal world boot


NuttSI/TC: Secondary CPU 4 initializing

h- RI/TC: Secondary CPU 4 switching to normal world boot

eadyI/TC: Secondary CPU 2 initializing

 to - BI/TC: Secondary CPU 2 switching to normal world boot

Roeota dSyI/TC: Secondary CPU 5 initializing

-e  ctooRI/TC: Secondary CPU 5 switching to normal world boot

en Bdad oCyo Pt tUo
Se 
RcBKoon3I/TC: Secondary CPU 3 initializing

do5-7  tI/TC: Secondary CPU 3 switching to normal world boot

C 6R ePUSHaI/TC: Secondary CPU 6 initializing

edC
-cRy
I/TC: Secondary CPU 6 switching to normal world boot

 Ro KtnR_I/TC: Secondary CPU 7 initializing

E-3doe  5 aRCL7B6Peod2yo= aI/TC: Secondary CPU 7 switching to normal world boot

tUH d00
yC t0
RSo e t_R00BcKEoo o03Lo250nBd=t7o0 o0-0 6t0 SC00P0  eRS00cUeH
Co0e0a0R0ndc
0do0_RyKn 2 E030LdtC
0
25P o 70CUR=0PB
06KU
3 0o0
50oHR0
K07tC06R003R 0
SK5_e3E 
70LS0Rc65KC02 o7=3nH0650TC 0d 00RLH7C6_R0C0R 0P0ES0U__L0
E2E0C2=LL0

T0L0R21==R0
0K0_0300REK00050070L000016030 50000=0007H006000C00
0R000 00_3
S00E00R00dKL0C02030T5=L00000873R00006_000d00 02E
S0L
01
00
C=T80R-
000KL300R0 
B
0_500RE7
o00o60LK- 01t0 3 =00SB0Co5f00To007r030oLt6 R
 m00S0
d_f0 E0rRLoC0KE0108mTL3L03=52 
E7000RLd6
002_
0 00
ES

8-C0 0T0L10LB0Ro
0
=3_oE0-0t0Ld B001 of00=0o08r0t0o00 00f00
m
3 0ro0E0-Lm 0d020B 3o
E0o08L
td200 
0f0
8r
0
o-m0  

ELB-2 o
B
ooott  frfroom m EEL2L
2


ell (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS I-n itBiooalt itzoe 

C run-t imBeo otf otro O SC  rIunnittiiamel ifzoe
r
 OS Initialize


PASS: REAL K7 NSH
