IMAGE 2561256 c85cd27c7f3e726da7ff32057790f3a859ac5a0e9295186063db384407aafa59
CRC VERIFIED 122880/193224 (317.1s)
CRC VERIFIED 126976/193224 (317.2s)
CRC VERIFIED 131072/193224 (317.2s)
CRC VERIFIED 135168/193224 (317.2s)
CRC VERIFIED 139264/193224 (317.2s)
CRC VERIFIED 143360/193224 (317.2s)
CRC VERIFIED 147456/193224 (317.2s)
CRC VERIFIED 151552/193224 (317.2s)
CRC VERIFIED 155648/193224 (317.3s)
CRC VERIFIED 159744/193224 (317.3s)
CRC VERIFIED 163840/193224 (317.3s)
CRC VERIFIED 167936/193224 (317.3s)
CRC VERIFIED 172032/193224 (317.3s)
CRC VERIFIED 176128/193224 (317.3s)
CRC VERIFIED 180224/193224 (317.4s)
CRC VERIFIED 184320/193224 (317.4s)
CRC VERIFIED 188416/193224 (317.4s)
CRC VERIFIED 192512/193224 (317.4s)
CRC VERIFIED 193224/193224 (317.4s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (317.5s)
CRC VERIFIED 8192/356616 (317.5s)
CRC VERIFIED 12288/356616 (317.5s)
CRC VERIFIED 16384/356616 (317.5s)
CRC VERIFIED 20480/356616 (317.5s)
CRC VERIFIED 24576/356616 (317.5s)
CRC VERIFIED 28672/356616 (317.5s)
CRC VERIFIED 32768/356616 (317.6s)
CRC VERIFIED 36864/356616 (317.6s)
CRC VERIFIED 40960/356616 (317.6s)
CRC VERIFIED 45056/356616 (317.6s)
CRC VERIFIED 49152/356616 (317.6s)
CRC VERIFIED 53248/356616 (317.6s)
CRC VERIFIED 57344/356616 (317.7s)
CRC VERIFIED 61440/356616 (317.7s)
CRC VERIFIED 65536/356616 (317.7s)
CRC VERIFIED 69632/356616 (317.7s)
CRC VERIFIED 73728/356616 (317.7s)
CRC VERIFIED 77824/356616 (317.7s)
CRC VERIFIED 81920/356616 (317.8s)
CRC VERIFIED 86016/356616 (317.8s)
CRC VERIFIED 90112/356616 (317.8s)
CRC VERIFIED 94208/356616 (317.8s)
CRC VERIFIED 98304/356616 (317.8s)
CRC VERIFIED 102400/356616 (317.8s)
CRC VERIFIED 106496/356616 (317.8s)
CRC VERIFIED 110592/356616 (317.9s)
CRC VERIFIED 114688/356616 (317.9s)
CRC VERIFIED 118784/356616 (317.9s)
CRC VERIFIED 122880/356616 (317.9s)
CRC VERIFIED 126976/356616 (317.9s)
CRC VERIFIED 131072/356616 (317.9s)
CRC VERIFIED 135168/356616 (318.0s)
CRC VERIFIED 139264/356616 (318.0s)
CRC VERIFIED 143360/356616 (318.0s)
CRC VERIFIED 147456/356616 (318.0s)
CRC VERIFIED 151552/356616 (318.0s)
CRC VERIFIED 155648/356616 (318.0s)
CRC VERIFIED 159744/356616 (318.0s)
CRC VERIFIED 163840/356616 (318.1s)
CRC VERIFIED 167936/356616 (318.1s)
CRC VERIFIED 172032/356616 (318.1s)
CRC VERIFIED 176128/356616 (318.1s)
CRC VERIFIED 180224/356616 (318.1s)
CRC VERIFIED 184320/356616 (318.2s)
CRC VERIFIED 188416/356616 (318.2s)
CRC VERIFIED 192512/356616 (318.2s)
CRC VERIFIED 196608/356616 (318.2s)
CRC VERIFIED 200704/356616 (318.2s)
CRC VERIFIED 204800/356616 (318.2s)
CRC VERIFIED 208896/356616 (318.2s)
CRC VERIFIED 212992/356616 (318.3s)
CRC VERIFIED 217088/356616 (318.3s)
CRC VERIFIED 221184/356616 (318.3s)
CRC VERIFIED 225280/356616 (318.3s)
CRC VERIFIED 229376/356616 (318.3s)
CRC VERIFIED 233472/356616 (318.3s)
CRC VERIFIED 237568/356616 (318.4s)
CRC VERIFIED 241664/356616 (318.4s)
CRC VERIFIED 245760/356616 (318.4s)
CRC VERIFIED 249856/356616 (318.4s)
CRC VERIFIED 253952/356616 (318.4s)
CRC VERIFIED 258048/356616 (318.4s)
CRC VERIFIED 262144/356616 (318.5s)
CRC VERIFIED 266240/356616 (318.5s)
CRC VERIFIED 270336/356616 (318.5s)
CRC VERIFIED 274432/356616 (318.5s)
CRC VERIFIED 278528/356616 (318.5s)
CRC VERIFIED 282624/356616 (318.5s)
CRC VERIFIED 286720/356616 (318.5s)
CRC VERIFIED 290816/356616 (318.6s)
CRC VERIFIED 294912/356616 (318.6s)
CRC VERIFIED 299008/356616 (318.6s)
CRC VERIFIED 303104/356616 (318.6s)
CRC VERIFIED 307200/356616 (318.6s)
CRC VERIFIED 311296/356616 (318.6s)
CRC VERIFIED 315392/356616 (318.7s)
CRC VERIFIED 319488/356616 (318.7s)
CRC VERIFIED 323584/356616 (318.7s)
CRC VERIFIED 327680/356616 (318.7s)
CRC VERIFIED 331776/356616 (318.7s)
CRC VERIFIED 335872/356616 (318.7s)
CRC VERIFIED 339968/356616 (318.8s)
CRC VERIFIED 344064/356616 (318.8s)
CRC VERIFIED 348160/356616 (318.8s)
CRC VERIFIED 352256/356616 (318.8s)
CRC VERIFIED 356352/356616 (318.8s)
CRC VERIFIED 356616/356616 (318.8s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (318.9s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (318.9s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 329638.967/329991.690 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I
/TC: Secondary CPU 1 switching to normal world boot

NuttSI/TC: Secondary CPU 4 initializing

heI/TC: Secondary CPU 4 switching to normal world boot

- ReaI/TC: Secondary CPU 2 initializing

dy t-I/TC: Secondary CPU 2 switching to normal world boot

o R BeaoodI/TC: Secondary CPU 5 initializing

t-y   tSRoe ecI/TC: Secondary CPU 5 switching to normal world boot

aoBndodyot C  SPtI/TC: Secondary CPU 3 initializing

oUe-c  
I/TC: Secondary CPU 3 switching to normal world boot

oRB
noeRoadI/TC: Secondary CPU 6 initializing

d Kt- C y3SR 5PI/TC: Secondary CPU 6 switching to normal world boot

U7eet
6coad o
 I/TC: Secondary CPU 7 initializing

HBn-yRdoCK o 3R Rt5et_C7Ea oP6 UdLS eBy
2H=c o
I/TC: Secondary CPU 7 switching to normal world boot

CoRtoRK0nto 3d_ 00 S5EBL7eoC0oc062P0to= UHn0
0 S
dC00R0Re 0-K_c0C00E3P0o L00n5R72eU00d060a
= 0d 0
0CPHR0y20 U
KC0
00
Rt3_o
R0050E70KR 0LK0B602 03o355H
=o7
t0C07R0R06 0K0 _S0E30H6eL00C 5cS07o2R6n0_=C0E 0d0T00S L0LR0CC2002TP=_0
0E00LU00L
R0
00
_0RE00KR10=LK00030
30105=500
0R000707K000606  000300H50S000C000C7T60R020L
 0_00
RES300_3LRC002
dKTELd
L=03R0R5007_10K0368E=8050 000LS010070
60
C0=
0
0 0-T0S0-0 0 0C00TL0B0B00LoRo03o0Ro0_00_t0t0EE d0f3L0 L0r01001fro
=8=d000m
o0 R0000mEK 
008030
LE20-5L007 0
0

02B6
00
 -0S3
0o oC03BtTo0d Lo0dR0t0f0 _8f8E0r00orL10m
o

m=0
-  E-E 0 BL0L2o02B0
oo
to0
 
0t f03fr0romod0 E0Lm82 0E0


L
2
-
 Boot lfrom EL2

l (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize
- 
Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initializ-e
 
Boot to C runtime f-o rB oOSo tI ntio tiCa lriuzneti

me for OS Initialize


PASS: REAL K7 NSH
