IMAGE 2142576 71a304da79909a7759fce2dad208883b8ee5cc6b7c54a4d16126a1801922855a
CRC VERIFIED 356352/356616 (261.3s)
CRC VERIFIED 356616/356616 (261.3s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (261.3s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (261.3s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 276055.635/276408.607 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing



I/TC: Secondary CPU 1 switching to normal world boot

NuttShI/TC: Secondary CPU 4 initializing

e- RI/TC: Secondary CPU 4 switching to normal world boot

eady to BI/TC: Secondary CPU 2 initializing

oot -S I/TC: Secondary CPU 2 switching to normal world boot

eRceaondydI/TC: Secondary CPU 5 initializing

-  t CoRP BUeoI/TC: Secondary CPU 5 switching to normal world boot


ao
dtRy  KSt3eoc5o7 6Bn odo HCtCRP I/TC: Secondary CPU 3 initializing

U_S-eE 
cL
R2Reona=Kd30I/TC: Secondary CPU 3 switching to normal world boot

y5d0 7 0C06to P0H UBC
oRo
0_R0tEL0K I/TC: Secondary CPU 6 initializing

S-023 =5e07c0R0o0e60 0na0Hd00d0y C0I/TC: Secondary CPU 6 switching to normal world boot

 C20R_tP
0EU0o0L

 20
RBo0KR=I/TC: Secondary CPU 7 initializing

K3-00ot500 3I/TC: Secondary CPU 7 switching to normal world boot

 50R70700e6 6S0aS 0
edyH
cC0R C0ToL0tRKo_3Rn0_E50d -B7  L0ELo6RC2P1= e0o=0SUa0td0C
 000y0
0TSL e020Rt0
cR0
0o_oK0 3nR00EB50d0KL031 o7050Co=360t007 P0Hd6 U0 
0S000
C0eR00Rc0SK_8oC000ETn3
0Ld
L005
 3R7R2=
6C0_K3PdE -0L0U0H5 B7
010C86o0=R
00Ro0_ Kt000ES
300LC 0T52
f70=0L-Rr0 0600_o00 Bo0H0mECoL0 031ER0t00 =_L00dfE002000L
00r0
0o22800m=0
 000
000E0R00L
K000230
030
5-0000 
76B0
d o
0000SRo80KtCT0 035Lf007Rr0
0
6o -0_mS  E0
LEBC1oLT
2RLoK=Rt0
_3 f0E5r07L
6o10=m 00 S0E0C0TL020L00R3
_00
0Ed0L301=000d8000008000000

0
-0
-3 0 dBo0Bo0oo8tt 00f f
r
omr-  EoBoLm2ot 
E 
Lf2ro
m
 EL2

ll (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime -f oBroo tOS  tIon Ci tiraulnitizmee

 for OS Initialize


PASS: REAL K7 NSH
