IMAGE 2229232 bc1ec4b367e5eb46f3f629ef69658aae316cbb938f0eb4627b22d39f9cecdf29
CRC VERIFIED 270336/356616 (289.9s)
CRC VERIFIED 274432/356616 (289.9s)
CRC VERIFIED 278528/356616 (289.9s)
CRC VERIFIED 282624/356616 (289.9s)
CRC VERIFIED 286720/356616 (290.0s)
CRC VERIFIED 290816/356616 (290.0s)
CRC VERIFIED 294912/356616 (290.0s)
CRC VERIFIED 299008/356616 (290.0s)
CRC VERIFIED 303104/356616 (290.0s)
CRC VERIFIED 307200/356616 (290.0s)
CRC VERIFIED 311296/356616 (290.0s)
CRC VERIFIED 315392/356616 (290.1s)
CRC VERIFIED 319488/356616 (290.1s)
CRC VERIFIED 323584/356616 (290.1s)
CRC VERIFIED 327680/356616 (290.1s)
CRC VERIFIED 331776/356616 (290.1s)
CRC VERIFIED 335872/356616 (290.1s)
CRC VERIFIED 339968/356616 (290.1s)
CRC VERIFIED 344064/356616 (290.2s)
CRC VERIFIED 348160/356616 (290.2s)
CRC VERIFIED 352256/356616 (290.2s)
CRC VERIFIED 356352/356616 (290.2s)
CRC VERIFIED 356616/356616 (290.2s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (290.3s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (290.3s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 297464.351/297817.550 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I
/TC: Secondary CPU 1 switching to normal world boot

NuttSI/TC: Secondary CPU 4 initializing

hIe/TC: Secondary CPU 4 switching to normal world boot

- ReadI/TC: Secondary CPU 2 initializing

y toI/TC: Secondary CPU 2 switching to normal world boot

- B RoI/TC: Secondary CPU 5 initializing

oet-a  dSyR eetcoao BI/TC: Secondary CPU 5 switching to normal world boot

dnoody  tt I/TC: Secondary CPU 3 initializing

C-oSe P RUcBeo
ona
oRtddK  yI/TC: Secondary CPU 3 switching to normal world boot

C3 SteP5o7cU
o 6 nB
I/TC: Secondary CPU 6 initializing

-odR KHo Ct3 RRC57P_eSEUe6 
caLI/TC: Secondary CPU 6 switching to normal world boot

do
HCR2ynK Rdt_= 3E5C0oL P700B2U
60o=I/TC: Secondary CPU 7 initializing

0o 0
-00tH RI/TC: Secondary CPU 7 switching to normal world boot

K00R CeR030S0_ea05d0E0c70y0Lo62 0 0tn0H=0doC0000R-0  0BC0_ 02EoR
P00
UL00oeaR00t2
0K 0
d=
yS300Re0K0
 3Rc5t007o5oK000 76n35 B0d06S 7 o06HoC0C0TCtP00 SU00L R2CRS
0_0T
Ee
_RcL
EL02oR0RK0_nL=K3E530d01
 L=5700C1
67R00 P=00K60HU300C
0 0S
50RR070C0_T0E06K0000 3LL200S05R0C=703_0E630T0d0L 00LR00Hd0_0010CR=2000E8
L800_0
0100EL00=R00200K0

300
=0
0-0005 000-000B 700Bo0600o 00o030000tSot
0d 3C
0 f0frRd00Tr0oK00m3080oL 58R0m00E7_ 000EL6
E0LL2 
00
1

S2-


C-= 
 
0T0LRBBRo0oK0_3oott5E 70 Lff601r 0r=oo0S0Cm0m3T0 0 dEL000LR00_2E0E
L8
20L0
301
0
=
0d0-00008 0B00o00o
t0
 3-0 fdBor0o0omt80  fE0
Lr2
om
-  
EBLo2ot
 
from ElL2

l (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL- 1B
o
ot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runt-im eB ofoto r tOoS C I nriutnitiamliez ef
or
 OS Initialize


PASS: REAL K7 NSH
