IMAGE 2561264 048bbb796aa6a2e90c032049c7b2eac1c26954c6901359d7f58bf6b98e6bc1e8
CRC VERIFIED 122880/193224 (355.1s)
CRC VERIFIED 126976/193224 (355.1s)
CRC VERIFIED 131072/193224 (355.1s)
CRC VERIFIED 135168/193224 (355.1s)
CRC VERIFIED 139264/193224 (355.1s)
CRC VERIFIED 143360/193224 (355.1s)
CRC VERIFIED 147456/193224 (355.2s)
CRC VERIFIED 151552/193224 (355.2s)
CRC VERIFIED 155648/193224 (355.2s)
CRC VERIFIED 159744/193224 (355.2s)
CRC VERIFIED 163840/193224 (355.2s)
CRC VERIFIED 167936/193224 (355.2s)
CRC VERIFIED 172032/193224 (355.2s)
CRC VERIFIED 176128/193224 (355.3s)
CRC VERIFIED 180224/193224 (355.3s)
CRC VERIFIED 184320/193224 (355.3s)
CRC VERIFIED 188416/193224 (355.3s)
CRC VERIFIED 192512/193224 (355.3s)
CRC VERIFIED 193224/193224 (355.3s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (355.4s)
CRC VERIFIED 8192/356616 (355.4s)
CRC VERIFIED 12288/356616 (355.4s)
CRC VERIFIED 16384/356616 (355.4s)
CRC VERIFIED 20480/356616 (355.4s)
CRC VERIFIED 24576/356616 (355.5s)
CRC VERIFIED 28672/356616 (355.5s)
CRC VERIFIED 32768/356616 (355.5s)
CRC VERIFIED 36864/356616 (355.5s)
CRC VERIFIED 40960/356616 (355.5s)
CRC VERIFIED 45056/356616 (355.5s)
CRC VERIFIED 49152/356616 (355.5s)
CRC VERIFIED 53248/356616 (355.6s)
CRC VERIFIED 57344/356616 (355.6s)
CRC VERIFIED 61440/356616 (355.6s)
CRC VERIFIED 65536/356616 (355.6s)
CRC VERIFIED 69632/356616 (355.6s)
CRC VERIFIED 73728/356616 (355.7s)
CRC VERIFIED 77824/356616 (355.7s)
CRC VERIFIED 81920/356616 (355.7s)
CRC VERIFIED 86016/356616 (355.7s)
CRC VERIFIED 90112/356616 (355.7s)
CRC VERIFIED 94208/356616 (355.7s)
CRC VERIFIED 98304/356616 (355.8s)
CRC VERIFIED 102400/356616 (355.8s)
CRC VERIFIED 106496/356616 (355.8s)
CRC VERIFIED 110592/356616 (355.8s)
CRC VERIFIED 114688/356616 (355.8s)
CRC VERIFIED 118784/356616 (355.8s)
CRC VERIFIED 122880/356616 (355.8s)
CRC VERIFIED 126976/356616 (355.9s)
CRC VERIFIED 131072/356616 (355.9s)
CRC VERIFIED 135168/356616 (355.9s)
CRC VERIFIED 139264/356616 (355.9s)
CRC VERIFIED 143360/356616 (355.9s)
CRC VERIFIED 147456/356616 (355.9s)
CRC VERIFIED 151552/356616 (356.0s)
CRC VERIFIED 155648/356616 (356.0s)
CRC VERIFIED 159744/356616 (356.0s)
CRC VERIFIED 163840/356616 (356.0s)
CRC VERIFIED 167936/356616 (356.0s)
CRC VERIFIED 172032/356616 (356.0s)
CRC VERIFIED 176128/356616 (356.0s)
CRC VERIFIED 180224/356616 (356.1s)
CRC VERIFIED 184320/356616 (356.1s)
CRC VERIFIED 188416/356616 (356.1s)
CRC VERIFIED 192512/356616 (356.1s)
CRC VERIFIED 196608/356616 (356.1s)
CRC VERIFIED 200704/356616 (356.1s)
CRC VERIFIED 204800/356616 (356.2s)
CRC VERIFIED 208896/356616 (356.2s)
CRC VERIFIED 212992/356616 (356.2s)
CRC VERIFIED 217088/356616 (356.2s)
CRC VERIFIED 221184/356616 (356.2s)
CRC VERIFIED 225280/356616 (356.2s)
CRC VERIFIED 229376/356616 (356.2s)
CRC VERIFIED 233472/356616 (356.3s)
CRC VERIFIED 237568/356616 (356.3s)
CRC VERIFIED 241664/356616 (356.3s)
CRC VERIFIED 245760/356616 (356.3s)
CRC VERIFIED 249856/356616 (356.3s)
CRC VERIFIED 253952/356616 (356.3s)
CRC VERIFIED 258048/356616 (356.4s)
CRC VERIFIED 262144/356616 (356.4s)
CRC VERIFIED 266240/356616 (356.4s)
CRC VERIFIED 270336/356616 (356.4s)
CRC VERIFIED 274432/356616 (356.4s)
CRC VERIFIED 278528/356616 (356.4s)
CRC VERIFIED 282624/356616 (356.5s)
CRC VERIFIED 286720/356616 (356.5s)
CRC VERIFIED 290816/356616 (356.5s)
CRC VERIFIED 294912/356616 (356.5s)
CRC VERIFIED 299008/356616 (356.5s)
CRC VERIFIED 303104/356616 (356.5s)
CRC VERIFIED 307200/356616 (356.5s)
CRC VERIFIED 311296/356616 (356.6s)
CRC VERIFIED 315392/356616 (356.6s)
CRC VERIFIED 319488/356616 (356.6s)
CRC VERIFIED 323584/356616 (356.6s)
CRC VERIFIED 327680/356616 (356.6s)
CRC VERIFIED 331776/356616 (356.6s)
CRC VERIFIED 335872/356616 (356.7s)
CRC VERIFIED 339968/356616 (356.7s)
CRC VERIFIED 344064/356616 (356.7s)
CRC VERIFIED 348160/356616 (356.7s)
CRC VERIFIED 352256/356616 (356.7s)
CRC VERIFIED 356352/356616 (356.7s)
CRC VERIFIED 356616/356616 (356.8s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (356.8s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (356.8s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 367161.326/367514.251 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I
/TC: Secondary CPU 1 switching to normal world boot

NuttSI/TC: Secondary CPU 4 initializing

heI/TC: Secondary CPU 4 switching to normal world boot

- ReaI/TC: Secondary CPU 2 initializing

dy t-o  ReBadoI/TC: Secondary CPU 2 switching to normal world boot

oyt  tI/TC: Secondary CPU 5 initializing

-oS  BeRecoaooI/TC: Secondary CPU 5 switching to normal world boot

ndty d Ste coCI/TC: Secondary CPU 3 initializing

- PoB UnR
odeo
 I/TC: Secondary CPU 3 switching to normal world boot

taCRdK P3Uy
 5t7S
oe6R Kc oBH3Co5Ro7n_t6I/TC: Secondary CPU 6 initializing

dE  -LH  SR2eCCc=ePR_aoU0I/TC: Secondary CPU 6 switching to normal world boot

nE
d0
0Ld y2R0 KC=I/TC: Secondary CPU 7 initializing

0-t3P0U 50
R070o0
06e I/TC: Secondary CPU 7 switching to normal world boot

BR a0KHdo00y0oC30 5R0t00t_ 700oE06S0  Le0cB02H0oo0=0-CR002on d_0t
0Re E 00
L
0CaRSKd2eP0
y=Rc30U500o K0
0nt73
506do07  R00 S06BKC00o03CP U5TSo070
L0Ct 00T
R6 0RL_S00K2EReH_L0
cC3E015oR
L07R=_nK0dE061  30L=0205CH0
00P=
C070U0RR_006
0KE0 0
035R0L0S070CK203=603T5L00 3070Sd00R06d0_C0T 0000E0H80LL010008RC_0R00=000E0_0E0L
00

L000
120=2--0= 0 
00B0
00BRo0000o0000oot0000t03 
K 0f03f0
050r0Rdr0o3K0o30m07 60dm50 E700 L60ES08C8 02L0
20ST0C0
0L
0
T0R


_L

-R-E
 _RL 1BEBKoLo=30oo15tt=700 60 00f r0Sf0o0r0C0Tm0o 0Lm00R3 EE00_LdL3E20L
201
0d
80=
0000800000
0

0
- -0 0BB30odoo0t o0ft8 0ro0f
mr
 o-EmL 2Bo 
o
EtL 2f

rom EL2

ll (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime f- oBr oOotS  tInoi tC iarulnitziem
e
 for OS Initialize


PASS: REAL K7 NSH
