IMAGE 2516176 bceb70f23e66bd2994e2801434b4f7b5a7e25c5672317c583c8040244588d850
CRC VERIFIED 188416/193224 (346.2s)
CRC VERIFIED 192512/193224 (346.2s)
CRC VERIFIED 193224/193224 (346.3s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (346.3s)
CRC VERIFIED 8192/356616 (346.3s)
CRC VERIFIED 12288/356616 (346.3s)
CRC VERIFIED 16384/356616 (346.3s)
CRC VERIFIED 20480/356616 (346.4s)
CRC VERIFIED 24576/356616 (346.4s)
CRC VERIFIED 28672/356616 (346.4s)
CRC VERIFIED 32768/356616 (346.4s)
CRC VERIFIED 36864/356616 (346.4s)
CRC VERIFIED 40960/356616 (346.4s)
CRC VERIFIED 45056/356616 (346.5s)
CRC VERIFIED 49152/356616 (346.5s)
CRC VERIFIED 53248/356616 (346.5s)
CRC VERIFIED 57344/356616 (346.5s)
CRC VERIFIED 61440/356616 (346.5s)
CRC VERIFIED 65536/356616 (346.5s)
CRC VERIFIED 69632/356616 (346.5s)
CRC VERIFIED 73728/356616 (346.6s)
CRC VERIFIED 77824/356616 (346.6s)
CRC VERIFIED 81920/356616 (346.6s)
CRC VERIFIED 86016/356616 (346.6s)
CRC VERIFIED 90112/356616 (346.6s)
CRC VERIFIED 94208/356616 (346.6s)
CRC VERIFIED 98304/356616 (346.7s)
CRC VERIFIED 102400/356616 (346.7s)
CRC VERIFIED 106496/356616 (346.7s)
CRC VERIFIED 110592/356616 (346.7s)
CRC VERIFIED 114688/356616 (346.7s)
CRC VERIFIED 118784/356616 (346.7s)
CRC VERIFIED 122880/356616 (346.8s)
CRC VERIFIED 126976/356616 (346.8s)
CRC VERIFIED 131072/356616 (346.8s)
CRC VERIFIED 135168/356616 (346.8s)
CRC VERIFIED 139264/356616 (346.8s)
CRC VERIFIED 143360/356616 (346.8s)
CRC VERIFIED 147456/356616 (346.8s)
CRC VERIFIED 151552/356616 (346.9s)
CRC VERIFIED 155648/356616 (346.9s)
CRC VERIFIED 159744/356616 (346.9s)
CRC VERIFIED 163840/356616 (346.9s)
CRC VERIFIED 167936/356616 (346.9s)
CRC VERIFIED 172032/356616 (346.9s)
CRC VERIFIED 176128/356616 (347.0s)
CRC VERIFIED 180224/356616 (347.0s)
CRC VERIFIED 184320/356616 (347.0s)
CRC VERIFIED 188416/356616 (347.0s)
CRC VERIFIED 192512/356616 (347.0s)
CRC VERIFIED 196608/356616 (347.0s)
CRC VERIFIED 200704/356616 (347.0s)
CRC VERIFIED 204800/356616 (347.1s)
CRC VERIFIED 208896/356616 (347.1s)
CRC VERIFIED 212992/356616 (347.1s)
CRC VERIFIED 217088/356616 (347.1s)
CRC VERIFIED 221184/356616 (347.1s)
CRC VERIFIED 225280/356616 (347.1s)
CRC VERIFIED 229376/356616 (347.2s)
CRC VERIFIED 233472/356616 (347.2s)
CRC VERIFIED 237568/356616 (347.2s)
CRC VERIFIED 241664/356616 (347.2s)
CRC VERIFIED 245760/356616 (347.2s)
CRC VERIFIED 249856/356616 (347.2s)
CRC VERIFIED 253952/356616 (347.2s)
CRC VERIFIED 258048/356616 (347.3s)
CRC VERIFIED 262144/356616 (347.3s)
CRC VERIFIED 266240/356616 (347.3s)
CRC VERIFIED 270336/356616 (347.3s)
CRC VERIFIED 274432/356616 (347.3s)
CRC VERIFIED 278528/356616 (347.3s)
CRC VERIFIED 282624/356616 (347.4s)
CRC VERIFIED 286720/356616 (347.4s)
CRC VERIFIED 290816/356616 (347.4s)
CRC VERIFIED 294912/356616 (347.4s)
CRC VERIFIED 299008/356616 (347.4s)
CRC VERIFIED 303104/356616 (347.4s)
CRC VERIFIED 307200/356616 (347.5s)
CRC VERIFIED 311296/356616 (347.5s)
CRC VERIFIED 315392/356616 (347.5s)
CRC VERIFIED 319488/356616 (347.5s)
CRC VERIFIED 323584/356616 (347.5s)
CRC VERIFIED 327680/356616 (347.5s)
CRC VERIFIED 331776/356616 (347.5s)
CRC VERIFIED 335872/356616 (347.6s)
CRC VERIFIED 339968/356616 (347.6s)
CRC VERIFIED 344064/356616 (347.6s)
CRC VERIFIED 348160/356616 (347.6s)
CRC VERIFIED 352256/356616 (347.6s)
CRC VERIFIED 356352/356616 (347.6s)
CRC VERIFIED 356616/356616 (347.7s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (347.7s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (347.7s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 355225.367/355578.188 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I/TC: Secondary CPU 1 switching to normal world boot


NuttI/TC: Secondary CPU 4 initializing

SIh/TC: Secondary CPU 4 switching to normal world boot

- ReadI/TC: Secondary CPU 2 initializing

y-  tRoI/TC: Secondary CPU 2 switching to normal world boot

 eBaodI/TC: Secondary CPU 5 initializing

o-y  Rtt eoS aBI/TC: Secondary CPU 5 switching to normal world boot

deoyco tI/TC: Secondary CPU 3 initializing

 -otSn I/TC: Secondary CPU 3 switching to normal world boot

doeRe  caoCBoPndyUod
  tI/TC: Secondary CPU 6 initializing

-C
 tRo SPKRUe ce3
BI/TC: Secondary CPU 6 switching to normal world boot


aoo5Ro7ndI/TC: Secondary CPU 7 initializing

d6Kt-y   35SRC  etHPe7UaCco6od  R
I/TC: Secondary CPU 7 switching to normal world boot

Bny
_HCo dRtoK ERCL_ot3 2P EUSB=L5
20oeo7
c=R6t00o0  -0Kn3S 00d 0H5eR0007cCeCa0RP06oU _0ndH0
E0dy 0 0C
LCRt0R02=0o0_KP U300E0B0L
500020
70oR00=0o6t0 002K3H0

 0
50CS0
eR0RR70KKc60_003o30 ELn05H5d27007C =66R00000  _CSP0S0E00C0CULT0T020
=L
L200R00R
R0
K0_00_00E
3RE0L50
LK1107R03K=506=0030700 5H000067C00 0S06R00000 C00_000E2TS0C0LL
0T
00200=RRL3R0K_003030E
_d005E
Ld00L17R01K60=088 =03050000S0C70000

T06
00 
000L-S 00-0R0C_ B00o0E0BT0L000Looo3R1t30_ =000tEf 0dd

0f0Lr0o0r10R0K88o0=m003m0 00050 EL
0E
70L00
2
60-- 20
0  
S
30CB0
Bod0oTo0o3Lt0Rt0  d_fE0f80rr0Lo8o1mm0=0 0 0

E0EL0

L--02
 20 
B
B0
0oo0oott30  ffd0rroo0m8m0  EE0
LL
22

- 

Boot from EL2

ell (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime -f Booro tOS  toI niC triuanltiziem
e 
for OS Initialize


PASS: REAL K7 NSH
