IMAGE 2068528 1ed2ebc7516acf0c1a81bfaa409a537fa97380154066d305dbc9585f7802c28d
RK3576 SCTLR_EL1=0000000030d00800
- Boot from EL2
- Boot from EL1
- Boot to C runtime for OS Initialize
arm64_chip_boot: RK3576: MMU enabled
rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

NuttShell (NSH)
nsh> [K
PASS: REAL K7 NSH
