IMAGE 2076928 fd1462a94c3fad9692cbdd6e3d9fe3bbfb4f4920220eb12997b1a22a201881fe
Total: 259429.594/259782.350 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

arm64_chip_boot: RK3576: MMU enabled

rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1



NuttShell (NSH)

nsh> [K
PASS: REAL K7 NSH
