IMAGE 2528464 b4a151d83b75669770769dfefd2a13c092194b658b89d7849ca3facd158976c3
CRC VERIFIED 159744/193224 (307.2s)
CRC VERIFIED 163840/193224 (307.2s)
CRC VERIFIED 167936/193224 (307.2s)
CRC VERIFIED 172032/193224 (307.2s)
CRC VERIFIED 176128/193224 (307.2s)
CRC VERIFIED 180224/193224 (307.2s)
CRC VERIFIED 184320/193224 (307.3s)
CRC VERIFIED 188416/193224 (307.3s)
CRC VERIFIED 192512/193224 (307.3s)
CRC VERIFIED 193224/193224 (307.3s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (307.3s)
CRC VERIFIED 8192/356616 (307.4s)
CRC VERIFIED 12288/356616 (307.4s)
CRC VERIFIED 16384/356616 (307.4s)
CRC VERIFIED 20480/356616 (307.4s)
CRC VERIFIED 24576/356616 (307.4s)
CRC VERIFIED 28672/356616 (307.4s)
CRC VERIFIED 32768/356616 (307.5s)
CRC VERIFIED 36864/356616 (307.5s)
CRC VERIFIED 40960/356616 (307.5s)
CRC VERIFIED 45056/356616 (307.5s)
CRC VERIFIED 49152/356616 (307.5s)
CRC VERIFIED 53248/356616 (307.5s)
CRC VERIFIED 57344/356616 (307.5s)
CRC VERIFIED 61440/356616 (307.6s)
CRC VERIFIED 65536/356616 (307.6s)
CRC VERIFIED 69632/356616 (307.6s)
CRC VERIFIED 73728/356616 (307.6s)
CRC VERIFIED 77824/356616 (307.6s)
CRC VERIFIED 81920/356616 (307.6s)
CRC VERIFIED 86016/356616 (307.7s)
CRC VERIFIED 90112/356616 (307.7s)
CRC VERIFIED 94208/356616 (307.7s)
CRC VERIFIED 98304/356616 (307.7s)
CRC VERIFIED 102400/356616 (307.7s)
CRC VERIFIED 106496/356616 (307.7s)
CRC VERIFIED 110592/356616 (307.8s)
CRC VERIFIED 114688/356616 (307.8s)
CRC VERIFIED 118784/356616 (307.8s)
CRC VERIFIED 122880/356616 (307.8s)
CRC VERIFIED 126976/356616 (307.8s)
CRC VERIFIED 131072/356616 (307.8s)
CRC VERIFIED 135168/356616 (307.8s)
CRC VERIFIED 139264/356616 (307.9s)
CRC VERIFIED 143360/356616 (307.9s)
CRC VERIFIED 147456/356616 (307.9s)
CRC VERIFIED 151552/356616 (307.9s)
CRC VERIFIED 155648/356616 (307.9s)
CRC VERIFIED 159744/356616 (307.9s)
CRC VERIFIED 163840/356616 (308.0s)
CRC VERIFIED 167936/356616 (308.0s)
CRC VERIFIED 172032/356616 (308.0s)
CRC VERIFIED 176128/356616 (308.0s)
CRC VERIFIED 180224/356616 (308.0s)
CRC VERIFIED 184320/356616 (308.0s)
CRC VERIFIED 188416/356616 (308.0s)
CRC VERIFIED 192512/356616 (308.1s)
CRC VERIFIED 196608/356616 (308.1s)
CRC VERIFIED 200704/356616 (308.1s)
CRC VERIFIED 204800/356616 (308.1s)
CRC VERIFIED 208896/356616 (308.1s)
CRC VERIFIED 212992/356616 (308.1s)
CRC VERIFIED 217088/356616 (308.2s)
CRC VERIFIED 221184/356616 (308.2s)
CRC VERIFIED 225280/356616 (308.2s)
CRC VERIFIED 229376/356616 (308.2s)
CRC VERIFIED 233472/356616 (308.2s)
CRC VERIFIED 237568/356616 (308.2s)
CRC VERIFIED 241664/356616 (308.2s)
CRC VERIFIED 245760/356616 (308.3s)
CRC VERIFIED 249856/356616 (308.3s)
CRC VERIFIED 253952/356616 (308.3s)
CRC VERIFIED 258048/356616 (308.3s)
CRC VERIFIED 262144/356616 (308.3s)
CRC VERIFIED 266240/356616 (308.3s)
CRC VERIFIED 270336/356616 (308.4s)
CRC VERIFIED 274432/356616 (308.4s)
CRC VERIFIED 278528/356616 (308.4s)
CRC VERIFIED 282624/356616 (308.4s)
CRC VERIFIED 286720/356616 (308.4s)
CRC VERIFIED 290816/356616 (308.4s)
CRC VERIFIED 294912/356616 (308.5s)
CRC VERIFIED 299008/356616 (308.5s)
CRC VERIFIED 303104/356616 (308.5s)
CRC VERIFIED 307200/356616 (308.5s)
CRC VERIFIED 311296/356616 (308.5s)
CRC VERIFIED 315392/356616 (308.5s)
CRC VERIFIED 319488/356616 (308.5s)
CRC VERIFIED 323584/356616 (308.6s)
CRC VERIFIED 327680/356616 (308.6s)
CRC VERIFIED 331776/356616 (308.6s)
CRC VERIFIED 335872/356616 (308.6s)
CRC VERIFIED 339968/356616 (308.6s)
CRC VERIFIED 344064/356616 (308.6s)
CRC VERIFIED 348160/356616 (308.7s)
CRC VERIFIED 352256/356616 (308.7s)
CRC VERIFIED 356352/356616 (308.7s)
CRC VERIFIED 356616/356616 (308.7s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (308.7s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (308.8s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 310266.393/310619.161 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I
/TC: Secondary CPU 1 switching to normal world boot

NuttShI/TC: Secondary CPU 4 initializing

e- RI/TC: Secondary CPU 4 switching to normal world boot

eady toI/TC: Secondary CPU 2 initializing

 BootI/TC: Secondary CPU 2 switching to normal world boot

 -S ReI/TC: Secondary CPU 5 initializing

ce- aRodnyde ta I/TC: Secondary CPU 5 switching to normal world boot

oCdPy U B
tooo tB
 oSI/TC: Secondary CPU 3 initializing

Re-o KtcI/TC: Secondary CPU 3 switching to normal world boot

3Ro n5Seade7I/TC: Secondary CPU 6 initializing

d -6cy Co PH RnUdCetaRo
I/TC: Secondary CPU 6 switching to normal world boot

  _
dCERBy oPLK2U3otI/TC: Secondary CPU 7 initializing

5=-to
 0  
7R0SR6B oe0Ke30HaocI/TC: Secondary CPU 7 switching to normal world boot

0odCtRn5 0y0d7 S_E06 teC o0cL02 PoHUC=Bn000do
R0o0
_t0E R000K CL3SP200=U52ec70

0o
06-0
R n0R 00dRKHKe30C03 CR0a05577dP_0660EyU00  0
L HSt
020=Ro
C0C TK0
0RRLB0_0300EKo5RL703o_0t6E2050 7 0=L10HS0600 2Ce0R0c0=S
0
C_00o0TR0nE0d000LLK0302 R0C050_0=0070PE0L0006U 1
00
0
=0S
0300CR0R0000KTdK0L300030055R0000_82770
00E66 0 L00
S1H0R
0K
=C3C0R0-0T03_d0 05L0ER0B07Lo6_
00 
2E80S0oL0R=K1000tCT03=0
 L
530f0r7R000-06 od000m0_ B0 So00EoE0C0TLt08L00 0L021=f0R030r00
_

0
Eo0d0L0m01-00 =E008 0L
0B00
02o0
0
R0
0oK
003- t305 0B70fd06o or03S0o0t8 dCmTf0 0rEL00L8Ro_0
m0
E 2-L
E
 L1

-=B2 0

0oBoo00tot00  ff00rro3om0d m0E L028E0
L
20



- Boot frolm EL2

l (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS -I Bnoiotti altioz eC 

runtime for OS Initialize


PASS: REAL K7 NSH
