IMAGE 2536656 d84275e8e7576941b70fdd2bb9bd427eee8716435565c6acc40ebfd0634acee3
CRC VERIFIED 2338816/2536656 (234.1s)
CRC VERIFIED 2342912/2536656 (234.1s)
CRC VERIFIED 2347008/2536656 (234.2s)
CRC VERIFIED 2351104/2536656 (234.2s)
CRC VERIFIED 2355200/2536656 (234.2s)
CRC VERIFIED 2359296/2536656 (234.2s)
CRC VERIFIED 2363392/2536656 (234.2s)
CRC VERIFIED 2367488/2536656 (234.2s)
CRC VERIFIED 2371584/2536656 (234.2s)
CRC VERIFIED 2375680/2536656 (234.3s)
CRC VERIFIED 2379776/2536656 (234.3s)
CRC VERIFIED 2383872/2536656 (234.3s)
CRC VERIFIED 2387968/2536656 (234.3s)
CRC VERIFIED 2392064/2536656 (234.3s)
CRC VERIFIED 2396160/2536656 (234.3s)
CRC VERIFIED 2400256/2536656 (234.4s)
CRC VERIFIED 2404352/2536656 (234.4s)
CRC VERIFIED 2408448/2536656 (234.4s)
CRC VERIFIED 2412544/2536656 (234.4s)
CRC VERIFIED 2416640/2536656 (234.4s)
CRC VERIFIED 2420736/2536656 (234.4s)
CRC VERIFIED 2424832/2536656 (234.5s)
CRC VERIFIED 2428928/2536656 (234.5s)
CRC VERIFIED 2433024/2536656 (234.5s)
CRC VERIFIED 2437120/2536656 (234.5s)
CRC VERIFIED 2441216/2536656 (234.5s)
CRC VERIFIED 2445312/2536656 (234.5s)
CRC VERIFIED 2449408/2536656 (234.5s)
CRC VERIFIED 2453504/2536656 (234.6s)
CRC VERIFIED 2457600/2536656 (234.6s)
CRC VERIFIED 2461696/2536656 (234.6s)
CRC VERIFIED 2465792/2536656 (234.6s)
CRC VERIFIED 2469888/2536656 (234.6s)
CRC VERIFIED 2473984/2536656 (234.6s)
CRC VERIFIED 2478080/2536656 (234.7s)
CRC VERIFIED 2482176/2536656 (235.8s)
CRC VERIFIED 2486272/2536656 (235.8s)
CRC VERIFIED 2490368/2536656 (236.9s)
CRC VERIFIED 2494464/2536656 (236.9s)
CRC VERIFIED 2498560/2536656 (237.8s)
CRC VERIFIED 2502656/2536656 (238.8s)
CRC VERIFIED 2506752/2536656 (239.9s)
CRC VERIFIED 2510848/2536656 (241.0s)
CRC VERIFIED 2514944/2536656 (242.1s)
CRC VERIFIED 2519040/2536656 (243.2s)
CRC VERIFIED 2523136/2536656 (244.3s)
CRC VERIFIED 2527232/2536656 (244.4s)
CRC VERIFIED 2531328/2536656 (244.8s)
CRC VERIFIED 2535424/2536656 (245.2s)
CRC VERIFIED 2536656/2536656 (245.2s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (245.3s)
CRC VERIFIED 8192/193224 (245.3s)
CRC VERIFIED 12288/193224 (245.3s)
CRC VERIFIED 16384/193224 (245.3s)
CRC VERIFIED 20480/193224 (245.4s)
CRC VERIFIED 24576/193224 (245.4s)
CRC VERIFIED 28672/193224 (245.4s)
CRC VERIFIED 32768/193224 (245.4s)
CRC VERIFIED 36864/193224 (245.4s)
CRC VERIFIED 40960/193224 (245.4s)
CRC VERIFIED 45056/193224 (245.5s)
CRC VERIFIED 49152/193224 (245.5s)
CRC VERIFIED 53248/193224 (245.5s)
CRC VERIFIED 57344/193224 (245.5s)
CRC VERIFIED 61440/193224 (245.5s)
CRC VERIFIED 65536/193224 (245.5s)
CRC VERIFIED 69632/193224 (245.5s)
CRC VERIFIED 73728/193224 (245.6s)
CRC VERIFIED 77824/193224 (245.6s)
CRC VERIFIED 81920/193224 (245.6s)
CRC VERIFIED 86016/193224 (245.6s)
CRC VERIFIED 90112/193224 (245.6s)
CRC VERIFIED 94208/193224 (245.6s)
CRC VERIFIED 98304/193224 (245.7s)
CRC VERIFIED 102400/193224 (245.7s)
CRC VERIFIED 106496/193224 (245.7s)
CRC VERIFIED 110592/193224 (245.7s)
CRC VERIFIED 114688/193224 (245.7s)
CRC VERIFIED 118784/193224 (245.7s)
CRC VERIFIED 122880/193224 (245.8s)
CRC VERIFIED 126976/193224 (245.8s)
CRC VERIFIED 131072/193224 (245.8s)
CRC VERIFIED 135168/193224 (245.8s)
CRC VERIFIED 139264/193224 (245.8s)
CRC VERIFIED 143360/193224 (245.8s)
CRC VERIFIED 147456/193224 (245.8s)
CRC VERIFIED 151552/193224 (245.9s)
CRC VERIFIED 155648/193224 (245.9s)
CRC VERIFIED 159744/193224 (245.9s)
CRC VERIFIED 163840/193224 (245.9s)
CRC VERIFIED 167936/193224 (245.9s)
CRC VERIFIED 172032/193224 (245.9s)
CRC VERIFIED 176128/193224 (246.0s)
CRC VERIFIED 180224/193224 (246.0s)
CRC VERIFIED 184320/193224 (246.0s)
CRC VERIFIED 188416/193224 (246.0s)
CRC VERIFIED 192512/193224 (246.0s)
CRC VERIFIED 193224/193224 (246.0s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (246.1s)
CRC VERIFIED 8192/356616 (246.1s)
CRC VERIFIED 12288/356616 (246.1s)
CRC VERIFIED 16384/356616 (246.1s)
CRC VERIFIED 20480/356616 (246.1s)
CRC VERIFIED 24576/356616 (246.1s)
CRC VERIFIED 28672/356616 (246.2s)
CRC VERIFIED 32768/356616 (246.2s)
CRC VERIFIED 36864/356616 (246.2s)
CRC VERIFIED 40960/356616 (246.2s)
CRC VERIFIED 45056/356616 (246.2s)
CRC VERIFIED 49152/356616 (246.2s)
CRC VERIFIED 53248/356616 (246.2s)
CRC VERIFIED 57344/356616 (246.3s)
CRC VERIFIED 61440/356616 (246.3s)
CRC VERIFIED 65536/356616 (246.3s)
CRC VERIFIED 69632/356616 (246.3s)
CRC VERIFIED 73728/356616 (246.3s)
CRC VERIFIED 77824/356616 (246.3s)
CRC VERIFIED 81920/356616 (246.4s)
CRC VERIFIED 86016/356616 (246.4s)
CRC VERIFIED 90112/356616 (246.4s)
CRC VERIFIED 94208/356616 (246.4s)
CRC VERIFIED 98304/356616 (246.4s)
CRC VERIFIED 102400/356616 (246.4s)
CRC VERIFIED 106496/356616 (246.5s)
CRC VERIFIED 110592/356616 (246.5s)
CRC VERIFIED 114688/356616 (246.5s)
CRC VERIFIED 118784/356616 (246.5s)
CRC VERIFIED 122880/356616 (246.5s)
CRC VERIFIED 126976/356616 (246.5s)
CRC VERIFIED 131072/356616 (246.6s)
CRC VERIFIED 135168/356616 (246.6s)
CRC VERIFIED 139264/356616 (246.6s)
CRC VERIFIED 143360/356616 (246.6s)
CRC VERIFIED 147456/356616 (246.6s)
CRC VERIFIED 151552/356616 (246.6s)
CRC VERIFIED 155648/356616 (246.7s)
CRC VERIFIED 159744/356616 (246.7s)
CRC VERIFIED 163840/356616 (246.7s)
CRC VERIFIED 167936/356616 (246.7s)
CRC VERIFIED 172032/356616 (246.7s)
CRC VERIFIED 176128/356616 (246.7s)
CRC VERIFIED 180224/356616 (246.8s)
CRC VERIFIED 184320/356616 (246.8s)
CRC VERIFIED 188416/356616 (246.8s)
CRC VERIFIED 192512/356616 (246.8s)
CRC VERIFIED 196608/356616 (246.8s)
CRC VERIFIED 200704/356616 (246.8s)
CRC VERIFIED 204800/356616 (246.8s)
CRC VERIFIED 208896/356616 (246.9s)
CRC VERIFIED 212992/356616 (246.9s)
CRC VERIFIED 217088/356616 (246.9s)
CRC VERIFIED 221184/356616 (246.9s)
CRC VERIFIED 225280/356616 (246.9s)
CRC VERIFIED 229376/356616 (246.9s)
CRC VERIFIED 233472/356616 (247.0s)
CRC VERIFIED 237568/356616 (247.0s)
CRC VERIFIED 241664/356616 (247.0s)
CRC VERIFIED 245760/356616 (247.0s)
CRC VERIFIED 249856/356616 (247.0s)
CRC VERIFIED 253952/356616 (247.0s)
CRC VERIFIED 258048/356616 (247.0s)
CRC VERIFIED 262144/356616 (247.1s)
CRC VERIFIED 266240/356616 (247.1s)
CRC VERIFIED 270336/356616 (247.1s)
CRC VERIFIED 274432/356616 (247.1s)
CRC VERIFIED 278528/356616 (247.1s)
CRC VERIFIED 282624/356616 (247.1s)
CRC VERIFIED 286720/356616 (247.2s)
CRC VERIFIED 290816/356616 (247.2s)
CRC VERIFIED 294912/356616 (247.2s)
CRC VERIFIED 299008/356616 (247.2s)
CRC VERIFIED 303104/356616 (247.2s)
CRC VERIFIED 307200/356616 (247.2s)
CRC VERIFIED 311296/356616 (247.2s)
CRC VERIFIED 315392/356616 (247.3s)
CRC VERIFIED 319488/356616 (247.3s)
CRC VERIFIED 323584/356616 (247.3s)
CRC VERIFIED 327680/356616 (247.3s)
CRC VERIFIED 331776/356616 (247.3s)
CRC VERIFIED 335872/356616 (247.3s)
CRC VERIFIED 339968/356616 (247.4s)
CRC VERIFIED 344064/356616 (247.4s)
CRC VERIFIED 348160/356616 (247.4s)
CRC VERIFIED 352256/356616 (247.4s)
CRC VERIFIED 356352/356616 (247.4s)
CRC VERIFIED 356616/356616 (247.4s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (247.5s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (247.5s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 257094.548/257447.22 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I
/TC: Secondary CPU 1 switching to normal world boot

NuttSI/TC: Secondary CPU 4 initializing

heI/TC: Secondary CPU 4 switching to normal world boot

- ReaI/TC: Secondary CPU 2 initializing

dy t-o I/TC: Secondary CPU 2 switching to normal world boot

 RBeaoI/TC: Secondary CPU 5 initializing

o-d yR ettI/TC: Secondary CPU 5 switching to normal world boot

a od SI/TC: Secondary CPU 3 initializing

eyBocI/TC: Secondary CPU 3 switching to normal world boot

o-o  nt Rtd Seoaedc CI/TC: Secondary CPU 6 initializing

o-ByP nU odRto
I/TC: Secondary CPU 6 switching to normal world boot


o eaC RKPdBUtoyo3 
 S5
ttoe 7R6 ScKeB3o oHcn57CodoR6n C _tdI/TC: Secondary CPU 7 initializing

P E -HCLC URR
S2Pe
_eU=ca0
Ed
oL0R0yRKn2Kd0 =3 0t35I/TC: Secondary CPU 7 switching to normal world boot

0o0C750 7060BP0 6UHo 00
Co0H000C
Rt R0R_0S0_K0E3e00ELc00L5202-7o6n=0= 0R 0020d H0e0
0C00a
C0d
P0Ry
0URK0 30R0
_0E5t
K07o0L3R0 526K00 3B=70o600S050 7Co0t00S0T6L000 C S0H00RTCe00_0LRcR0
0_0Eo2
_L0
EnERKL0
d1L=3 12R05CK==000703P0U65000
07 0000
006S0000CR0 00T0K03020L0S0
3C0R53T
00_70dE6RL00LdR 0K_30100H0C8=0E5800L0R700_601000
=E0 S0


L0C20-0

=RT0- 0L00 0KB0B00o3Roo03_500t7oE0d 06t0L0f  001f00S3=Cr800Tod0r000L00om0000 Rm
8 00_
E0E-00ELL0L2 00B210

0=
00

o-

o0t0
 BR3 00f0Kor0d3050oo007m t086  3E0LfS00
Cr2d
T0o
0
mL8 R-_ 0E0LEBL
2o

1
o=-0 tB0 o00fo0tro 0m0fr0 3oE0mL2 dE0L0280

0



- Boot frolm ELl2

 (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for O-S  IBnooitt iatol izCe 
r
untime for OS Initialize


PASS: REAL K7 NSH
