IMAGE 2142576 231a918af35da359305099689ed1a3d2a2ed40ca2b9c8cac1a788d1706c45569
CRC VERIFIED 352256/356616 (282.5s)
CRC VERIFIED 356352/356616 (282.5s)
CRC VERIFIED 356616/356616 (282.6s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (282.6s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (282.6s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 289917.301/290270.89 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I/TC: Secondary CPU 1 switching to normal world boot


NuttI/TC: Secondary CPU 4 initializing

ShI/TC: Secondary CPU 4 switching to normal world boot

- Ready I/TC: Secondary CPU 2 initializing

to-  RBI/TC: Secondary CPU 2 switching to normal world boot

eooadty  tSI/TC: Secondary CPU 5 initializing

eo-  cRBeooonatdd  yCS tPeI/TC: Secondary CPU 5 switching to normal world boot

Uc
on
odR K I/TC: Secondary CPU 3 initializing

C-B3 5oPU7Ro
et6a  
SdRKHeyI/TC: Secondary CPU 3 switching to normal world boot

c C35toR7on_E 6I/TC: Secondary CPU 6 initializing

dB -L HoC C2oP=RRt0e U_0
EaS0d
Le20cRyK o=3nt0I/TC: Secondary CPU 6 switching to normal world boot

05od007  0B06C00Po0 0UH0I/TC: Secondary CPU 7 initializing

-00
oCR
t 00R0_ R0e0SKE0La0e03cd052I/TC: Secondary CPU 7 switching to normal world boot

y07=0 006ont0 20d
o00H 

C 0CB
RR_oK0PR3o0KUEL350t
- 
025 7RSR=067e e600K0a0S 3cd05oCS00CnT7y060Ld0T 0 R0Lt oC_2RH0C 0EP_UB
E0L

Lo010R
1o=R=0tKR30_0K 3S0500EL0075e0000c720=0
o660
00n RH000 d0K00SC 3R300CCP530_T0UL007dE06dL0

00 R02_08R0=SK0008CE03000T00L5L0
0R7
1
00_=
6-0E0 0- 02L0HB 01C
B0o00Ro
0=o0_ot00R00KtE 00fL003 0r2f500o=0037rm60000o000dm  SE
0003 0
0CL0TR028EKLL0
d002
03R50
0_0

0E87L06001 
0S0
=-0
C0T -000B L0B0o0Roo0
_0t
EoRL t0K0 f1fr3=3ro500d7mo0m6 000E 0 S80LE02CL0T02

L00
R
3
0_
EdL0- 018=B0o0o00
t00
 -0f0r Bo00om3 o0tEL df200
r8
o0m 0
E
L2-
 B
oot from ELe2

ll (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime-  foBroo tOS  tIon Ci tiraulntiziem
e
 for OS Initialize


PASS: REAL K7 NSH
