IMAGE 2507936 a40d6068de181146973eda4a4fede21183210e5714339354f58fa3779e583374
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (347.5s)
CRC VERIFIED 8192/356616 (347.5s)
CRC VERIFIED 12288/356616 (347.5s)
CRC VERIFIED 16384/356616 (347.5s)
CRC VERIFIED 20480/356616 (347.5s)
CRC VERIFIED 24576/356616 (347.5s)
CRC VERIFIED 28672/356616 (347.5s)
CRC VERIFIED 32768/356616 (347.6s)
CRC VERIFIED 36864/356616 (347.6s)
CRC VERIFIED 40960/356616 (347.6s)
CRC VERIFIED 45056/356616 (347.6s)
CRC VERIFIED 49152/356616 (347.6s)
CRC VERIFIED 53248/356616 (347.6s)
CRC VERIFIED 57344/356616 (347.7s)
CRC VERIFIED 61440/356616 (347.7s)
CRC VERIFIED 65536/356616 (347.7s)
CRC VERIFIED 69632/356616 (347.7s)
CRC VERIFIED 73728/356616 (347.7s)
CRC VERIFIED 77824/356616 (347.7s)
CRC VERIFIED 81920/356616 (347.8s)
CRC VERIFIED 86016/356616 (347.8s)
CRC VERIFIED 90112/356616 (347.8s)
CRC VERIFIED 94208/356616 (347.8s)
CRC VERIFIED 98304/356616 (347.8s)
CRC VERIFIED 102400/356616 (347.8s)
CRC VERIFIED 106496/356616 (347.8s)
CRC VERIFIED 110592/356616 (347.9s)
CRC VERIFIED 114688/356616 (347.9s)
CRC VERIFIED 118784/356616 (347.9s)
CRC VERIFIED 122880/356616 (347.9s)
CRC VERIFIED 126976/356616 (347.9s)
CRC VERIFIED 131072/356616 (347.9s)
CRC VERIFIED 135168/356616 (348.0s)
CRC VERIFIED 139264/356616 (348.0s)
CRC VERIFIED 143360/356616 (348.0s)
CRC VERIFIED 147456/356616 (348.0s)
CRC VERIFIED 151552/356616 (348.0s)
CRC VERIFIED 155648/356616 (348.0s)
CRC VERIFIED 159744/356616 (348.0s)
CRC VERIFIED 163840/356616 (348.1s)
CRC VERIFIED 167936/356616 (348.1s)
CRC VERIFIED 172032/356616 (348.1s)
CRC VERIFIED 176128/356616 (348.1s)
CRC VERIFIED 180224/356616 (348.1s)
CRC VERIFIED 184320/356616 (348.1s)
CRC VERIFIED 188416/356616 (348.2s)
CRC VERIFIED 192512/356616 (348.2s)
CRC VERIFIED 196608/356616 (348.2s)
CRC VERIFIED 200704/356616 (348.2s)
CRC VERIFIED 204800/356616 (348.2s)
CRC VERIFIED 208896/356616 (348.2s)
CRC VERIFIED 212992/356616 (348.2s)
CRC VERIFIED 217088/356616 (348.3s)
CRC VERIFIED 221184/356616 (348.3s)
CRC VERIFIED 225280/356616 (348.3s)
CRC VERIFIED 229376/356616 (348.3s)
CRC VERIFIED 233472/356616 (348.3s)
CRC VERIFIED 237568/356616 (348.3s)
CRC VERIFIED 241664/356616 (348.4s)
CRC VERIFIED 245760/356616 (348.4s)
CRC VERIFIED 249856/356616 (348.4s)
CRC VERIFIED 253952/356616 (348.4s)
CRC VERIFIED 258048/356616 (348.4s)
CRC VERIFIED 262144/356616 (348.4s)
CRC VERIFIED 266240/356616 (348.5s)
CRC VERIFIED 270336/356616 (348.5s)
CRC VERIFIED 274432/356616 (348.5s)
CRC VERIFIED 278528/356616 (348.5s)
CRC VERIFIED 282624/356616 (348.5s)
CRC VERIFIED 286720/356616 (348.5s)
CRC VERIFIED 290816/356616 (348.5s)
CRC VERIFIED 294912/356616 (348.6s)
CRC VERIFIED 299008/356616 (348.6s)
CRC VERIFIED 303104/356616 (348.6s)
CRC VERIFIED 307200/356616 (348.6s)
CRC VERIFIED 311296/356616 (348.6s)
CRC VERIFIED 315392/356616 (348.6s)
CRC VERIFIED 319488/356616 (348.7s)
CRC VERIFIED 323584/356616 (348.7s)
CRC VERIFIED 327680/356616 (348.7s)
CRC VERIFIED 331776/356616 (348.7s)
CRC VERIFIED 335872/356616 (348.7s)
CRC VERIFIED 339968/356616 (348.7s)
CRC VERIFIED 344064/356616 (348.8s)
CRC VERIFIED 348160/356616 (348.8s)
CRC VERIFIED 352256/356616 (348.8s)
CRC VERIFIED 356352/356616 (348.8s)
CRC VERIFIED 356616/356616 (348.8s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (348.8s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (348.9s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 361798.973/362151.756 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I/TC: Secondary CPU 1 switching to normal world boot


NutI/TC: Secondary CPU 4 initializing

tShI/TC: Secondary CPU 4 switching to normal world boot

- Ready tI/TC: Secondary CPU 2 initializing

-o  RBoeoaI/TC: Secondary CPU 2 switching to normal world boot

td y SetcoI/TC: Secondary CPU 5 initializing

 o-n Bdo RoCtI/TC: Secondary CPU 5 switching to normal world boot

Pe USe
adc
Royn Kdt 3oC PI/TC: Secondary CPU 3 initializing

5B-U
7 oR
6oet RK Had3SC5RyeI/TC: Secondary CPU 3 switching to normal world boot

7_ cEot6I/TC: Secondary CPU 6 initializing

Lon-  2Hd BRC= R0Ceoo_a0PEt0UdLy0
  S020
te=00ocRoK 000n30BI/TC: Secondary CPU 6 switching to normal world boot

d0o0500o 70Ct0P0 60U00 S00
H0
2CeRR
0c_o
0KI/TC: Secondary CPU 7 initializing

3-n0ER5 K0dL27R03=5e06 0
 a7Cd6
HI/TC: Secondary CPU 7 switching to normal world boot

yPRC0  S0RKUC_
t3oE0T
5LR07 LB6R0K203_ =oE005oS0CtL0-706 T01 0R S0=LH000eReaC00_0cERd000oL0yn0_02 d10E00L0t
 =Co
200000=R P00K0B0U0300
o53
00o000Rt007d0K6 

3S 000350eR0SKC0078c603To0dn 00L57R
H00d 0
C86_0R0E-C S0P0 _LB1CU
ET
L=
0ooL02
0-R=0R0 20KtB_
030 oE0o5
L00Rft71000r= 6Ko 0f3050H0m0r0C 7o0R06m00E 3 0_0ESL00E0L02C0dL0200T2
00
=L
3
00R8000_0dE00
0L

00R0
1800=K-03 000
05
07B0-o006 00 otB0S0C 0oof0Tr00Lt0o0R fm_3

EroR0 LEdmK1 3L=02E0050
87L060
20 
0
0
SC0T
00-L3 R0B_Ed0oLo10=t80 00f0
r0
00-o0 m0 BE0o3oL0t2
 df0
0r8om00 E
L
2-
 B
oot freom EL2

ll (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime-  foBor otOS t oI nCit iruanltiizeme
 
for OS Initialize


PASS: REAL K7 NSH
